LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01022899,Havant 018A,E07000090,Havant,0.21,12.41,-14.16,0.41,-3.38,4.12,0.84,19.55,-15.25,-1.61,-0.81,3.45,-0.43,5.26,-12.96,2.53,-6.19,4.67
E01022900,Havant 010A,E07000090,Havant,2.14,8.22,-2.7,6.73,-2.45,-5.69,0.21,4.97,-7.3,2.46,2.48,-7.03,4.05,11.22,2.46,11.62,-7.23,-4.68
E01022901,Havant 006A,E07000090,Havant,16.62,24.2,4.84,18.89,18.43,9.96,18.46,38.46,0.79,9.49,35.77,9.80,14.85,10.82,9.09,29.32,2.27,10.07
E01022902,Havant 006B,E07000090,Havant,3.15,8.9,-10.39,-2.39,25.58,0.00,3.44,13.14,-8.26,-5.41,24.35,-1.16,2.86,4.32,-12.73,0.35,27,0.89
E01022903,Havant 008A,E07000090,Havant,-3.26,-5.13,-9.92,-7.8,18.29,-4.10,-3.24,0.56,-7.69,-9.51,16.42,-8.55,-3.28,-10,-12,-5.86,20.33,-0.66
E01022904,Havant 010B,E07000090,Havant,1.45,-3.67,-6.12,0.46,3.84,12.81,-0.79,-5.26,-11.03,1.47,-3.37,14.81,3.77,-1.83,-0.75,-0.63,12.02,11.35
E01022905,Havant 010C,E07000090,Havant,3.69,8.24,-7,3.76,11.11,-0.76,4.9,13.53,6.93,-3.45,15.75,-2.75,2.58,3.61,-16.9,11.52,6.02,0.65
E01022906,Havant 008B,E07000090,Havant,-4.56,-3.95,-24.9,0,6.35,-5.46,-7.85,-15.25,-26.67,0.41,2.33,-1.22,-1.47,7.34,-22.95,-0.34,10.57,-8.91
E01022907,Havant 018B,E07000090,Havant,-2.29,-19.16,-2.98,-7.62,7.65,3.58,-0.78,-19.09,-3.26,-3.26,6.43,7.61,-3.74,-19.23,-2.63,-12.2,8.79,0.43
E01022908,Havant 010D,E07000090,Havant,-3.36,-4.01,-18.23,-7.82,15.94,0.44,1.75,1.4,-9.26,-2.58,23.48,0.95,-8.25,-9.92,-28.42,-12.67,9.56,0.00
E01022909,Havant 018C,E07000090,Havant,-2.3,-15.97,-2.69,-7.33,1.77,9.36,-1.71,-16.94,3.67,-8.85,3.52,9.88,-2.9,-14.91,-11.69,-5.8,0,8.89
E01022910,Havant 018D,E07000090,Havant,0.42,1.52,-17.01,-0.21,1.35,12.99,-1.38,-0.97,-12.36,-2.92,0.00,9.09,2.29,4.21,-20.95,3.38,2.68,15.97
E01022911,Havant 018E,E07000090,Havant,3.74,5.96,-1.31,-4.88,6.38,13.22,3.43,5.83,-6.25,-3.03,2.50,16.27,4.04,6.12,4.11,-6.82,10.06,10.44
E01022913,Havant 009A,E07000090,Havant,0.45,6.9,-14.84,-3.25,7.31,7.14,-2.72,9.35,-32.04,-8.26,13.46,10.81,3.65,4.1,7.59,2.27,1.74,4.92
E01022914,Havant 009B,E07000090,Havant,-1.83,-5.16,-12.98,-4.68,16.05,-1.41,-2.63,0.84,-13.46,-7.95,20.16,-12.77,-1.03,-10.53,-12.5,-0.95,11.4,7.56
E01022915,Havant 009C,E07000090,Havant,4.23,13.11,-8.21,1.49,12.18,0.49,6.38,11.73,-1.04,4.04,10.94,4.30,2.02,14.77,-14.41,-1.14,13.64,-2.73
E01022916,Havant 009D,E07000090,Havant,0.3,-2.97,1.39,-4.55,16.67,-1.38,0.62,1.69,-8.85,-1.32,14.40,-2.27,0,-8.18,12.62,-7.69,18.8,-0.77
E01022917,Havant 009E,E07000090,Havant,-3.57,1.33,-15.05,-5.5,9.04,-5.71,-2.66,5.41,-18.1,-3.1,4.95,-2.06,-4.5,-2.63,-11.11,-8.33,13.79,-8.11
E01022918,Havant 020A,E07000090,Havant,-1.11,-11.35,-2.2,-9.44,-2.85,15.52,0.41,-5.04,0,-8.96,-9.82,27.39,-2.52,-18.18,-4.82,-9.91,4.58,7.63
E01022919,Havant 019A,E07000090,Havant,-0.73,5.17,-10.09,-8.26,-0.66,14.52,-2.16,1.31,-14.04,-5.84,0.00,8.70,0.73,10.17,-6.14,-10.7,-1.33,19.39
E01022920,Havant 020B,E07000090,Havant,-0.45,-5.11,-21.38,-1.05,0,13.75,-1.46,-6.25,-31.17,-0.84,-0.55,16.20,0.5,-4.07,-12.2,-1.28,0.55,11.80
E01022921,Havant 020C,E07000090,Havant,-2.41,-14.47,-12.44,-3.88,-2.28,13.73,-2.86,-5.88,-14.41,-6.75,0.00,10.32,-1.94,-23.28,-9.76,-0.88,-4.73,16.67
E01022922,Havant 004A,E07000090,Havant,-1.44,3.5,-29.59,-6.08,5.32,43.64,-3.22,-2.99,-39.78,-8.93,13.79,47.06,0.27,10.57,-20.39,-3.32,-2.56,40.68
E01022924,Havant 013A,E07000090,Havant,-3.2,-0.94,-18.71,-7.94,-8.77,11.30,-4.25,3.48,-32.22,-7.42,-10.40,13.47,-2.15,-6.12,0,-8.44,-7.1,9.42
E01022925,Havant 013B,E07000090,Havant,40.99,60.78,47.24,50.45,26.71,24.41,37.48,49.31,39.71,38.74,27.34,32.67,44.39,75.68,55.93,62.27,26.19,17.89
E01022926,Havant 013C,E07000090,Havant,-2.49,-5.02,-11.72,-12.11,0.32,8.94,-1.35,0,3.51,-16.11,-4.24,12.83,-3.57,-11.11,-23.94,-8.65,5.26,5.73
E01022927,Havant 013D,E07000090,Havant,-1.97,0,-14.29,-2.86,-4.36,2.92,-2.03,-11.21,-5.13,-2.42,-1.88,3.95,-1.93,14.44,-23.68,-3.3,-6.52,2.19
E01022928,Havant 013E,E07000090,Havant,-1.91,-15.05,-1.82,-13.84,0.78,7.09,-1.63,-4.6,-7.58,-11.86,-2.67,7.83,-2.15,-24.24,6.82,-15.53,4.04,6.54
E01022929,Havant 013F,E07000090,Havant,-3.09,-14.29,-30,-13.59,6.71,8.19,-3.87,-19.23,-27.42,-13.04,-2.48,16.28,-2.38,-8.06,-32.76,-14.15,16.45,2.80
E01022930,Havant 003A,E07000090,Havant,3.44,10.88,-8.09,-11.32,11,11.95,1.59,-12.36,6.02,-11.11,12.31,8.05,5.26,46.55,-21.11,-11.52,9.76,15.41
E01022931,Havant 003B,E07000090,Havant,-3.04,-8.87,-8.78,-13.11,-0.8,15.63,-0.61,-5.74,2.02,-11.16,-0.53,16.00,-5.32,-11.9,-18.87,-14.87,-1.08,15.31
E01022933,Havant 019B,E07000090,Havant,2.89,1.93,6.02,-2.76,2.04,22.22,6.27,13.59,9.65,-4.64,10.48,20.51,-0.47,-9.57,2.96,-0.68,-6.61,23.66
E01022934,Havant 019C,E07000090,Havant,-2.92,-10.41,-7.06,-3.7,-1.5,22.83,-4.58,-12.72,-0.81,-7.03,-8.21,28.92,-1.27,-8.15,-12.41,0,5.3,17.82
E01022935,Havant 003C,E07000090,Havant,-0.66,-14.09,17.01,-12.72,-2.44,12.33,-2.61,-15.57,14.29,-19.9,-2.42,14.29,1.31,-12.24,20,-5.94,-2.45,10.53
E01022936,Havant 017A,E07000090,Havant,1.84,25.19,-12.3,-0.25,-7.37,8.51,1.88,15.07,-10.17,-1.42,-8.56,13.15,1.8,37.1,-14.29,1.1,-6.22,4.05
E01022937,Havant 015A,E07000090,Havant,-3.74,-7.46,-6.04,-12.74,-9.46,18.89,-7.07,-19.23,-1.23,-17.49,-9.09,15.48,-0.14,5.15,-11.76,-7.25,-9.84,22.37
E01022938,Havant 017B,E07000090,Havant,1.41,12,1.54,-3.41,-7.59,6.69,0.9,13.7,0,-4.24,-7.79,7.28,1.88,10.39,3.33,-2.53,-7.38,6.29
E01022939,Havant 017C,E07000090,Havant,3.12,-5.82,-12.35,-2.69,-4.4,25.35,1.68,-8,-16.28,-1.43,2.25,16.83,4.52,-3.37,-7.89,-4.02,-10.1,33.04
E01022940,Havant 016A,E07000090,Havant,1.57,-6.81,5.95,-6.35,1.64,11.76,-2.34,-2.17,-1.2,-13.27,0.00,7.65,5.23,-11.11,12.94,0.93,3.09,15.28
E01022941,Havant 017D,E07000090,Havant,0.92,2.45,-20.83,-11.95,-1.01,20.55,0.26,0,-24,-17.45,9.90,18.27,1.57,4.55,-17.39,-5.2,-11.22,22.61
E01022942,Havant 016B,E07000090,Havant,6.01,11.54,-1.54,5.52,2.1,8.87,9.55,30.26,-6.35,6.45,1.28,16.76,2.99,-6.25,2.99,4.55,3.08,4.42
E01022943,Havant 015B,E07000090,Havant,-1.49,-24.85,4.85,-5.04,-7.03,9.98,-2.31,-26.14,5.36,-0.73,-10.70,8.96,-0.67,-23.38,4.26,-9.22,-3.55,10.95
E01022944,Havant 015C,E07000090,Havant,1.15,-1.42,-15.38,-7.27,-7.79,32.19,3.39,2.78,-4.29,-9.94,-2.70,29.80,-1.07,-5.8,-26.03,-4.4,-12.21,34.75
E01022945,Havant 016C,E07000090,Havant,0.17,-1.01,-12.08,-5.08,-8.81,14.74,0.98,-5.26,1.98,-8.71,-9.52,22.15,-0.58,3.42,-25.47,-1.07,-8.11,9.31
E01022946,Havant 015D,E07000090,Havant,-1.08,-7.84,-1.69,-9.55,-5.15,12.66,0.11,-6.02,11.36,-13.08,-1.57,14.10,-2.16,-9.84,-14.61,-5.98,-8.29,11.58
E01022947,Havant 011A,E07000090,Havant,3.3,-11.37,-2.84,-1.56,12.34,18.18,2.06,-5.38,-14.05,-1.98,16.39,11.43,4.58,-17.6,12.22,-1.16,8.59,25.19
E01022948,Havant 011B,E07000090,Havant,-2.02,-1.88,-9.84,-2.03,-3.6,4.70,1.92,8,2.27,1.43,-3.13,3.15,-5.63,-10.64,-20,-5.7,-4.05,5.85
E01022949,Havant 011C,E07000090,Havant,-0.26,2.9,-2.66,-4.6,-1.52,7.83,1.59,-1.45,0,-1.63,-1.31,17.09,-2.05,8.74,-5.88,-7.48,-1.7,1.22
E01022950,Havant 011D,E07000090,Havant,11.34,18.01,25,5.7,6.94,12.17,9.57,5.98,26.14,3.38,5.62,15.79,13.15,32.98,23.68,8.22,8.28,9.18
E01022951,Havant 011E,E07000090,Havant,-1.4,-9.62,-9.09,-8.67,0.31,17.00,-7.54,-17.43,-12.9,-17.32,0.00,10.49,5.27,-1.01,-4.17,1.53,0.63,22.93
E01022952,Havant 011F,E07000090,Havant,2.21,4.66,-6.92,1.35,0.64,7.72,0.56,4.76,-12.64,2.16,-0.65,4.38,3.85,4.59,0,0.47,1.89,10.73
E01022953,Havant 014A,E07000090,Havant,5.36,10.49,-7.37,2.76,8.38,10.27,2.31,8.97,-8,-4.77,9.20,11.98,8.34,12.08,-6.84,11.93,7.61,9.09
E01022954,Havant 014B,E07000090,Havant,1.25,-6.92,6.38,-11.76,-0.52,14.76,-0.27,-3.49,0,-11.05,-6.77,16.50,2.7,-10.96,13.43,-12.44,5.61,13.31
E01022955,Havant 014C,E07000090,Havant,7.64,12.82,-11.54,17.92,0.87,9.71,5.44,12.99,-27.63,23.49,0.60,5.78,9.65,12.66,11.11,12.66,1.14,12.55
E01022956,Havant 014D,E07000090,Havant,-1.23,-11.57,-7.79,-8.86,8.29,43.97,-1.17,-11.59,-15.66,-5.14,4.39,56.00,-1.29,-11.54,1.41,-12.05,12.62,34.85
E01022957,Havant 014E,E07000090,Havant,-2.3,-16.36,-1.76,-6.73,7.46,6.53,-1.44,-10.58,-10.59,-7.43,8.96,14.00,-3.09,-21.55,7.06,-6.03,5.97,1.38
E01022958,Havant 014F,E07000090,Havant,17.57,34.25,-0.68,25.85,1.98,26.14,15.66,39.08,-3.8,24.62,-6.73,30.97,19.5,29.79,2.9,27.17,11.17,21.84
E01022959,Havant 005A,E07000090,Havant,-0.6,-4.89,-8.89,4.88,3.26,-1.70,-0.42,3.25,-16.81,2.87,5.10,-0.94,-0.77,-12.14,-0.89,6.85,1.71,-2.33
E01022960,Havant 007A,E07000090,Havant,-1.78,-0.33,-16.59,-1.57,-4.73,29.09,-2.92,-3.38,-16.82,1.22,-8.39,28.57,-0.7,2.65,-16.35,-4.18,-0.76,29.41
E01022961,Havant 007B,E07000090,Havant,-3.04,-2.3,-14.06,-7.91,6.72,12.50,-4.84,-4.67,-18.45,-6.25,0.00,14.55,-1.26,0,-8.99,-9.45,13.85,10.77
E01022962,Havant 005B,E07000090,Havant,2.32,-6.8,-4.64,-2.67,11.07,14.81,5.1,-0.8,3.19,-1.27,12.10,16.81,-0.26,-12.8,-12,-4.02,10,13.38
E01022963,Havant 007C,E07000090,Havant,-0.21,11.66,-15.05,-6.78,0.84,8.82,0.28,7.53,-5.21,-7.77,-5.49,16.89,-0.68,17.14,-25.56,-5.85,7.34,2.60
E01022964,Havant 007D,E07000090,Havant,-1.21,-1.12,-8.9,-4.64,7.32,3.18,0.15,-1.49,-3.26,-10.88,3.05,33.73,-2.5,-0.74,-14.14,1.7,12.17,-15.33
E01022965,Havant 005C,E07000090,Havant,3.93,-7.57,3.03,2.32,15.38,13.76,4.74,6.08,-8.13,5.74,13.79,5.81,3.16,-20.51,15.74,-0.73,16.95,20.39
E01022966,Havant 006C,E07000090,Havant,1.87,-4.14,0.93,1.48,6.61,9.72,-0.89,-14.47,3.96,-2.56,9.32,12.50,4.49,6.45,-1.74,5.44,4.03,7.50
E01022967,Havant 006D,E07000090,Havant,3.73,14.81,-7.65,-0.25,11.11,-1.13,1.49,1.36,-10.59,-1.01,12.12,8.11,5.99,30.89,-4.71,0.5,10,-7.77
E01022968,Havant 008C,E07000090,Havant,-1.54,-5.03,-16.12,-3.25,6.61,31.45,0.41,-2.69,-2.29,-4.22,5.79,25.00,-3.43,-7.56,-28.87,-2.34,7.44,36.76
E01022969,Havant 008D,E07000090,Havant,-1.49,4.79,-17.22,-2.52,-1.15,17.39,-5.5,-9.79,-21.34,0,-7.81,28.13,2.51,22.36,-12.32,-4.87,5.26,10.31
E01022970,Havant 010E,E07000090,Havant,6.33,9.89,-0.75,5.3,14.57,0.48,8.09,14.92,1.41,4.78,9.02,10.98,4.57,4.41,-3.23,5.81,20.66,-6.40
E01022971,Havant 004B,E07000090,Havant,-0.89,-15.05,4,-8.03,-6.36,18.36,-2.89,-8.33,-2.38,-15.77,-6.63,22.01,1.1,-22.22,12.12,0,-6.1,15.38
E01022972,Havant 004C,E07000090,Havant,9.23,10.57,10,8.51,4.44,13.76,8.56,7.83,7.22,10,3.93,12.80,9.89,13.39,13.25,6.96,4.95,14.58
E01022973,Havant 005D,E07000090,Havant,4.81,-6.56,-2.76,0.7,11.32,14.10,4.03,-4.96,-11.11,5.5,9.38,12.44,5.51,-8.47,5.5,-4.27,13.29,15.06
E01022974,Havant 004D,E07000090,Havant,0.77,-4.23,-5.92,-5.61,-1.64,19.93,1.92,10,-8.86,-6.74,0.00,17.02,-0.27,-17.17,-3.33,-4.61,-3.11,22.67
E01022975,Havant 003D,E07000090,Havant,9.6,27.21,22,9.8,6.21,3.08,9.23,35.82,16.05,6.25,8.82,2.47,9.96,20,28.99,13.68,3.57,3.62
E01022976,Havant 003E,E07000090,Havant,-3.97,-16.36,-12.12,-8.44,2.8,9.29,-1.54,-14.95,-10,-6.18,12.42,7.75,-6.46,-17.7,-14.77,-11.16,-6.83,10.50
