LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01028069,Broxtowe 014A,E07000172,Broxtowe,-1.24,-6.45,-16.5,-1.84,5.05,4.50,-0.18,-10.26,-14.29,-0.46,0.84,15.15,-2.32,-2.6,-19.15,-3.26,10.1,-4.07
E01028070,Broxtowe 014B,E07000172,Broxtowe,-1.67,0,14.61,-8.11,-9.96,5.40,-1.78,15.63,5.88,-10.76,-12.88,6.96,-1.56,-14.93,26.32,-5.07,-7.19,4.12
E01028073,Broxtowe 011A,E07000172,Broxtowe,1.47,19.27,-3.02,-1.85,-1.82,4.94,0.96,25,-11.65,-4.62,3.57,9.74,1.96,13.21,6.25,1.67,-7.41,2.21
E01028074,Broxtowe 011B,E07000172,Broxtowe,-3.48,11.46,-16.89,8.43,-6.55,-13.38,-2.87,-3.09,-26.67,10.9,4.67,-4.96,-4.19,35,-5.71,4.56,-16.39,-19.10
E01028075,Broxtowe 011C,E07000172,Broxtowe,5.47,15.04,9.57,2.42,8.43,-3.82,7.31,16.5,1.4,5.77,11.96,9.38,3.53,13.82,17.99,-1.7,4.65,-12.90
E01028076,Broxtowe 009A,E07000172,Broxtowe,2.94,9.64,4.29,-2.41,-0.36,12.56,2.89,6.58,15.15,-0.84,-2.17,7.62,2.99,12.22,-5.41,-4.11,1.41,17.27
E01028077,Broxtowe 009B,E07000172,Broxtowe,0.21,10,-14.1,-3.7,13.81,1.35,-0.94,13.33,-26.52,-2.43,10.09,8.60,1.42,6.67,1.96,-5.14,17.82,-3.88
E01028078,Broxtowe 009C,E07000172,Broxtowe,9.14,4.64,-1.52,17.9,9.54,2.59,7.12,1.99,-2.8,17.42,4.07,0.00,11.22,7.28,0,18.39,15.25,4.76
E01028079,Broxtowe 009D,E07000172,Broxtowe,5.99,16.67,-0.26,10.95,-10.88,11.30,8.68,12.5,8.33,12.1,-6.32,8.86,3.16,21.95,-6.98,9.4,-15.31,13.27
E01028080,Broxtowe 012A,E07000172,Broxtowe,1.47,17.8,-20.87,-0.66,7.69,4.55,2.56,18.6,-15.53,0.27,0.00,12.04,0.36,16.82,-26.21,-1.57,17.24,-1.49
E01028081,Broxtowe 012B,E07000172,Broxtowe,-2.79,-7.35,-6.09,-9.66,-0.39,8.03,-4.47,-7.94,-25,-6.85,6.30,0.00,-1.01,-6.85,17.65,-12.82,-6.98,16.55
E01028082,Broxtowe 012C,E07000172,Broxtowe,-3.79,-11.37,-21.38,-6.74,10.97,10.78,-1.71,-0.98,-16.67,-4.28,8.33,6.25,-5.85,-21.1,-26.67,-9.16,13.68,14.94
