LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01025670,Charnwood 022A,E07000130,Charnwood,-1.38,-4.33,8.13,-6.44,-12.27,15.56,0.29,4,17.78,-8.88,-16.90,22.43,-3.01,-12.4,-4.29,-4.07,-7.09,10.67
E01025671,Charnwood 022B,E07000130,Charnwood,-0.71,-13.9,-0.54,0.16,-0.31,9.91,-1.35,-14.2,16.88,-4.44,1.23,6.59,-0.11,-13.58,-13.08,4.62,-1.85,13.07
E01025672,Charnwood 022C,E07000130,Charnwood,14.58,24,4.37,18.67,-1.82,23.64,15.46,22.73,10.34,17.39,4.30,21.19,13.76,25.34,-1.04,19.87,-7.58,25.70
E01025673,Charnwood 022D,E07000130,Charnwood,1.27,-13.14,14.67,1.74,-10.74,15.67,-0.4,-12.4,17.74,-2.35,-10.71,16.89,2.78,-13.91,12.5,5.7,-10.76,14.78
E01025674,Charnwood 011A,E07000130,Charnwood,-0.36,2.47,-28.29,2.51,-1.11,11.53,-0.37,6.72,-34.58,4.4,-2.63,13.89,-0.36,-1.61,-21.43,0.75,0.59,9.60
E01025675,Charnwood 011B,E07000130,Charnwood,6.77,9.96,-0.64,4.58,-3.63,24.13,7,5.04,-3.61,4.02,3.59,25.56,6.52,17.39,2.7,5.14,-10.98,22.88
E01025676,Charnwood 011C,E07000130,Charnwood,12.62,18.76,-0.47,10.15,-0.24,37.16,16.6,25.12,18,9.29,5.18,37.50,8.88,12.84,-17.12,10.99,-5.09,36.84
E01025677,Charnwood 011D,E07000130,Charnwood,0.37,1.35,3.85,-5.82,-0.38,8.30,0.31,6.67,-12,-7.59,2.48,15.52,0.42,-3.42,25.45,-4.04,-2.76,3.47
E01025678,Charnwood 020A,E07000130,Charnwood,3.25,-4.18,-2.36,-2.82,11.44,16.55,2.81,-5.41,-1.82,-5.15,20.56,9.60,3.69,-2.88,-2.94,-0.36,3.06,22.22
E01025679,Charnwood 019A,E07000130,Charnwood,40.71,43.38,19.06,66.79,29.52,15.18,43.82,41.94,23.65,73.07,35.00,13.71,37.9,44.86,14.57,61.23,24.49,16.33
E01025680,Charnwood 019B,E07000130,Charnwood,-1.01,-2.22,-12.7,0.78,0.29,2.17,-3.77,2.29,-26.36,-2.29,-1.72,1.75,1.79,-6.47,6.33,4.02,2.34,2.53
E01025681,Charnwood 019C,E07000130,Charnwood,0.62,-7.96,13.7,-3.8,-3.29,9.67,0.13,-10.74,10.34,0,-4.47,7.26,1.12,-4.76,18.64,-7.47,-2.15,11.68
E01025682,Charnwood 019D,E07000130,Charnwood,1.57,11.38,-14.97,-2.04,-2.66,10.37,0.42,11.76,-18.6,-1.03,-3.31,7.77,2.7,10.98,-11.11,-3.02,-2,12.72
E01025683,Charnwood 020B,E07000130,Charnwood,-0.6,-4.3,-10.36,-4.15,16.85,1.82,-1.09,-11.72,2.63,-9.74,11.97,15.25,-0.12,2.55,-24.07,1.69,22.14,-8.28
E01025684,Charnwood 020C,E07000130,Charnwood,0.11,0.59,-5.95,-3.85,9.84,2.83,1.08,-1.16,-5.88,-1.27,8.81,6.80,-0.85,2.38,-6.03,-6.29,10.9,-0.58
E01025685,Charnwood 015A,E07000130,Charnwood,-3.92,-13.52,7.01,-15.23,-8.3,19.19,-4.54,-12.2,5.13,-15.72,-11.63,25.00,-3.36,-14.88,8.86,-14.69,-5.63,15.03
E01025686,Charnwood 015B,E07000130,Charnwood,4.82,0,11.11,-1.17,-4.41,40.00,3.89,-5.04,5.1,2.45,-1.76,29.79,5.75,5.19,17.58,-4.51,-7.06,51.16
E01025687,Charnwood 016A,E07000130,Charnwood,3.16,3.83,-7.75,4.82,-6.71,15.60,2.88,3.92,-16.87,6.25,-4.35,16.02,3.43,3.74,5.08,3.47,-9.05,15.24
E01025688,Charnwood 016B,E07000130,Charnwood,-0.72,-2.24,-9.62,1.43,-0.64,6.60,0.94,0.75,6.21,-4.07,-5.45,11.63,-2.44,-5.19,-30.37,7,4.76,2.52
E01025689,Charnwood 007A,E07000130,Charnwood,0.9,3.9,-4.02,3.37,0.68,12.26,0.13,-9,0,4.16,-1.35,5.74,1.9,23.31,-10.07,2.4,2.72,17.99
E01025690,Charnwood 007B,E07000130,Charnwood,8.82,-7.51,9.53,13.68,6.82,10.64,10.08,-8.33,11.49,11.69,4.21,10.53,7.01,-6.78,6.49,16.73,9.88,10.71
E01025692,Charnwood 001B,E07000130,Charnwood,5.82,5.51,-7.63,2.76,12.04,22.75,5.73,10,-3.42,-2.06,13.33,26.32,5.91,1.09,-11.36,7.75,10.73,19.83
E01025693,Charnwood 001C,E07000130,Charnwood,12.91,19.64,27.54,10.55,0,21.24,14.54,28.99,28.4,15.02,-4.64,21.39,11.32,10.22,26.74,6.21,4.82,21.11
E01025695,Charnwood 004A,E07000130,Charnwood,0,-11.18,-9.41,1.32,-10.59,24.10,1.58,-4.35,-9.32,7.92,-13.69,22.14,-1.77,-20.29,-9.52,-6.05,-7.56,26.09
E01025696,Charnwood 004B,E07000130,Charnwood,-1.34,-19.44,-0.66,-6.44,-5.22,47.37,-1.1,-16.54,-4.6,-3.94,-5.33,40.00,-1.59,-22.4,4.62,-9.05,-5.11,55.56
E01025697,Charnwood 004C,E07000130,Charnwood,-2.47,2.86,-24.49,-1.53,-1.56,4.41,-1.91,0,-32.11,4.93,-6.82,12.21,-3,5.41,-14.94,-8.47,4.03,-0.77
E01025698,Charnwood 004D,E07000130,Charnwood,-3.12,-6.06,-19.18,-12.2,0,30.67,-5.67,-8.73,-21.01,-12.41,-3.98,29.36,-0.39,-2.86,-17,-11.97,4.17,31.78
E01025699,Charnwood 002A,E07000130,Charnwood,5.98,5.53,-8.82,16.61,7.75,-7.56,8.9,7.27,-11.21,18.08,7.84,3.06,2.38,3.37,-6.56,14.35,7.62,-15.75
