LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01026122,Lincoln 004A,E07000138,Lincoln,8.87,19.52,17.91,2.31,4.51,0.00,12.29,10.28,34.12,3.77,-0.72,10.14,5.11,29.13,3.2,0.34,11.43,-7.37
E01026123,Lincoln 004B,E07000138,Lincoln,7,13.59,-14.47,9.93,17.69,5.18,4.67,6.82,-20.73,10.75,9.27,17.95,9.3,21.4,-8.46,9.17,27.78,-3.48
E01026124,Lincoln 004C,E07000138,Lincoln,8.36,23.67,-4.86,9.96,3.68,11.30,9.35,18.84,-2.61,11.65,4.12,11.29,7.27,29.91,-6.82,7.93,3.23,11.32
E01026125,Lincoln 003A,E07000138,Lincoln,1.98,6.42,-13.38,-1.43,19.02,2.72,-0.32,12.5,-27.85,-2.55,15.15,0.00,4.59,0,1.28,0,23.53,5.26
E01026126,Lincoln 004D,E07000138,Lincoln,11.68,32.37,18.04,3.38,28.13,-5.03,11.58,33.96,29.33,-2.11,27.14,10.75,11.82,30.69,7.83,13.62,29.76,-18.87
E01026127,Lincoln 007A,E07000138,Lincoln,1.28,1.48,-20,1.71,15.84,11.24,0.95,-3.31,-21.5,-1.87,20.91,26.09,1.61,7.01,-18.75,5.41,9.78,1.83
E01026128,Lincoln 007B,E07000138,Lincoln,4.27,0.36,3.18,1.6,13.69,9.94,3.05,-2.42,17.02,-0.97,8.52,7.59,5.43,3.47,-8.09,4.02,18.68,11.96
E01026129,Lincoln 007C,E07000138,Lincoln,2.49,1.69,-9.97,3.23,15.79,17.86,1.87,-1.08,-12.88,2.54,20.54,25.64,3.09,4.71,-7.45,3.88,11.21,11.11
E01026130,Lincoln 009A,E07000138,Lincoln,-0.43,-5.26,-5.69,-8.31,-6.02,19.46,-0.73,-9.18,-4.48,-4.12,-13.45,25.00,-0.14,-1.09,-7.14,-12.09,1.86,14.84
E01026131,Lincoln 007D,E07000138,Lincoln,-2.67,-0.39,-15.43,-4.67,-1.71,7.06,-2.93,6.92,-22.58,-5.91,3.65,0.00,-2.42,-8,-8.42,-3.42,-6.45,13.33
E01026132,Lincoln 005A,E07000138,Lincoln,-4.74,27.66,-11.51,8.3,-6.21,7.84,1.68,36.73,-3.04,9.68,-11.88,10.00,-10.56,17.78,-17.82,6.25,1.32,6.02
E01026133,Lincoln 008A,E07000138,Lincoln,-1.73,3.92,-16.04,15.73,27.27,-6.33,-4.76,-1.6,-21.47,13.14,21.58,-2.78,1.31,10.06,-11.19,18.8,34.21,-9.30
E01026134,Lincoln 006A,E07000138,Lincoln,4.99,-8.03,25.82,7.32,8.19,-13.13,2.65,-6.2,28.24,0,5.69,-13.08,7.37,-10,23.61,15.92,11.01,-13.16
E01026135,Lincoln 008B,E07000138,Lincoln,0.06,-5.17,-2.69,-5.16,2.73,12.54,-1.23,-11.03,-2.38,-5.5,3.83,11.33,1.42,1.59,-3.09,-4.8,1.64,13.61
E01026136,Lincoln 008C,E07000138,Lincoln,-1.02,-12.39,3.82,-8.67,8.71,6.43,0.14,-11.3,9.52,-10.66,10.95,11.56,-2.13,-13.59,-2.74,-6.55,6.67,2.56
E01026137,Lincoln 011A,E07000138,Lincoln,-2.56,-5.16,-7.55,-10.79,1.17,22.29,-1.61,0.92,-15.66,-12.55,4.84,38.81,-3.51,-11.54,1.32,-8.84,-2.26,11.11
E01026138,Lincoln 011B,E07000138,Lincoln,-5.51,-15.66,-13.41,-12.4,-8.24,34.42,-5.05,-14.63,-7.78,-13.97,-6.42,35.64,-5.97,-16.67,-19.1,-10.71,-10.05,33.33
E01026139,Lincoln 011C,E07000138,Lincoln,14.48,47.26,17.32,17.34,5.95,0.35,14.6,61.9,25,12.65,3.10,0.79,14.38,36.14,11.27,21.67,8.94,0.00
