LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
W01001059,The Vale of Glamorgan 015A,W06000014,The Vale of Glamorgan,-0.44,-1.68,-20.14,5.21,-4.66,7.21,-1.91,-11.46,-24.18,13.37,-8.57,7.52,1.05,9.64,-13.21,-3.37,-0.6,6.99
W01001060,The Vale of Glamorgan 015B,W06000014,The Vale of Glamorgan,-0.42,-9.68,-3.36,-5.56,-1.2,10.22,0.87,4.4,-20.97,-8.37,5.73,13.07,-1.59,-23.16,15.79,-2.59,-7.39,8.09
W01001061,The Vale of Glamorgan 015C,W06000014,The Vale of Glamorgan,6.65,-5,1.45,5.07,14.68,21.25,6.95,4.76,-12.5,3.09,14.50,33.90,6.35,-13.74,15,7.24,14.87,12.43
W01001062,The Vale of Glamorgan 013A,W06000014,The Vale of Glamorgan,0.89,-5.75,6.21,-1.9,12.13,-0.87,0.46,-4.1,-1.35,-3.86,16.67,-1.98,1.29,-7.19,14.08,0,7.56,0.00
W01001063,The Vale of Glamorgan 012A,W06000014,The Vale of Glamorgan,0.53,4.67,-5.26,-7.7,11.91,10.65,-0.71,0.62,-15.89,-6.98,12.50,17.39,1.79,8.81,5.88,-8.49,11.28,5.65
W01001064,The Vale of Glamorgan 013B,W06000014,The Vale of Glamorgan,7.57,4.38,-3.69,9.87,6.98,16.01,9.59,4.72,-4.39,16.18,-8.51,46.74,5.81,4.03,-2.91,4.55,25.64,1.06
W01001065,The Vale of Glamorgan 012B,W06000014,The Vale of Glamorgan,1.24,-11.46,3,0,11.46,6.25,3.98,-10.98,8.8,1.62,9.04,22.58,-1.49,-12,-3.7,-1.48,14.19,-5.34
W01001066,The Vale of Glamorgan 015D,W06000014,The Vale of Glamorgan,0,-7.38,-6.19,-6.52,3.15,31.58,-0.38,-3.87,-2.86,-6.1,-1.41,30.95,0.36,-10.59,-9.52,-6.94,7.64,32.00
W01001067,The Vale of Glamorgan 009A,W06000014,The Vale of Glamorgan,1.79,9.17,-0.5,-5.8,3.73,7.55,-0.72,16.33,-7.62,-10.08,-2.84,13.89,4.08,3.82,7.45,-0.95,9.74,3.53
W01001068,The Vale of Glamorgan 009B,W06000014,The Vale of Glamorgan,-2.99,-3.86,-13.06,-6.62,-0.63,31.06,-0.93,1.62,-3.81,-8.33,-0.61,31.43,-5,-9.55,-20,-4.94,-0.64,30.65
W01001069,The Vale of Glamorgan 012C,W06000014,The Vale of Glamorgan,-4.89,-0.7,-2.2,-15.83,8.21,0.55,-4.46,9.02,-2.3,-17.53,7.38,-1.16,-5.34,-9.15,-2.11,-13.92,9.16,2.06
W01001070,The Vale of Glamorgan 009C,W06000014,The Vale of Glamorgan,2.08,2.93,22.79,-10.61,7.1,25.00,-0.17,9.02,8.57,-13.01,2.06,30.00,4.54,-3.42,37.88,-7.87,12.79,20.45
W01001071,The Vale of Glamorgan 009D,W06000014,The Vale of Glamorgan,-1.07,-1.08,-7.25,-7.68,1.56,17.41,-2.15,-2.22,-8.08,-9.03,0.00,20.00,0,0,-6.38,-6.2,3.01,15.13
W01001072,The Vale of Glamorgan 009E,W06000014,The Vale of Glamorgan,8.77,6.38,9.47,0.09,21.03,29.34,7.05,9.42,1.6,-4.96,26.87,26.02,10.55,3.13,19.33,5.09,15.48,32.77
W01001073,The Vale of Glamorgan 015E,W06000014,The Vale of Glamorgan,4.01,7.44,2.13,-2.6,9.19,14.11,2.76,1.54,15.04,-5.64,9.64,10.81,5.26,14.29,-9.4,0.83,8.81,16.79
W01001075,The Vale of Glamorgan 004A,W06000014,The Vale of Glamorgan,-5.32,-11.61,16.92,-11.3,-9.02,3.90,-5.37,-13.51,17.19,-10.77,-13.60,13.41,-5.28,-9.73,16.67,-11.79,-4.62,-2.44
W01001076,The Vale of Glamorgan 004B,W06000014,The Vale of Glamorgan,0.27,4.41,-10.11,-3.7,5.45,11.46,2.75,12.9,3.66,-0.33,-8.16,20.59,-2.06,-2.7,-21.88,-6.98,21.09,4.49
W01001077,The Vale of Glamorgan 004C,W06000014,The Vale of Glamorgan,-1.46,-10.62,-5.23,-5.06,-7.03,14.82,-0.41,-9.73,-4,-1.47,-14.37,22.89,-2.41,-11.5,-6.41,-8.23,0.63,8.29
W01001078,The Vale of Glamorgan 004D,W06000014,The Vale of Glamorgan,2.64,4.9,-7.82,-5.41,8.82,16.46,1.09,11.21,-25.24,-8.88,20.18,16.35,4.11,0,15.79,-1.9,-1.61,16.54
W01001079,The Vale of Glamorgan 012E,W06000014,The Vale of Glamorgan,1.17,2.06,4.06,-3.24,-0.79,14.37,2.97,0.59,6.52,-0.35,-3.05,31.25,-0.5,3.53,1.9,-5.94,1.63,3.88
W01001080,The Vale of Glamorgan 012F,W06000014,The Vale of Glamorgan,-1.72,0,-13.73,-5.3,6.34,7.66,-3.24,3.53,-22.41,-10.65,18.05,1.92,-0.24,-3.53,-5.13,0.34,-3.97,12.71
W01001081,The Vale of Glamorgan 007A,W06000014,The Vale of Glamorgan,6.76,12.81,-9.38,7.92,2.53,17.51,7.66,19.87,-6.03,4.94,-1.42,23.21,5.92,6.51,-12.14,10.98,6.62,13.10
W01001082,The Vale of Glamorgan 002A,W06000014,The Vale of Glamorgan,7.28,23.57,-2.56,0.83,-5.97,17.46,4.09,23.26,-19.44,-3.74,-4.03,16.74,10.31,23.94,24.44,5.78,-7.69,17.99
W01001083,The Vale of Glamorgan 002B,W06000014,The Vale of Glamorgan,-5,4.13,-12.06,-11.93,-18.49,12.33,-6.32,-2.73,-22.35,-13.55,-14.51,13.66,-3.69,11.11,3.57,-10.24,-22.02,11.11
W01001084,The Vale of Glamorgan 002C,W06000014,The Vale of Glamorgan,1.88,14.81,2.94,-4.56,-15.23,17.23,0.51,9.91,-9.21,-6.93,-12.64,20.86,3.15,20,18.33,-1.92,-17.33,14.62
W01001085,The Vale of Glamorgan 002D,W06000014,The Vale of Glamorgan,-4.16,-13.45,-7.83,-18.66,4.37,19.45,-4.69,-15.97,-14.89,-17.23,6.47,20.98,-3.6,-10.69,1.39,-20.18,2.31,18.00
W01001086,The Vale of Glamorgan 006A,W06000014,The Vale of Glamorgan,0.85,-15.91,-6.57,-2,-2.74,19.28,0.79,-19.13,-7.89,1.75,-2.50,19.43,0.91,-12.38,-4.92,-5.88,-2.96,19.16
W01001087,The Vale of Glamorgan 006B,W06000014,The Vale of Glamorgan,0.26,3.02,-5.42,0.69,-7.69,6.98,0.94,-1.64,4.94,3.81,-5.23,2.82,-0.37,8.18,-15.29,-2.2,-9.88,10.27
W01001088,The Vale of Glamorgan 006C,W06000014,The Vale of Glamorgan,1.89,1.47,-4.87,-0.39,6.27,4.50,0.33,7.64,1.79,-8.55,1.72,5.08,3.35,-5.47,-11.4,8.4,10.36,4.07
W01001089,The Vale of Glamorgan 006D,W06000014,The Vale of Glamorgan,3.33,-7.37,-17.5,7.77,1.94,14.94,3.67,-12.37,-18.67,12.56,2.84,13.73,3.01,-2.15,-16.47,2.93,1.08,15.90
W01001090,The Vale of Glamorgan 006E,W06000014,The Vale of Glamorgan,-2.62,-12.18,-2.76,-4.39,-3.59,6.96,-2.51,-21.54,6.85,-3.81,2.72,5.29,-2.73,-0.93,-12.5,-4.96,-9.43,8.47
W01001091,The Vale of Glamorgan 010A,W06000014,The Vale of Glamorgan,-2.03,-14.42,-17.56,-10.68,0.68,19.50,-2.64,-7.21,-25,-3.52,-5.36,18.52,-1.41,-22.68,-7.06,-17.43,6.94,20.38
W01001092,The Vale of Glamorgan 007B,W06000014,The Vale of Glamorgan,14.7,6.74,10.59,22.01,21.86,5.13,11.72,-2.87,9.7,21.72,16.97,5.74,17.61,16.77,11.57,22.26,27.4,4.64
W01001093,The Vale of Glamorgan 013C,W06000014,The Vale of Glamorgan,-5.57,-4.51,-12.88,-5.56,-1.15,-5.97,-7.6,-3.42,-13.27,-9.79,-4.19,-7.53,-3.65,-5.63,-12.5,-1.1,2.53,-5.02
W01001094,The Vale of Glamorgan 007C,W06000014,The Vale of Glamorgan,-3.97,-2.83,-18.61,-9.41,20.63,2.61,-3.04,-5.52,-14.81,-9,25.56,1.39,-4.8,0,-21.95,-9.74,16.16,3.70
W01001095,The Vale of Glamorgan 007D,W06000014,The Vale of Glamorgan,2.49,0.81,-9.24,8.84,2.18,5.45,2.33,0,-4.1,8.48,-0.91,4.88,2.64,1.68,-14.17,9.16,5.04,5.83
W01001096,The Vale of Glamorgan 007E,W06000014,The Vale of Glamorgan,-3.92,8.74,-11.89,-12.36,-2.11,2.13,-2.5,16.48,-5.63,-13.73,0.73,2.04,-5.31,1.09,-18.06,-10.78,-4.76,2.20
W01001097,The Vale of Glamorgan 007F,W06000014,The Vale of Glamorgan,-1.68,-4.6,1.76,-5.27,-0.78,8.51,-0.25,-5.53,-1.91,-1.59,3.42,14.63,-3.01,-3.65,6.3,-8.36,-4.29,3.77
W01001098,The Vale of Glamorgan 010B,W06000014,The Vale of Glamorgan,0.28,30.25,-25.4,0.67,-11.87,11.24,2.69,50.91,-39.73,4.29,-6.20,13.71,-1.94,12.5,-5.66,-2.53,-16.78,9.09
W01001099,The Vale of Glamorgan 013D,W06000014,The Vale of Glamorgan,-1.26,-14.65,4.71,0.99,2.8,1.58,-0.62,-8.39,8.33,3.19,-0.79,-4.00,-1.84,-21.54,1.16,-0.93,6.5,5.23
W01001100,The Vale of Glamorgan 010C,W06000014,The Vale of Glamorgan,0,-7.39,-5.99,-16.16,20.06,9.91,-0.53,-6.36,-17.53,-13.42,19.66,11.68,0.51,-8.33,10,-18.88,20.47,8.60
W01001101,The Vale of Glamorgan 013E,W06000014,The Vale of Glamorgan,1.03,-2.11,-1.75,0.18,-1.2,13.76,-2.23,-4,-16.49,-4.01,1.52,17.65,4.6,0,17.57,4.92,-4.2,10.58
W01001102,The Vale of Glamorgan 013F,W06000014,The Vale of Glamorgan,-1.94,0.61,-10.22,-5.69,9.09,0.00,-0.95,0.56,2.38,-8.57,0.00,19.18,-2.84,0.66,-20.59,-3.14,19.81,-10.61
W01001103,The Vale of Glamorgan 010D,W06000014,The Vale of Glamorgan,-4.55,-5.88,-29.65,-11.69,-1.41,24.00,-1.37,9.18,-30.12,-8.84,0.79,23.71,-7.35,-22.47,-29.21,-14.22,-3.18,24.22
W01001104,The Vale of Glamorgan 004E,W06000014,The Vale of Glamorgan,-0.56,11.3,-12.22,-3.51,-4.81,4.81,0.2,15.17,-13.59,-0.32,-9.00,6.93,-1.3,7.48,-10.39,-6.49,-0.49,2.98
W01001105,The Vale of Glamorgan 001A,W06000014,The Vale of Glamorgan,0.49,-2.39,-5.68,-1.92,-2.85,13.41,-1.12,-4.37,-9.09,-2.47,-3.13,10.94,2.12,0,-1.65,-1.38,-2.6,15.66
W01001106,The Vale of Glamorgan 011A,W06000014,The Vale of Glamorgan,4.56,14.65,-9.09,3.1,-3.1,18.12,6.6,16.5,-0.98,6.05,-2.47,15.86,2.56,12.63,-17.71,0,-3.63,20.26
W01001107,The Vale of Glamorgan 011B,W06000014,The Vale of Glamorgan,0.91,16.23,-20.41,-5.78,-10.35,16.67,2.04,16.22,-8.7,-3.48,-5.71,11.98,-0.12,16.25,-30.77,-8.12,-14.58,20.53
W01001108,The Vale of Glamorgan 014A,W06000014,The Vale of Glamorgan,1.95,3.03,-14.2,-3.64,4.92,26.56,-2.88,-3.66,-15.91,-12.94,4.43,39.29,7.65,11.28,-12.35,9.7,5.44,16.67
W01001109,The Vale of Glamorgan 011C,W06000014,The Vale of Glamorgan,0.07,-5.26,-9.83,0.48,-7.67,15.36,1.25,3.88,-5.62,-1.88,-5.56,14.94,-1.05,-12.8,-14.29,2.99,-9.76,15.71
W01001110,The Vale of Glamorgan 011D,W06000014,The Vale of Glamorgan,-5.34,-20.81,-5.26,-13.65,-5.07,20.26,-8.36,-23.08,-19.23,-15.73,-0.73,13.16,-2.51,-18.87,9.46,-11.6,-8.81,27.12
W01001111,The Vale of Glamorgan 011E,W06000014,The Vale of Glamorgan,-1.01,5.09,-14.49,-5.05,0,9.34,1.97,21.64,-13.33,-4.59,0.79,6.35,-3.77,-10.64,-15.69,-5.49,-0.63,12.21
W01001112,The Vale of Glamorgan 011F,W06000014,The Vale of Glamorgan,-3.05,-11.92,-14.2,-10.52,20.08,15.88,-6.07,-20.26,-10.99,-11.61,16.52,12.20,-0.14,-3.36,-17.95,-9.52,23.39,19.32
W01001113,The Vale of Glamorgan 003A,W06000014,The Vale of Glamorgan,2.73,0,3.83,-5.29,1.48,16.95,3.08,1.82,-1.63,-2.68,2.77,13.99,2.39,-1.9,11.63,-7.69,0.35,20.18
W01001114,The Vale of Glamorgan 008A,W06000014,The Vale of Glamorgan,-1.36,-7.29,-2.1,-9.97,-2.31,10.63,-3.54,-12.93,-9.86,-6.49,-3.78,8.37,0.73,1,5.56,-13.11,-0.98,12.55
W01001115,The Vale of Glamorgan 008B,W06000014,The Vale of Glamorgan,1.29,5.05,-17.2,4.77,2.91,1.54,1.45,3.33,-20.71,9.94,-2.14,5.38,1.15,6.64,-12.73,0,7.85,-1.11
W01001116,The Vale of Glamorgan 005A,W06000014,The Vale of Glamorgan,-2.3,-6.08,-7.1,-13.92,-4.79,12.34,-4.9,-10.53,-12.77,-11.61,-9.60,12.45,0,-1.39,0,-16.13,0,12.27
W01001117,The Vale of Glamorgan 014B,W06000014,The Vale of Glamorgan,3.06,0.89,0,2.09,-16.8,32.25,2.17,-6.5,12.5,6.52,-22.93,32.89,3.98,9.9,-13.64,-2.01,-9.89,31.61
W01001118,The Vale of Glamorgan 014C,W06000014,The Vale of Glamorgan,1.16,-7.89,8.97,-9.44,14.13,16.77,2.06,-4.05,4.22,-9.15,12.93,25.52,0.25,-12.16,15.32,-9.72,15.32,9.60
W01001119,The Vale of Glamorgan 003B,W06000014,The Vale of Glamorgan,1.62,-11.38,3.98,-8.46,21.75,7.39,2.08,-8.33,1.9,-11.72,26.06,8.45,1.15,-14.2,6.25,-5.17,17.46,6.34
W01001120,The Vale of Glamorgan 014D,W06000014,The Vale of Glamorgan,-5.6,-12.63,-11.32,-14.11,-2.76,14.64,-6.39,-18.69,-15.48,-12.17,-0.56,12.39,-4.84,-5.49,-6.67,-15.72,-4.95,16.67
W01001121,The Vale of Glamorgan 014E,W06000014,The Vale of Glamorgan,0.57,-3.18,-2.73,0.67,0.91,4.89,-2.49,-3.38,-14.02,-1.82,-3.11,5.42,3.68,-2.96,13.16,3.06,4.79,4.40
W01001122,The Vale of Glamorgan 014F,W06000014,The Vale of Glamorgan,-7.31,-11.73,-15.61,-10.38,5.92,60.53,-10.22,-11.69,-19.41,-12.87,6.00,75.00,-2.46,-11.76,-3.9,-5.53,5.84,48.39
W01001123,The Vale of Glamorgan 005B,W06000014,The Vale of Glamorgan,-0.38,0.55,-12.58,-4.98,-5.03,13.85,0,0,-18.52,-9.83,1.03,22.78,-0.74,1.02,-5.71,0,-11.41,7.76
W01001124,The Vale of Glamorgan 005C,W06000014,The Vale of Glamorgan,4.87,6.4,-5.19,0.36,13.59,11.48,5.1,8.09,-9.2,2.86,11.11,12.66,4.64,4.39,0,-2.12,16.08,10.58
W01001125,The Vale of Glamorgan 005D,W06000014,The Vale of Glamorgan,4.63,-1.12,-2.1,4.81,5.04,12.81,3.22,-11.72,2.6,4.05,6.77,16.81,6,11.48,-7.58,5.56,3.2,10.12
W01001126,The Vale of Glamorgan 005E,W06000014,The Vale of Glamorgan,23.62,54.59,6.29,11.78,25.29,47.55,18.02,50,-2.6,7.6,16.67,43.16,29.71,60.2,14.63,16.45,35.19,51.38
W01001127,The Vale of Glamorgan 001B,W06000014,The Vale of Glamorgan,-1.91,-11.63,13.41,-10.7,-8.78,16.17,-4.3,-19.1,17.02,-12.66,-13.66,16.78,0.5,-3.61,8.57,-8.88,-3.8,15.58
W01001128,The Vale of Glamorgan 001C,W06000014,The Vale of Glamorgan,-1.03,1.86,-14.77,-9.49,1.4,13.53,-1.77,-1.67,-14.29,-5.1,-6.21,16.78,-0.28,6.32,-15.38,-13.49,8.94,10.63
W01001129,The Vale of Glamorgan 004F,W06000014,The Vale of Glamorgan,7.58,11.97,0.87,10.29,14.04,-3.06,7.48,6.58,1.6,12.38,7.44,5.75,7.68,18.18,0,8.44,21.05,-8.45
W01001130,The Vale of Glamorgan 005F,W06000014,The Vale of Glamorgan,1.34,7.66,-1.48,0.48,-5.57,7.43,1.24,4.03,-1.35,-2.86,1.35,8.99,1.44,11.71,-1.64,3.94,-12.95,6.19
W01001131,The Vale of Glamorgan 008C,W06000014,The Vale of Glamorgan,4.41,0.85,-8.16,3.23,14.53,11.36,5.5,7.69,-11.59,5.35,9.42,17.05,3.39,-5.41,-3.74,1.25,19.21,7.26
W01001132,The Vale of Glamorgan 008D,W06000014,The Vale of Glamorgan,-3.05,-14.81,-6.13,-5.93,-4.95,22.49,-3.37,-14.5,-2.47,-6.09,-9.68,31.40,-2.75,-15.18,-9.76,-5.79,-0.6,16.26
W01001133,The Vale of Glamorgan 008E,W06000014,The Vale of Glamorgan,4.19,17.72,-21.03,1.68,3.67,10.91,2.96,11.48,-23.53,1.83,2.33,10.86,5.38,24.35,-18.75,1.52,4.98,10.96
W01001134,The Vale of Glamorgan 008F,W06000014,The Vale of Glamorgan,8.98,-6.78,15.79,2.27,8.21,27.20,7.89,2.25,-5.45,4.35,7.19,23.20,9.98,-15.91,45,0.52,9.09,30.88
