LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01001195,Ealing 021A,E09000009,Ealing,9.18,9.45,2.19,16.12,-1.15,8.90,13.36,15.6,-5.66,26.69,-0.79,8.05,5.44,4.22,9.02,6.29,-1.47,9.62
E01001196,Ealing 015A,E09000009,Ealing,10.92,6.9,3.63,14.53,18.27,5.88,18.56,11.52,13.51,27.82,10.58,9.78,4.01,2.73,-4.38,2.07,25.96,2.68
E01001197,Ealing 021B,E09000009,Ealing,6.67,2.42,14.67,4.35,9.29,11.00,9.81,0.68,20.25,10.16,11.48,12.35,3.51,4.23,8.45,-1.64,6.73,10.08
E01001198,Ealing 021C,E09000009,Ealing,13.48,5.67,32.84,13.44,12.33,10.61,12.29,-6.15,18.06,19.58,12.50,4.84,14.73,18.8,50,7.12,12.15,15.71
E01001199,Ealing 021D,E09000009,Ealing,9.06,-3.78,11.56,8.62,21.33,24.79,9.32,-4.66,5.43,11.78,27.78,11.29,8.81,-2.82,16.82,5.57,15.38,40.00
E01001200,Ealing 025A,E09000009,Ealing,8.91,8.86,21.13,8.64,1.36,9.93,9.67,12.5,7.25,10.9,6.25,5.56,8.12,5.19,34.25,6.3,-3.67,14.49
E01001201,Ealing 025B,E09000009,Ealing,13.47,4.84,43.48,11.79,16.82,4.41,15.71,13.01,65.45,9.25,24.07,-1.61,11.47,-1.2,28.92,14.37,9.82,9.46
E01001202,Ealing 025C,E09000009,Ealing,21.73,37.97,24.32,13.66,31.1,11.25,20.49,39.7,14.18,11.92,29.71,20.34,22.99,36.22,35.2,15.5,32.76,5.94
E01001203,Ealing 025D,E09000009,Ealing,6.01,8.71,10.07,-1.31,28.21,7.52,10.01,8.09,31.82,0.42,31.85,18.87,1.81,9.38,-7.23,-3.2,23.23,0.00
E01001204,Ealing 018A,E09000009,Ealing,6.13,-9.52,8.42,6.27,6.17,26.50,6.46,-4.58,-7.77,8.39,11.26,23.23,5.82,-13.5,27.59,4.23,1.73,29.70
E01001205,Ealing 018B,E09000009,Ealing,3.89,2.01,-5.86,0.43,23.2,17.92,6.69,3.3,-3.81,4.56,22.22,31.71,1.34,0.6,-7.69,-3.26,24.04,9.23
E01001206,Ealing 018C,E09000009,Ealing,-11.39,-17.15,-12.46,-17.86,19.7,9.30,-11.35,-23.61,-8.05,-18.79,50.62,-5.13,-11.42,-10.15,-16.89,-17.14,-1.71,21.28
E01001207,Ealing 018D,E09000009,Ealing,16.4,25.23,30.58,8,28.96,14.08,17.61,18.27,36.36,9.7,33.04,18.18,15.27,31.58,25.76,6.32,24.77,11.49
E01001208,Ealing 018E,E09000009,Ealing,2.01,-0.32,0.62,-5.58,4.56,21.94,2.75,-4.82,3.41,-2.68,11.11,18.39,1.33,4.7,-2.7,-8.08,-0.63,24.77
E01001209,Ealing 013A,E09000009,Ealing,0,-5.25,5.7,-3.31,0.29,17.93,1.18,-3.23,-5.95,2.84,-5.95,30.67,-1.1,-7.01,18.92,-8.91,7.32,9.17
E01001210,Ealing 016A,E09000009,Ealing,7.13,2.74,15.69,0.45,21.95,10.68,9.27,5.69,13.64,0.91,35.71,9.80,5.06,-0.52,18.09,0,10.45,11.36
E01001211,Ealing 013B,E09000009,Ealing,3.45,8.77,3.4,-4.56,6.74,18.98,1.85,8.55,1.47,-9.97,9.72,30.77,4.99,9.02,5.06,1.13,3.62,12.32
E01001212,Ealing 018F,E09000009,Ealing,11.05,14.16,17.6,12.77,4.05,9.61,14.01,18.35,0,20.2,-1.28,20.83,8.21,10.26,36.67,5.37,10,1.06
E01001213,Ealing 023A,E09000009,Ealing,8.65,8.56,-20.55,16.16,15.93,14.14,10.97,9.34,-27.32,25.57,24.16,1.16,5.88,7.78,-9.09,3.81,7.53,24.76
E01001214,Ealing 023B,E09000009,Ealing,8.65,16.61,-20.24,14.4,3.58,17.49,10.66,22.56,-16.43,16.46,5.23,13.39,6.35,10.07,-25.23,11.85,1.95,21.62
E01001215,Ealing 023C,E09000009,Ealing,15.98,15.78,-0.75,28.24,10.21,2.82,19.25,14.29,4.08,33.58,13.82,2.73,12.5,17.26,-6.61,22.25,6.06,2.90
E01001216,Ealing 023D,E09000009,Ealing,9.96,24.91,-28.5,10.37,12.11,21.69,9.72,23.17,-35.45,16.05,8.82,16.84,10.23,27.13,-19.28,3.91,15.83,26.60
E01001217,Ealing 014A,E09000009,Ealing,1.05,-9.52,-11.44,5.12,9.85,11.38,2.2,-8.23,-13.74,13.86,3.70,7.41,-0.13,-10.83,-8.57,-3.21,16.28,15.12
E01001218,Ealing 012A,E09000009,Ealing,7.63,2.58,8.81,3.21,7.35,31.65,6.95,4.52,2.96,-0.26,13.85,38.30,8.32,0.49,15.08,6.87,1.41,26.61
E01001219,Ealing 029A,E09000009,Ealing,5.45,-5.79,-6.3,12.63,23.11,8.20,7.06,-1.08,-9.38,15.89,17.16,17.50,3.86,-10.51,-2.89,9.5,29.23,0.97
E01001220,Ealing 029B,E09000009,Ealing,1.42,-22.99,5.26,10.06,25.77,11.48,0.97,-26.91,7.69,14.12,44.26,-10.91,1.85,-18.87,2.7,6.04,14.71,29.85
E01001221,Ealing 020A,E09000009,Ealing,39.3,61.84,42.76,31.56,42.93,55.70,46.13,74.32,42.86,39.61,59.34,45.45,32.93,50,42.68,23.48,29.82,63.86
E01001222,Ealing 019A,E09000009,Ealing,17.36,21.45,16.18,15.4,31.55,3.88,20.3,14.53,20.88,21.52,33.65,0.00,14.6,28.93,12.39,9.7,29.41,6.85
E01001223,Ealing 020B,E09000009,Ealing,1.69,-6.09,1.47,0.77,7.39,5.46,-1.36,-3.33,-16.44,-3.24,5.00,10.00,4.92,-8.41,22.22,5.14,10.26,1.08
E01001224,Ealing 019B,E09000009,Ealing,3.13,-18.03,25.58,0.35,0.64,25.59,4.53,-16.67,32.47,6.12,0.66,16.16,1.77,-19.44,20,-5.71,0.62,33.93
E01001225,Ealing 020C,E09000009,Ealing,3.55,-0.4,6.1,5.28,7.14,-3.25,4.76,-5.34,-3.66,10.35,9.09,-1.02,2.47,5.08,15.85,0.73,5.34,-4.73
E01001226,Ealing 019C,E09000009,Ealing,3.37,6.09,17.89,0.96,6.95,-1.28,7.56,21.88,9.26,3.58,12.63,0.00,-0.58,-8.91,29.27,-1.58,1.09,-2.17
