LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01023972,Ashford 006A,E07000105,Ashford,7.16,17.62,-2.55,6.34,8.6,3.93,7.52,27.19,-6.36,3.39,2.52,19.18,6.82,9.23,2.33,9.28,15.69,-6.67
E01023973,Ashford 005A,E07000105,Ashford,58.43,77.62,32.76,78.05,25.82,35.12,54.92,60.62,43.27,72.24,20.59,41.30,61.88,99.34,24.22,83.8,30.63,30.09
E01023974,Ashford 007A,E07000105,Ashford,5.31,25.7,-18.1,7.41,-0.85,8.70,4.1,25.6,-14.29,-1.03,5.13,12.79,6.55,25.81,-21.67,17.87,-6.78,5.79
E01023975,Ashford 007B,E07000105,Ashford,2.98,3.69,-4.92,2.07,12.8,2.66,-2.26,-4.65,-12.86,-6.69,16.13,5.00,8.06,11.67,4.03,10.47,9.52,0.70
E01023976,Ashford 008A,E07000105,Ashford,4.58,9.36,-3.53,6.1,6.25,2.30,5.99,21.29,-3.79,1.71,11.11,1.57,3.17,-3.47,-3.25,10.98,1.39,2.82
E01023977,Ashford 007C,E07000105,Ashford,2.85,25,-25.81,-4.14,-4.74,34.97,3.87,20.62,-13.24,-3.51,-5.51,36.49,1.83,29.67,-35.63,-4.83,-3.97,33.71
E01023978,Ashford 011A,E07000105,Ashford,4.22,-10.05,18.6,-5.81,3.48,17.35,4.57,-7.84,12.99,-3.85,10.96,10.23,3.86,-12.15,26.92,-7.79,-2.94,25.00
E01023979,Ashford 011B,E07000105,Ashford,3.14,-1.14,4.93,-8.35,13.87,15.98,1.88,-6.08,16.22,-9.69,13.51,11.71,4.35,5.22,-7.35,-7.17,14.17,19.55
E01023980,Ashford 004A,E07000105,Ashford,0.92,-5.41,3.65,1.94,-9.96,12.88,0.89,-3.41,13.85,-2.82,-10.83,15.18,0.94,-7.22,-5.56,6.56,-9.16,11.18
E01023981,Ashford 004B,E07000105,Ashford,14.83,9.25,10.53,11.86,5.28,38.14,13.74,3.25,4.35,14.36,8.85,37.27,15.89,16.35,17.72,9.5,2.26,38.89
E01023983,Ashford 003A,E07000105,Ashford,2.23,3.5,-1.42,2.45,-6.5,8.56,1.31,-3.92,0,-1.42,-0.76,9.66,3.08,11.22,-2.7,6.63,-11.72,7.73
E01023984,Ashford 004C,E07000105,Ashford,5.55,16.43,-2.69,0,2.52,15.19,3.75,8.55,1.09,-2.68,1.28,20.90,7.29,25.78,-6.38,2.53,3.7,10.99
E01023985,Ashford 002A,E07000105,Ashford,-0.17,2.34,-19.19,-7.07,-1.8,10.96,1.61,-5.36,-18.75,-5.81,1.50,16.77,-1.81,8.33,-19.61,-8.45,-4.83,6.06
E01023986,Ashford 002B,E07000105,Ashford,-1.12,-6.25,-13.39,-7.43,-4.9,19.93,0.31,4.59,-22.22,-9.72,-4.38,34.19,-2.47,-18.18,-1.82,-4.98,-5.37,10.87
E01023987,Ashford 001B,E07000105,Ashford,5.01,9.94,-3.09,0.67,-3.23,19.48,6.32,5.13,-3.64,5.52,3.28,16.98,3.77,14.46,-2.38,-3.87,-9.52,21.60
E01023988,Ashford 001C,E07000105,Ashford,3.32,7.26,-11.76,3.91,0.61,9.77,2.38,10.57,-20.55,3.03,-1.78,10.53,4.25,4,-3.75,4.74,3.16,9.03
E01023989,Ashford 002C,E07000105,Ashford,2.1,2.24,-7.24,-4.32,2.83,16.60,1.14,7.27,-15,-8.72,7.25,14.16,3.03,-2.65,1.39,0,-1.38,18.85
E01023990,Ashford 002D,E07000105,Ashford,3.85,3.3,6.56,-2.09,1.32,14.67,5.21,19.28,3.17,-10.2,1.30,27.12,2.53,-10.1,10.17,6.45,1.35,4.26
E01023992,Ashford 004E,E07000105,Ashford,3.62,-4.53,1.01,5,18.35,-1.42,-0.84,-4.96,-1.03,-5.84,19.09,-3.37,8.01,-4.11,2.97,17.07,17.59,0.00
E01023993,Ashford 004F,E07000105,Ashford,-2.34,-8.44,-7.51,-11.13,11.9,36.67,-6.37,-9.21,-7.76,-20.78,10.57,48.15,1.75,-7.69,-7.22,-1.02,13.18,27.27
E01023995,Ashford 006B,E07000105,Ashford,0.73,11.17,-14.67,-2.03,-8.58,17.72,0.98,9.68,-15.66,0.5,-16.42,31.31,0.48,12.79,-13.43,-4.64,-0.75,7.97
E01023996,Ashford 006C,E07000105,Ashford,-3.15,-19.46,-3.66,-9.15,7.42,43.36,-5.09,-17.57,-10.23,-9.64,3.88,37.04,-1.2,-21.33,3.95,-8.66,11.02,49.15
E01023997,Ashford 014A,E07000105,Ashford,-1.61,-7.41,-11.98,-9.65,0.56,15.99,-2.31,-7.44,-25.58,-9.84,4.00,16.25,-0.93,-7.38,2.47,-9.48,-2.78,15.72
E01023998,Ashford 014B,E07000105,Ashford,-0.17,-4.32,-17.29,-5.76,-8.13,28.13,-3.59,-2.38,-25.68,-14.19,-9.15,27.78,3.15,-5.94,-6.78,2.72,-7.19,28.46
E01023999,Ashford 003B,E07000105,Ashford,1.77,-3.11,9.68,-2.49,-6.37,14.99,0.87,-1.05,2.48,-6.12,-5.77,18.03,2.69,-5.52,18.75,1.27,-6.98,12.37
E01024001,Ashford 009A,E07000105,Ashford,1.95,1.06,0,-2.83,-4.53,24.34,-1.27,-13.77,10.53,-3.82,-8.27,24.27,5.33,22.41,-9.9,-1.8,-0.76,24.39
E01024002,Ashford 005B,E07000105,Ashford,-1.53,-10.94,-6.86,-1.71,9,15.38,-4.22,-19.19,5.26,-5.31,5.17,12.50,1.48,-1.35,-17.43,2.65,13.68,18.03
E01024003,Ashford 006D,E07000105,Ashford,6.59,13.18,-12.82,12.63,-9.37,19.33,8.06,31.13,-31.19,15.42,-2.58,18.56,5.17,-3.51,10.47,9.66,-15.92,19.92
E01024004,Ashford 006E,E07000105,Ashford,-1.59,-1.09,5,-10.56,-2.36,11.43,-2.55,0.71,0,-9.51,-3.68,7.86,-0.67,-2.99,10.99,-11.55,-1.05,14.29
E01024005,Ashford 006F,E07000105,Ashford,3.26,18.97,-4.23,-1.2,1.82,3.43,2.74,24.31,8.04,-6.19,-2.29,0.00,3.79,13.7,-17.82,4.36,5.56,6.40
E01024006,Ashford 009B,E07000105,Ashford,1.22,-14.98,10.73,-10.31,34.83,17.65,-2.04,-17.61,3.19,-13.36,31.07,23.08,4.4,-11.92,19.28,-7.49,38.78,14.29
E01024008,Ashford 009D,E07000105,Ashford,-1.64,-11.75,4.49,-8.29,7.96,46.27,-0.31,-7.63,13.04,-10.47,14.18,35.94,-2.89,-15.56,-3.08,-6.21,2.03,55.71
E01024009,Ashford 013A,E07000105,Ashford,0.18,-13.61,3.23,-20.68,2.61,19.59,0.55,-18.42,0,-21.88,5.65,23.90,-0.17,-8.45,7.69,-19.57,0,15.85
E01024010,Ashford 013B,E07000105,Ashford,1.5,-2,-4.65,-7.98,-3.93,22.04,-0.16,-14.81,-6.94,-11.76,3.50,24.26,3.07,13.04,-1.75,-4.62,-10.49,20.24
E01024011,Ashford 013C,E07000105,Ashford,-0.67,-7.05,-12.69,-9.43,0.74,17.52,1.41,5.88,-15.15,-9.42,-4.69,26.87,-2.53,-19.67,-10.29,-9.44,5.56,11.17
E01024012,Ashford 013D,E07000105,Ashford,-2.98,-4,-14.18,-6.06,-5.49,11.16,-3.49,-11.63,-18.99,-1.21,-7.08,15.84,-2.48,3.37,-7.27,-10.91,-4.03,7.58
E01024013,Ashford 010A,E07000105,Ashford,0.17,1.4,-12.22,-5.64,-7.57,21.07,-2.21,-6.25,-3.16,-9.41,-4.00,14.20,2.51,11.11,-22.35,-1.93,-10.58,27.14
E01024014,Ashford 010B,E07000105,Ashford,4.93,2.95,-4.6,1.75,-0.68,23.08,7.88,15.27,-6.17,2.44,-0.46,26.70,2.24,-6.32,-3.23,1.12,-0.89,19.43
E01024015,Ashford 010C,E07000105,Ashford,2.36,-0.83,-20.96,7.23,-7.19,24.00,1.77,-0.85,-34.69,10,-3.15,23.68,2.93,-0.81,-1.45,4.65,-10.97,24.28
E01024016,Ashford 007D,E07000105,Ashford,1.23,8.19,-19.25,-1.72,-8.54,40.28,0.62,16.36,-18.42,-4.71,-7.83,32.35,1.82,0.82,-20,1.63,-9.16,47.37
E01024017,Ashford 007E,E07000105,Ashford,7.85,10.69,-0.54,1.97,5.22,29.10,10.33,12.58,7.87,1.79,7.87,46.43,5.57,8.81,-8.42,2.15,2.46,20.00
E01024019,Ashford 008B,E07000105,Ashford,16.05,17.79,9.34,18.74,5.95,29.36,10.81,11.59,7.3,11.54,1.10,33.33,21.23,24.48,11.67,25.45,10.64,26.56
E01024020,Ashford 008C,E07000105,Ashford,11.44,16.08,-10.88,15.85,15.63,28.70,11.39,24.14,-13.07,11.07,21.35,18.18,11.5,8.47,-8.43,19.89,10.68,38.33
E01024021,Ashford 004G,E07000105,Ashford,4.59,15.98,0.52,1.34,-4.23,18.23,3.29,15.46,-9.9,-5.19,7.58,23.38,5.91,16.67,11.83,8.26,-16.41,14.78
E01024022,Ashford 004H,E07000105,Ashford,0.79,-1.72,-3.21,-4.42,-11.14,23.72,-1.34,-7.87,-15.09,0,-14.02,27.08,2.83,5.66,12.35,-8.44,-8.47,21.16
E01024023,Ashford 005C,E07000105,Ashford,3.8,-2.85,5.71,0,17.28,9.38,3.49,0.77,0.62,-4.21,12.64,28.80,4.09,-6.39,11.11,4.12,22.22,-3.08
