LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01014370,Bath and North East Somerset 007A,E06000022,Bath and North East Somerset,7.7,15.28,38.12,-5.55,2.7,1.70,8.21,2.44,53.04,-8.68,0.61,9.33,7.16,32.26,26.01,-1.06,6.25,-2.67
E01014371,Bath and North East Somerset 007B,E06000022,Bath and North East Somerset,10.73,-2.44,30.55,6.13,8.65,9.20,11.22,19.61,30.56,1.59,11.89,17.73,10.23,-18.06,30.54,12.54,4.88,3.38
E01014372,Bath and North East Somerset 007C,E06000022,Bath and North East Somerset,4.92,-9.16,14.04,-1.98,14.24,15.38,3.74,-19.4,8.13,-2.95,20.73,19.78,6.22,1.56,19.23,-0.75,6.52,11.97
E01014373,Bath and North East Somerset 010A,E06000022,Bath and North East Somerset,5.18,15.85,-10.59,1.99,13.59,1.68,4.13,19.87,-14.13,0.34,9.15,0.95,6.26,11.28,-6.41,3.61,18.66,2.26
E01014374,Bath and North East Somerset 010B,E06000022,Bath and North East Somerset,2.19,9.52,1.8,-1.83,5.24,-0.25,3.17,7.44,6,-1.08,7.97,0.00,1.33,11.82,-1.64,-2.54,2.7,-0.42
E01014375,Bath and North East Somerset 010C,E06000022,Bath and North East Somerset,1.3,-1.55,7.03,-9.04,7.78,6.21,-2.25,-7.22,-2.78,-11.23,7.06,2.11,4.98,4.12,19.64,-6.74,8.54,10.14
E01014376,Bath and North East Somerset 010D,E06000022,Bath and North East Somerset,0.72,19.4,-1.49,-10.15,-2.15,5.20,-0.4,9.57,0,-20.1,6.36,8.51,1.81,32.56,-3.08,0.53,-9.55,2.55
E01014377,Bath and North East Somerset 010E,E06000022,Bath and North East Somerset,-0.67,9,11.7,-1.73,-12.22,1.07,-2.59,3.51,6.38,-4.15,-11.04,0.00,1.2,15.46,17.02,1.07,-13.38,1.89
E01014379,Bath and North East Somerset 022A,E06000022,Bath and North East Somerset,19.31,-2.82,86.21,-2.93,0.2,13.06,16.04,-4.21,75.85,-5.88,7.11,11.00,22.46,-1.21,94.98,0,-6.13,15.09
E01014380,Bath and North East Somerset 012A,E06000022,Bath and North East Somerset,7.35,12.12,19.93,-34.37,-10.4,1.23,11.15,19.51,28.8,-43.13,-11.33,1.62,3.2,4.82,10.25,-22.03,-9.46,0.91
E01014381,Bath and North East Somerset 012B,E06000022,Bath and North East Somerset,1.75,-6.83,-4.9,1.65,16.4,1.23,3.04,2.3,5.65,-3.43,7.69,7.33,0.61,-17.57,-12.09,7.81,25.83,-2.35
E01014382,Bath and North East Somerset 021A,E06000022,Bath and North East Somerset,1.6,1.49,-0.42,-6.98,2.44,11.62,1.47,-2.33,7.76,-9.46,4.58,12.37,1.74,5.85,-8.26,-4.32,0.37,10.93
E01014383,Bath and North East Somerset 021B,E06000022,Bath and North East Somerset,4.66,11.18,0,2.06,-10.61,23.66,3.5,7.79,-3.64,-3.42,-11.54,32.08,5.76,14.29,3.51,7.59,-9.7,16.10
E01014384,Bath and North East Somerset 021C,E06000022,Bath and North East Somerset,4.37,6.78,-12.9,2.06,10.2,10.68,5.47,12,-6.67,-0.51,7.24,14.29,3.28,0.9,-18.75,4.64,13.16,7.43
E01014385,Bath and North East Somerset 020A,E06000022,Bath and North East Somerset,2.67,-6.43,13.89,-6.73,4.56,18.75,0.72,-10.66,10.84,-12.73,10.53,17.95,4.62,-2.36,18.03,-0.47,-1.29,19.42
E01014386,Bath and North East Somerset 020B,E06000022,Bath and North East Somerset,-0.92,2.02,-2.84,-11.88,5.06,11.68,-1.32,7.07,-8.24,-11.4,3.13,9.71,-0.51,-3.03,5.36,-12.32,7.34,13.51
E01014387,Bath and North East Somerset 018A,E06000022,Bath and North East Somerset,-1.88,-14.81,6.74,0,2.71,-2.34,-4.74,-20,-8.74,1.6,1.77,0.00,0.93,-8.85,28,-1.55,3.7,-3.82
E01014388,Bath and North East Somerset 018B,E06000022,Bath and North East Somerset,1.14,-11.5,11.92,-6.45,4.86,9.77,0.45,-6.31,1.05,-7.29,2.86,15.57,1.82,-17.98,30.36,-5.56,6.76,5.95
