LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01018750,Cornwall 013A,E06000052,Cornwall,-0.69,-10.1,0.74,-10.64,1.41,19.58,-1.49,-11.65,8.11,-17.12,3.81,23.81,0.09,-8.42,-8.2,-4.11,-0.93,16.30
E01018751,Cornwall 013B,E06000052,Cornwall,-2.81,16.95,-19.18,-6.82,-1.99,-0.34,-4.63,21.14,-12.93,-13.62,-4.46,-2.42,-0.91,12.39,-26.21,1.28,0.69,1.17
E01018752,Cornwall 013C,E06000052,Cornwall,3.43,2.38,-16.93,-0.85,4.7,22.53,2.81,2.91,-11.4,-4.41,0.50,26.26,4.02,1.83,-21.43,2.7,8.87,19.44
E01018753,Cornwall 010A,E06000052,Cornwall,-1.63,-18.75,-6.37,-15.13,-0.92,27.60,-3.42,-17.8,-7.59,-21.79,1.98,24.73,0.12,-19.67,-5.13,-8.11,-3.42,30.56
E01018754,Cornwall 010B,E06000052,Cornwall,-2.19,-5.79,-22.75,-9.86,4.74,15.21,-3.77,-5.56,-22.45,-15.12,1.61,21.17,-0.64,-6.09,-23.08,-4.74,7.73,10.47
E01018755,Cornwall 010C,E06000052,Cornwall,-4.51,-28.71,0,-22.85,4.12,18.87,-6.42,-29.35,-7.95,-21.83,2.60,13.41,-2.63,-28.18,10.29,-23.81,5.61,24.43
E01018756,Cornwall 010D,E06000052,Cornwall,-3.09,-7.24,-7.84,-15.56,-12.78,22.66,-5.38,-9.82,-10.98,-21.67,-14.56,25.89,-0.94,-4.59,-4.23,-9.41,-11.25,19.91
E01018757,Cornwall 023A,E06000052,Cornwall,0.67,-0.7,-6.99,-2.64,-6.7,15.77,-0.29,-2.46,-3.92,-3.76,-9.34,16.27,1.58,0.61,-10.71,-1.51,-4.1,15.30
E01018758,Cornwall 016A,E06000052,Cornwall,-0.33,-11.28,-2.38,-8.69,-0.67,23.04,-0.35,-10.88,0,-10.61,-1.77,28.99,-0.31,-11.68,-4.48,-6.81,0.32,18.42
E01018759,Cornwall 028A,E06000052,Cornwall,-0.99,-5.61,-10.79,-6.17,-17.38,32.93,0.14,1.01,-1.64,-11.27,-13.59,32.91,-2.04,-11.3,-17.95,-1,-21.03,32.95
