LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01028219,Mansfield 013A,E07000174,Mansfield,4.03,22.45,-7.27,-2.26,-3.88,13.28,4.28,12.2,5.66,0,-6.51,15.52,3.79,35.38,-19.3,-4.5,-1.2,11.56
E01028220,Mansfield 013B,E07000174,Mansfield,7.45,16.22,-10.81,7.77,7.37,13.73,5.77,17.42,-17.8,5.17,6.29,18.02,9.18,14.96,-2.88,10.71,8.43,10.42
E01028222,Mansfield 013D,E07000174,Mansfield,-0.32,-3.06,-9.59,-11.36,3.72,10.73,-1.72,3.23,-30.67,-13.68,6.56,12.44,0.99,-8.74,12.68,-8.81,1.04,9.39
E01028223,Mansfield 002A,E07000174,Mansfield,13.51,10.18,13.82,20.81,27.37,-6.17,12.05,15,9.38,15.85,18.81,-3.37,14.88,5.75,18.64,25.95,37.08,-7.97
E01028224,Mansfield 001A,E07000174,Mansfield,-3.33,-8.84,-15.34,-2,-12.5,10.47,-3.38,-11.71,-21.84,0,-11.56,12.44,-3.29,-5.77,-7.89,-4,-13.29,8.65
E01028225,Mansfield 002B,E07000174,Mansfield,4.24,2.07,9.88,-1.63,10.09,5.88,0,-0.8,-10.99,-5.04,7.14,8.76,8.51,5.17,33.33,2.14,13.21,3.76
E01028226,Mansfield 002C,E07000174,Mansfield,-3.1,-12.46,-6.11,-1.68,5.6,4.07,-1.45,-1.23,-11.43,0.39,-0.81,9.09,-4.7,-22.4,0,-3.58,12.84,0.00
E01028227,Mansfield 008A,E07000174,Mansfield,1.67,9.88,-4.38,3.28,3.54,-6.98,1.32,13.71,6.94,-4.35,6.50,-9.09,2.02,5.88,-13.64,11.49,0,-5.41
E01028228,Mansfield 008B,E07000174,Mansfield,5.07,11.38,-4.96,6.13,2.42,6.96,3.15,15.58,-1.43,-0.96,4.00,4.31,6.93,7.78,-8.45,14.97,0.93,8.92
E01028229,Mansfield 006A,E07000174,Mansfield,-2.66,-8.9,-15.17,-11.34,0.26,12.61,-3.01,-18.67,-13.16,-10.78,5.88,9.94,-2.32,1.41,-17.39,-12,-4.88,14.89
E01028230,Mansfield 010A,E07000174,Mansfield,3.07,6.89,-5.64,6.55,7.69,-6.99,5.27,14.74,-11.01,8.75,7.14,-1.92,0.94,-1.34,1.16,4.55,8.2,-11.20
E01028231,Mansfield 010B,E07000174,Mansfield,0.28,0.83,-4.4,-1.25,7.72,-1.39,4.98,16.07,0,0.88,10.61,-0.98,-3.69,-12.31,-8.79,-3.16,4.72,-1.62
E01028232,Mansfield 006B,E07000174,Mansfield,-1.49,1.3,-18.33,-4.33,-2.26,9.88,-1.55,-10.49,3.66,-5.94,-7.65,18.24,-1.42,20.45,-36.73,-2.73,3.51,3.57
E01028233,Mansfield 009A,E07000174,Mansfield,2.68,11.75,-10.71,2.54,6.82,-0.89,4.5,18.4,-8.2,1.53,0.00,17.20,0.86,5.33,-13.08,3.65,14.58,-13.74
E01028234,Mansfield 009B,E07000174,Mansfield,0.75,-2.19,-7.02,3.01,5.96,1.92,0.72,-3.74,-4.55,1.26,7.14,5.83,0.77,-0.56,-9.09,4.78,4.88,-0.63
E01028235,Mansfield 011A,E07000174,Mansfield,-0.13,-0.87,-17.58,-8.84,2.98,23.94,-0.38,14.16,-26.83,-12.33,-1.71,31.11,0.13,-15.25,-8.43,-4.96,8.07,17.45
E01028236,Mansfield 011B,E07000174,Mansfield,5.22,5.22,-2.91,1.83,6.63,17.62,3.91,0.7,-8.41,0,7.02,24.79,6.55,10.32,3.03,3.73,6.21,11.81
E01028237,Mansfield 007A,E07000174,Mansfield,7.62,21.51,0.62,2.79,4.35,13.07,9.02,22.34,2.7,4.24,7.06,13.29,6.3,20.65,-1.15,1.3,1.71,12.89
E01028238,Mansfield 007B,E07000174,Mansfield,-0.79,1.27,-16.09,-1.83,15.36,-2.39,-2.74,0.63,-23.61,-3.32,12.75,0.00,1.25,1.94,-6.84,-0.36,18.64,-4.41
E01028239,Mansfield 007C,E07000174,Mansfield,-1.14,-2.55,-11.16,-5.82,7.02,12.66,0.13,-1.92,-10.43,-0.7,2.94,12.96,-2.32,-3.16,-11.81,-10.7,10.74,12.40
E01028240,Mansfield 007D,E07000174,Mansfield,-0.27,-1.78,-2.48,-7.74,-3.45,19.85,0.27,-0.81,12,-7.69,-4.71,16.67,-0.8,-2.94,-15.12,-7.79,-2.15,22.70
E01028241,Mansfield 007E,E07000174,Mansfield,29.58,40.26,20.27,24.81,28.53,43.92,29.75,43.36,23.31,21.12,41.44,26.32,29.41,37.29,17.79,28.39,16.92,61.70
E01028242,Mansfield 005A,E07000174,Mansfield,-2.6,-10.34,-10.32,-14.98,6.35,23.35,-3.6,-15.32,-19.44,-12.59,3.74,28.18,-1.55,-4.35,-2.41,-17.62,9.14,18.80
E01028243,Mansfield 007F,E07000174,Mansfield,2.32,-3.57,7.3,2.62,6.54,0.19,3.72,2.5,0.99,5.26,5.95,1.85,1.04,-9.09,15.58,0,7.14,-0.99
E01028244,Mansfield 010C,E07000174,Mansfield,-3.94,-5.76,-14.56,-8.99,-4.61,17.01,-3.15,-8.4,-1.49,-10.21,-6.21,27.18,-4.73,-2.68,-24.18,-7.6,-2.94,9.42
E01028245,Mansfield 010D,E07000174,Mansfield,3.58,8.47,-2.47,-1.44,10.04,6.25,3.19,-1.57,-1.16,-1.62,14.29,13.95,3.93,19.01,-3.95,-1.25,6.57,1.45
E01028246,Mansfield 010E,E07000174,Mansfield,-1.34,-18.26,-16.67,-7.02,-4.42,37.99,-1.55,-11.97,-22.94,-5.47,-8.64,43.70,-1.12,-25.49,-8.99,-8.56,0,32.64
E01028247,Mansfield 008C,E07000174,Mansfield,6.83,10.2,2.97,2.35,17.48,10.61,6.16,12.07,5.47,3,7.86,7.46,7.6,8.28,0.71,1.55,30.19,13.85
E01028248,Mansfield 010F,E07000174,Mansfield,5.48,14.29,1.06,5.61,10.11,-3.09,8.32,16.39,15.96,10,1.47,-0.78,2.78,11.93,-13.68,1.54,19.08,-4.94
E01028249,Mansfield 010G,E07000174,Mansfield,2.68,6.09,-11.6,-10.57,19.07,18.75,1.86,2.36,-6.59,-11.02,19.84,18.63,3.49,10.68,-16.67,-10.08,18.32,18.83
E01028250,Mansfield 005B,E07000174,Mansfield,-3.44,-4.85,-12.5,-11.92,-4.34,21.18,-3.99,-2.52,-6.76,-17.62,-3.01,21.95,-2.91,-7.41,-16.67,-5.98,-5.56,20.45
E01028251,Mansfield 003A,E07000174,Mansfield,-2.65,-3.66,-13.54,-9.13,-0.99,15.16,-5.07,-11.72,-13.21,-10.81,-2.46,15.04,-0.13,5.08,-13.95,-7.35,0.5,15.28
E01028252,Mansfield 003B,E07000174,Mansfield,0.81,-0.54,4.48,-6.47,8.15,7.29,0.72,4.1,-2.36,-10.21,14.63,7.89,0.9,-5.71,13.54,-3.04,2.6,6.78
E01028253,Mansfield 003C,E07000174,Mansfield,-1.48,6.99,-11.17,-10.87,-10.54,22.03,-1.69,8.74,-16.35,-11.29,-4.55,17.51,-1.29,5.56,-4,-10.49,-16.19,26.55
E01028254,Mansfield 012A,E07000174,Mansfield,2.72,-4.93,-3.52,1.45,7.47,8.67,1.63,-9.48,-12.16,6.64,4.14,8.46,3.8,0,5.88,-3.92,11.03,8.82
E01028255,Mansfield 013E,E07000174,Mansfield,0,-1.42,-5.49,-5.1,-10.83,14.25,0.16,1.43,-10.64,-2.74,-10.65,13.24,-0.15,-4.23,0,-7.43,-10.99,15.18
E01028256,Mansfield 012B,E07000174,Mansfield,17.2,35.74,9.3,11.18,28.26,1.15,21.23,38.31,17.42,13.68,37.91,-2.33,12.68,33.11,0.79,8.19,16.26,4.55
E01028257,Mansfield 001B,E07000174,Mansfield,-2.22,2.37,-18.61,-7.18,13.06,6.25,-3.78,-3.14,-16.55,-5.3,-2.84,19.77,-0.69,7.94,-20.93,-8.86,30.71,-4.72
E01028258,Mansfield 001C,E07000174,Mansfield,0.6,17.95,-26.83,-0.21,10.2,-1.62,-1.44,18.42,-27.43,-9.38,12.74,1.05,2.67,17.5,-26.09,10.27,7.48,-3.73
E01028259,Mansfield 001D,E07000174,Mansfield,14.07,24.29,-0.41,13.62,22.39,4.42,19.27,28.21,3.64,25.5,19.12,5.62,9.11,20.5,-3.82,2.28,25.76,3.26
E01028260,Mansfield 002D,E07000174,Mansfield,4.33,-5.75,-9.63,-8.37,13.09,28.88,1.72,-15.83,1.05,-8.81,-0.49,42.42,6.91,5.66,-20.65,-7.91,28.81,19.80
E01028261,Mansfield 012C,E07000174,Mansfield,2.27,3.51,-9.44,-3.27,20.45,9.28,1.39,10.88,-15.03,-7.32,23.58,9.64,3.13,-3.4,-3.01,1.01,17.81,9.01
E01028262,Mansfield 011C,E07000174,Mansfield,-4.51,-14.15,-15.85,-7.82,-12.34,27.92,-4.87,-12.73,-14,-7.95,-15.26,32.50,-4.14,-15.79,-18.07,-7.69,-9.42,24.14
E01028263,Mansfield 012D,E07000174,Mansfield,4.41,3.96,6.17,5.57,7.77,-2.65,6.42,6.8,-4.24,9.23,6.58,10.28,2.45,1.28,17.43,1.6,9.03,-11.46
E01028264,Mansfield 011D,E07000174,Mansfield,-3.2,-11,-19.03,-15.58,6.43,22.60,-3.34,-5.84,-26.5,-13.16,2.67,23.43,-3.06,-15.58,-11.01,-17.95,10.18,21.79
E01028267,Mansfield 006E,E07000174,Mansfield,2.22,4.46,-11.49,-3.29,18.01,12.32,0.63,5.71,-18.67,-4.62,11.98,21.95,3.78,3.24,-4.11,-1.98,25,5.79
E01028268,Mansfield 008D,E07000174,Mansfield,12.45,17.68,-2.98,18.61,35.87,-23.44,13.34,11.98,1.85,14.82,33.85,-4.41,11.44,24.31,-8.57,23.37,38.71,-33.87
E01028269,Mansfield 008E,E07000174,Mansfield,4.74,21.79,-16.18,2.36,4.05,18.42,2.33,18.55,-28.09,0.6,0.00,35.42,7.14,24.81,-6.96,4.32,8.85,6.06
E01028270,Mansfield 013F,E07000174,Mansfield,5.58,14.73,-8.54,-2.55,13.79,11.76,6.44,24.49,-17.05,0.4,11.95,13.93,4.8,7.14,1.32,-5.34,15.63,10.18
E01028271,Mansfield 004A,E07000174,Mansfield,3.96,1.68,-0.45,3.8,7.02,7.76,3.07,-4.05,-0.85,2.94,7.84,13.40,4.9,9.6,0,4.68,6.16,3.28
E01028272,Mansfield 005C,E07000174,Mansfield,1.2,7.17,-15.02,2.64,15.11,-7.16,-0.12,5.97,-23.73,0.7,17.14,-5.22,2.48,8.4,-4.21,4.59,13.04,-8.46
E01028273,Mansfield 005D,E07000174,Mansfield,-3.4,-1.76,-19.42,-11.11,-1.4,31.32,-1.74,1.89,-14.71,-7.58,-5.81,34.83,-5.03,-4.96,-24.04,-14.96,2.72,27.96
E01028274,Mansfield 009C,E07000174,Mansfield,6.53,-2.26,-11.83,4.82,21.27,18.52,9.18,-10.75,-6.12,7.03,26.28,34.33,3.53,7.14,-18.18,1.77,16.03,7.37
E01028275,Mansfield 009D,E07000174,Mansfield,4.91,5.62,-0.48,2.67,10.83,9.21,4.89,5.8,10.75,0,6.40,10.81,4.92,5.45,-9.65,5.3,15.65,7.69
E01028276,Mansfield 009E,E07000174,Mansfield,5.35,-0.87,-12.81,7.08,14.5,18.80,4.92,0.57,-16,10.27,11.56,13.98,5.78,-2.4,-9.4,3.66,18.26,21.99
E01028277,Mansfield 003D,E07000174,Mansfield,-3.21,-10.17,-25,-14.53,-6.39,25.78,-2.24,-9.52,-28.36,-9.7,-9.09,32.06,-4.15,-10.91,-20.75,-18.99,-3.77,20.51
E01028278,Mansfield 003E,E07000174,Mansfield,0.62,9.66,-22.03,0.93,3.26,4.29,-0.7,10.91,-30.85,-0.96,3.23,6.29,1.9,8.25,-12.05,2.71,3.29,2.73
E01028279,Mansfield 004B,E07000174,Mansfield,-1.95,-6.36,-13.41,-1.97,1.65,2.68,-1.34,-1.2,-20.43,3.05,-6.62,10.27,-2.53,-11.11,-4.23,-6.7,9.87,-3.16
E01028280,Mansfield 004C,E07000174,Mansfield,-0.87,-3.23,-8.42,-2.21,2.41,7.46,-3.87,-2.44,-15.83,-4.74,-13.24,27.59,2.2,-4,2.44,0.45,21.24,-4.96
E01028281,Mansfield 004D,E07000174,Mansfield,8.86,20.4,-9.87,4.82,25.39,2.21,9.02,19.77,-4.72,4.67,20.62,1.82,8.72,20.99,-14.53,4.96,30.21,2.47
E01028282,Mansfield 006F,E07000174,Mansfield,3.01,-3.79,3.91,3.41,11.93,-0.45,-0.53,-2.68,-17.14,-1.03,9.62,4.94,6.33,-5.05,29.31,8.02,14.04,-3.52
E01028283,Mansfield 004E,E07000174,Mansfield,24.39,30.85,18.32,30.47,26.28,8.95,23.24,35.71,8.16,27.24,25.33,11.18,25.51,26.06,29.03,33.77,27.16,6.98
E01028284,Mansfield 008F,E07000174,Mansfield,5.53,-6.64,18.09,7.73,17.41,-3.76,7.79,-8.11,39.77,13.29,11.81,-11.35,3.18,-4.88,-1,1.18,25.24,1.46
E01033389,Mansfield 013G,E07000174,Mansfield,8.6,11.27,10.24,3.62,26.36,7.78,14.19,22.79,62.22,3.18,18.92,8.11,3.38,0,-18.29,4.05,36.36,7.55
E01033390,Mansfield 013H,E07000174,Mansfield,17.32,17.23,13.79,11.49,51.75,41.67,13.96,10.95,27.12,6.54,63.46,14.29,20.71,24.86,4.65,16.48,41.94,80.00
E01033391,Mansfield 013I,E07000174,Mansfield,1.89,10.49,-5.71,-5.4,-2.62,13.26,0.18,5.95,-3.57,-5.78,-5.51,11.81,3.51,15.38,-8.16,-5.03,0,14.47
E01033392,Mansfield 006G,E07000174,Mansfield,-1.76,-9.19,-0.42,-5.25,-5.3,13.33,-3.05,-12.57,-6.02,-6.91,-7.91,22.95,-0.45,-5.88,6.54,-3.4,-2.52,6.35
