LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01012304,Darlington 012A,E06000005,Darlington,1.79,-10.61,14.69,-2.09,3.52,9.87,1.43,-7.92,0,0.44,0.85,14.15,2.17,-13.4,32.81,-4.95,6.36,6.30
E01012305,Darlington 012B,E06000005,Darlington,-1.97,5.23,-2.96,-9.7,1.07,14.81,-2.71,-2.25,-7.79,-8.03,2.11,21.82,-1.21,13.25,1.09,-11.69,0,10.00
E01012306,Darlington 012C,E06000005,Darlington,-3.39,1.56,6.63,-8.89,-3.7,-3.48,-4.73,-3.79,-6.38,-13.75,4.12,2.16,-2.07,7.26,23.61,-3.38,-11.05,-7.28
E01012307,Darlington 009A,E06000005,Darlington,-0.42,-5.97,-0.39,-1.46,-0.97,8.94,-4.33,-17.65,-7.75,-1.59,1.27,2.82,3.82,7.27,6.98,-1.29,-3.29,14.38
E01012309,Darlington 006A,E06000005,Darlington,-1.29,-15.88,-5.34,-11.98,23.19,22.08,-2.6,-18.42,-1.92,-9.28,11.41,24.00,0,-13.02,-8.82,-14.44,36.65,20.61
E01012310,Darlington 006B,E06000005,Darlington,7.7,5.21,4.17,6.05,8.37,14.44,8.78,5.17,-4.1,6.8,8.29,28.10,6.66,5.26,14.89,5.29,8.45,4.35
E01012311,Darlington 006C,E06000005,Darlington,2.09,0.32,11.17,-0.38,2.85,1.20,-0.92,-6.49,0,-0.8,4.76,-0.92,4.87,7.05,26.14,0,1.29,2.84
E01012312,Darlington 006D,E06000005,Darlington,5.48,15.84,-5.76,5.41,4.15,2.58,4.87,13.55,0,1.33,4.90,3.88,6.08,18.24,-11.22,10,3.48,1.54
E01012313,Darlington 006E,E06000005,Darlington,0.35,5.74,-17.24,-2.61,14.4,-1.03,1.6,4.72,-10.11,-2.56,17.21,-0.86,-0.82,6.84,-24.71,-2.65,11.72,-1.15
E01012314,Darlington 006F,E06000005,Darlington,-1.15,-6.76,4.28,-3.45,13.74,-7.35,-2.79,-6.21,-1.96,-7.56,21.65,-10.71,0.42,-7.35,11.76,0.42,7.02,-4.51
E01012315,Darlington 010A,E06000005,Darlington,3.47,-6.27,20,-2.12,3.53,13.23,7.82,4.83,31.94,0.46,1.65,17.45,-0.47,-16.46,8.22,-4.35,5.38,9.66
E01012316,Darlington 010B,E06000005,Darlington,7.66,11.88,3.23,7.25,12.08,2.28,7.04,7.65,-3.88,5.17,9.31,12.69,8.26,16.2,9.65,9.47,15.42,-4.91
E01012317,Darlington 013A,E06000005,Darlington,0,4.17,-12.42,-7.4,7.19,5.95,0,15,-26.6,-5.58,8.33,6.41,0,-5.17,10.17,-9.31,6.08,5.56
E01012318,Darlington 013B,E06000005,Darlington,7.3,7.14,-4.7,3.07,17.81,28.90,4.05,0.34,-12.8,0.65,28.37,24.74,10.57,14.44,3.87,5.56,7.95,32.23
E01012319,Darlington 013C,E06000005,Darlington,-1.35,-0.79,-13.83,-1.85,13.07,-3.60,1.09,-0.32,-2.69,0,13.66,-3.95,-3.67,-1.28,-24.74,-3.55,12.44,-3.30
E01012323,Darlington 002C,E06000005,Darlington,-2.8,-14.67,1.56,-7.42,3.33,18.52,-3.21,-15.46,-3.88,-4.42,3.29,15.46,-2.34,-13.57,7.87,-10.37,3.38,21.74
E01012324,Darlington 002D,E06000005,Darlington,1.4,-1.63,13.42,-7.13,5.58,9.32,-0.28,2.5,0,-12.02,14.29,7.81,3.03,-5.6,30.77,-2.02,-1.44,10.60
E01012325,Darlington 005A,E06000005,Darlington,3.01,2.94,-4.08,7.13,-10.71,21.35,2.61,1.01,-4.05,5.24,-14.56,32.23,3.4,4.76,-4.11,9.22,-6.83,12.33
E01012326,Darlington 005B,E06000005,Darlington,-3.14,-15.46,0,0.59,-7.34,4.56,-3.97,-16.33,-3.08,1.82,-7.26,1.96,-2.36,-14.58,4,-0.58,-7.41,6.47
E01012327,Darlington 009B,E06000005,Darlington,-10.31,-16.56,-6.33,-13.87,-9.92,10.98,-8.76,-15.27,-3.67,-14.68,-8.33,22.86,-11.6,-17.58,-8.59,-13.11,-11.19,2.91
E01012328,Darlington 003A,E06000005,Darlington,1.86,2.36,6.92,-4.74,-5.48,25.00,1.8,-5.97,-1.19,1.85,-10.27,35.58,1.92,11.67,16,-11.19,-0.56,16.41
E01012329,Darlington 003B,E06000005,Darlington,-2.08,1.83,-24.73,-8.91,-11.52,30.52,-1.8,5.83,-23.08,-7.75,-12.36,28.49,-2.34,-1.74,-26.37,-10.08,-10.76,32.45
E01012330,Darlington 003C,E06000005,Darlington,-7.16,-22.66,-15.79,-18.59,5.18,25.71,-4.63,-15.69,-8.06,-13.59,-1.52,27.16,-9.52,-29.7,-22.54,-22.9,12.61,24.47
E01012331,Darlington 003D,E06000005,Darlington,-6.94,-21.56,-11.73,-15.29,4.53,17.05,-5.14,-20,-9.09,-11.88,0.68,25.61,-8.67,-23.3,-14.12,-18.39,8.51,9.57
E01012332,Darlington 005C,E06000005,Darlington,-0.53,3.42,-8.74,2.88,-11.54,6.80,-0.42,2.7,-11.24,-1.87,-6.43,13.01,-0.63,4.35,-6.38,7.92,-15.7,3.26
E01012333,Darlington 005D,E06000005,Darlington,6.08,2.78,-5.56,1.41,1.17,30.94,5.89,6.15,-9.28,5.39,-2.47,30.00,6.27,-0.82,-1.2,-2.26,4.47,31.72
E01012334,Darlington 001B,E06000005,Darlington,2.17,2.48,2.31,-9.28,7.01,22.70,0.9,-3.62,8.91,-10.54,6.82,22.16,3.43,9.24,-3.48,-8.13,7.23,23.20
E01012335,Darlington 001C,E06000005,Darlington,-2.98,-5.21,-11.54,-7.59,-12.73,15.41,-3.98,-3.13,-21.18,-7.58,-11.54,15.48,-1.98,-6.96,6.67,-7.61,-13.79,15.34
E01012336,Darlington 011A,E06000005,Darlington,-2.68,-19.01,-1.24,-16.33,1.71,10.93,-2.96,-11.11,-7.23,-17.26,1.44,11.30,-2.43,-27.59,5.13,-15.42,1.98,10.65
E01012337,Darlington 011B,E06000005,Darlington,0.41,4.08,-6.1,-3.33,-4.26,8.10,0.36,4.62,-9.89,2.65,-10.00,9.91,0.46,3.48,-1.37,-8.19,1.51,6.61
E01012338,Darlington 015A,E06000005,Darlington,11.8,21.87,-5.21,15.79,-2.65,23.51,11.76,17.98,-10.38,15.61,-0.87,29.88,11.84,26.06,0,15.97,-4.46,18.45
E01012339,Darlington 015B,E06000005,Darlington,3.32,7.17,8.43,-2.58,5.51,4.14,5.81,35.14,-4.3,-0.79,8.00,0.95,1,-17.46,24.66,-4.4,3.4,6.85
E01012340,Darlington 012D,E06000005,Darlington,-1.4,-2.04,-2.97,-7.07,5.39,7.51,-3.88,-7.59,2.22,-10.21,1.09,8.62,1.07,4.41,-7.14,-3.64,9.63,6.60
E01012341,Darlington 012E,E06000005,Darlington,1.22,2.67,-9.74,2.67,-4.69,15.18,-0.79,-1.05,-6.82,0,-4.76,9.52,3.16,6.52,-12.59,5.07,-4.62,20.61
E01012342,Darlington 009C,E06000005,Darlington,10.62,8.33,7.02,16.79,1.92,13.13,14.98,23.68,6.09,18.18,8.72,13.51,6.79,-5.23,7.96,15.49,-4.29,12.86
E01012343,Darlington 009D,E06000005,Darlington,6.48,6.4,14.41,3.42,4.75,8.62,6.83,5.11,19.82,2.27,3.56,12.17,6.15,7.74,9.01,4.59,5.99,5.83
E01012344,Darlington 015C,E06000005,Darlington,5.4,15.28,14.96,-2.47,-2.42,19.39,2.43,12.17,4.48,-7.14,2.90,14.94,8.4,18.81,26.67,2.56,-7.28,22.94
E01012345,Darlington 015D,E06000005,Darlington,3.2,3.75,-7.44,0.27,-7.57,19.28,1.86,11.49,-26.15,-0.54,-12.04,25.73,4.52,-5.48,14.29,1.1,-2.79,14.22
E01012346,Darlington 015E,E06000005,Darlington,2.1,-2.3,-6.94,-8.03,19.69,35.19,2.93,1.4,-7.96,-8.19,15.20,43.75,1.23,-6.74,-5.83,-7.89,24.83,26.83
E01012347,Darlington 011C,E06000005,Darlington,-2.07,-1.21,-6.58,-3.87,-5.54,4.00,-2.85,3.39,-12.99,-2.45,-9.85,4.04,-1.34,-5.43,0,-5.28,-1.03,3.97
E01012348,Darlington 011D,E06000005,Darlington,5.61,8.95,1.81,10.21,3.31,3.46,6.84,11.68,-4.44,13.73,6.86,2.86,4.48,5.83,9.21,6.75,0,3.93
E01012349,Darlington 004A,E06000005,Darlington,3.06,-6.62,12.5,1.82,8.54,4.39,0.79,-15.86,19.32,-1.67,15.50,-3.06,5.38,2.82,6.73,6,0.85,10.00
E01012350,Darlington 004B,E06000005,Darlington,-2.65,-1.72,-7.14,-7.65,4.69,2.26,-2.44,-1.63,-5.26,-11.07,8.03,7.96,-2.86,-1.82,-8.49,-3.85,1.43,-1.96
E01012351,Darlington 004C,E06000005,Darlington,0.62,-1.95,-7.58,-7.24,8.67,27.03,1.88,-3.45,1.9,-5.51,7.32,25.33,-0.69,0,-16.98,-8.86,10.06,28.77
