LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01016610,Wokingham 018A,E06000041,Wokingham,-3.53,-8.23,-4.27,-10.57,11.09,18.12,-3.94,-4.89,-6.21,-13.92,14.35,18.25,-3.11,-11.63,-2.21,-7.13,7.96,17.99
E01016611,Wokingham 018B,E06000041,Wokingham,-13.21,-0.41,-20.39,-20.93,-5,15.32,-20.62,5.34,-25,-32.98,-5.80,5.56,-1.56,-7.08,-4.82,-3.16,-4.23,24.56
E01016612,Wokingham 015A,E06000041,Wokingham,1.06,-13.61,8.47,-8.99,15.63,20.88,0.27,-7.51,1.74,-8.97,10.53,17.12,1.8,-18.38,14.29,-9.02,21.03,24.50
E01016613,Wokingham 006A,E06000041,Wokingham,2.12,-2.76,2.73,2.36,4.6,7.27,1.74,-0.57,1.71,3.93,2.29,-2.60,2.51,-4.84,3.88,0.69,6.92,15.91
E01016614,Wokingham 006B,E06000041,Wokingham,0.65,-13.33,-13.92,6.64,10.62,2.92,-0.14,-14.05,-21.05,8.5,9.92,5.31,1.52,-12.5,-3.75,4.39,11.27,0.79
E01016615,Wokingham 005A,E06000041,Wokingham,5.7,19.55,-14.43,1.41,21.33,2.92,4.83,11.81,-16.83,1.52,19.81,8.40,6.55,28.69,-11.83,1.29,22.86,-0.47
E01016616,Wokingham 005B,E06000041,Wokingham,2.17,-4.6,0.64,6.1,-1.9,4.96,-0.13,-13.67,7.32,2.86,-1.53,3.93,4.56,8,-6.67,9.81,-2.27,5.78
E01016617,Wokingham 005C,E06000041,Wokingham,16.86,40.12,12.28,38.44,4.29,-5.19,19.1,37.18,16.39,37.22,5.98,0.62,14.76,42.86,7.55,39.66,2.59,-9.76
E01016618,Wokingham 006C,E06000041,Wokingham,-0.88,0.48,-4.22,3.98,2.61,-10.98,3.1,18.18,-11.63,11.39,-6.50,-1.77,-4.67,-12.3,3.75,-3.5,13.08,-18.80
E01016619,Wokingham 002A,E06000041,Wokingham,6.76,7.79,4.64,5.58,8.79,6.67,5.45,0.54,9.41,5.38,7.64,7.50,8.18,17.78,-1.52,5.77,10,5.93
E01016620,Wokingham 002B,E06000041,Wokingham,3.49,7.34,-15.22,-3.05,11.03,26.42,3.44,3.98,-9.57,-2.28,16.08,13.92,3.54,11.26,-21.11,-3.73,6.12,38.75
E01016621,Wokingham 003A,E06000041,Wokingham,3.65,17.51,-16.85,-1.25,0.71,18.69,2.09,18.75,-11.76,-4.64,-5.67,17.35,5.19,16.06,-21.21,2.14,7.19,19.83
E01016622,Wokingham 004A,E06000041,Wokingham,-3.49,-12.81,-13.87,-10.12,-7.86,32.88,-5.4,-16.94,-13.04,-12.32,-9.03,33.65,-1.53,-8.47,-14.81,-7.92,-6.62,32.17
E01016623,Wokingham 003B,E06000041,Wokingham,-0.13,0,-7.56,-2.65,-0.33,7.69,-2.83,3.73,-15.63,-6.72,-3.29,7.04,2.58,-3.91,2.63,1.68,2.67,8.20
E01016624,Wokingham 003C,E06000041,Wokingham,-1.69,-10.65,-15.91,0.95,-3.09,12.37,-3.37,-13.18,-6.33,-8.12,1.96,8.90,0,-8.21,-23.71,12.3,-7.6,15.69
E01016625,Wokingham 016A,E06000041,Wokingham,3.98,8.01,7.75,-3.26,2.8,10.77,5.41,19.01,1.3,-2.96,4.43,10.24,2.56,-2.76,15.38,-3.57,1.23,11.22
E01016626,Wokingham 013A,E06000041,Wokingham,22.43,40.07,37.8,17.23,22.69,12.16,19.29,31.58,42.11,12.13,21.74,14.53,25.46,48.51,34.29,22.85,23.76,10.61
E01016627,Wokingham 010A,E06000041,Wokingham,2.93,7.81,-10.45,-4.49,-2.55,36.18,3.79,4.81,-3.81,-3.74,2.70,30.95,2.02,11.64,-17.71,-5.31,-7.25,41.67
E01016628,Wokingham 010B,E06000041,Wokingham,0.57,6.36,11.63,-5.92,-6.71,7.76,-1.73,2.55,5.63,-10.82,0.00,4.27,2.99,11.11,18.97,-0.42,-12.96,10.87
E01016629,Wokingham 015B,E06000041,Wokingham,2.06,9.18,-12.58,-5.21,-3.56,20.06,2.37,9.57,-8.82,-4.41,-3.66,19.18,1.78,8.85,-15.66,-6.03,-3.47,20.86
E01016630,Wokingham 015C,E06000041,Wokingham,1.08,-1.48,-14.05,-2.6,3.61,42.74,2.31,-2.29,-10.11,-1.06,0.56,62.26,-0.13,-0.61,-17.71,-4.08,6.67,26.56
E01016631,Wokingham 016B,E06000041,Wokingham,2.18,8.05,-15.72,-3.52,2.03,31.29,1.35,5.15,-23.33,2.77,0.00,28.57,2.98,11.2,-5.8,-9.65,3.73,32.97
E01016632,Wokingham 016C,E06000041,Wokingham,2.63,7.32,-10.9,2.48,-8.8,31.28,3.18,14.48,-10.14,0.37,-9.39,29.21,2.09,0,-11.49,4.74,-8.25,33.33
E01016633,Wokingham 019A,E06000041,Wokingham,-4.36,-10.49,-15.63,-13.14,2.33,30.54,-4.36,-9.59,-25.29,-10.92,1.99,37.33,-4.35,-11.43,-4.11,-15.12,2.68,25.00
E01016634,Wokingham 016D,E06000041,Wokingham,23.48,39.76,16.3,30.59,13.38,12.35,21.97,33.85,-7.69,31.94,21.28,9.35,24.94,46.22,49.12,29.15,6.33,14.51
E01016635,Wokingham 015D,E06000041,Wokingham,5.93,9.06,-12.99,5.46,6.1,30.19,5.12,6.51,-13.33,2.75,8.70,35.29,6.74,12.14,-12.64,8.14,3.82,25.45
E01016636,Wokingham 019B,E06000041,Wokingham,3.11,0.78,-4.08,-4.62,-0.85,25.35,1.87,1.52,-21.74,-1.95,0.55,25.36,4.38,0,25.45,-7.02,-2.3,25.33
E01016637,Wokingham 019C,E06000041,Wokingham,-0.34,-2.69,-7.63,-3.04,-3.11,15.27,-1.63,-2.04,-5.63,-5.08,-6.63,15.84,1.08,-3.41,-10,-0.66,0.64,14.71
E01016638,Wokingham 019D,E06000041,Wokingham,1.43,6.35,5,-6.74,0.39,21.54,0.45,4.38,3.08,-9.88,-1.59,37.50,2.4,8.63,7.27,-3.76,2.26,9.46
E01016639,Wokingham 019E,E06000041,Wokingham,1,-9.34,11.66,-11.25,8.48,32.50,1.12,-3.55,10.98,-13.24,8.28,31.25,0.88,-15.34,12.35,-9.28,8.7,33.65
E01016640,Wokingham 019F,E06000041,Wokingham,-1.5,-12.61,-8.95,-10.85,9.91,7.72,-2.99,-16.81,-21.36,-8.74,5.48,15.29,0,-8.11,5.75,-12.84,14.63,1.11
E01016641,Wokingham 018C,E06000041,Wokingham,0.94,-9.27,-2.13,-2.96,0.27,15.64,4.33,8.41,-6.85,-0.96,-2.13,23.74,-2.21,-22.7,2.94,-5.1,2.84,9.63
E01016642,Wokingham 018D,E06000041,Wokingham,1.27,11.34,-9.42,-1.78,-16.3,24.06,1.68,0,-3.95,1.61,-13.27,28.74,0.85,25.47,-16.13,-4.81,-19.3,20.00
E01016643,Wokingham 019G,E06000041,Wokingham,0.35,-5.65,-2.08,-7.91,-1.18,51.52,-1.96,-2.55,-16.87,-10.29,2.50,34.72,2.73,-9.03,18.03,-5.6,-4.44,71.67
E01016644,Wokingham 011A,E06000041,Wokingham,1.74,7.2,-17.93,-0.16,4.9,22.12,0.66,11.76,-15.63,-3.8,-3.13,34.78,2.86,2.82,-20.45,3.73,13.68,12.07
E01016645,Wokingham 011B,E06000041,Wokingham,3.03,-6.12,10.53,-4.87,29.35,22.81,3.17,-8.28,22.39,-5.4,24.35,35.00,2.88,-3.76,-1.52,-4.32,36.05,16.22
E01016646,Wokingham 011C,E06000041,Wokingham,3.2,9.63,-2.12,-9.5,19.22,34.38,0.76,5.95,4.26,-12.87,11.89,40.43,5.73,13.64,-8.42,-6.02,26.81,28.57
E01016647,Wokingham 009A,E06000041,Wokingham,-2.57,-12.45,-6.72,-4.7,13.26,15.24,2.24,-16.09,7.34,5.8,9.56,21.62,-6.98,-8.77,-18.6,-13.78,17.19,10.00
E01016648,Wokingham 011D,E06000041,Wokingham,6.6,36.73,-7.59,-5.75,14.16,20.75,4.63,45.31,-2.99,-9.17,3.03,14.58,8.7,27.35,-11.54,-2.08,28.71,25.86
E01016649,Wokingham 011E,E06000041,Wokingham,4.99,16.53,-20.96,1.83,5.26,35.71,4.94,17.36,-27.71,2.91,0.00,66.67,5.04,15.65,-14.29,0.68,11.36,17.14
E01016651,Wokingham 012A,E06000041,Wokingham,1.74,7.89,-5.26,-0.55,-6.27,19.79,-0.85,-0.85,-4.82,-4.33,-2.88,17.05,4.23,17.12,-5.68,3.4,-9.15,22.12
E01016652,Wokingham 008B,E06000041,Wokingham,-0.62,-9.7,-4.03,-5.46,-3.7,40.97,0.92,-9.86,-3.66,2.34,-3.01,28.21,-2.19,-9.52,-4.48,-12.3,-4.38,56.06
E01016653,Wokingham 008C,E06000041,Wokingham,-19.62,10.29,-68.86,-17.61,-9.52,50.00,-22.05,5.61,-67.37,-20.42,-15.91,66.20,-16.95,15.46,-70.59,-14.29,-2.5,37.36
E01016654,Wokingham 012B,E06000041,Wokingham,4.82,15.09,-10.14,1.36,4.33,12.50,1.46,16.38,-31.25,-1.54,4.79,15.66,8.07,13.79,18.97,4.35,3.9,10.40
E01016655,Wokingham 012C,E06000041,Wokingham,1.59,8.33,-14.57,-6.57,5.78,43.88,1.03,18.02,-12.66,-5.78,-1.27,28.30,2.18,-0.85,-16.67,-7.38,13.97,62.22
E01016656,Wokingham 010C,E06000041,Wokingham,2.21,11.37,-8.5,-7.04,5.81,13.48,1.36,9.77,-3.95,-8.71,5.45,10.08,3.08,13.11,-12.99,-5.37,6.17,17.12
E01016657,Wokingham 004B,E06000041,Wokingham,-2.8,-13.95,7.03,-15.32,22.82,24.52,-2.58,-13.37,1.52,-14.73,21.85,30.14,-3.02,-14.51,12.9,-15.89,23.77,19.51
E01016658,Wokingham 004C,E06000041,Wokingham,5.2,-3.44,-6.6,-5.97,38.67,31.17,6.71,0.71,5.05,-8.37,34.56,43.75,3.65,-8.26,-18.37,-3.66,43.33,22.22
E01016659,Wokingham 004D,E06000041,Wokingham,1.91,3.19,-6.15,-10.23,25.22,25.74,4.59,8.77,-12.2,-7.99,28.10,39.58,-0.4,-1.46,-1.03,-12.2,22.02,18.18
E01016660,Wokingham 004E,E06000041,Wokingham,-2.71,-10.38,-6.94,-5.44,-3.81,30.86,-0.36,-0.64,-7.41,-3.87,-5.59,34.57,-5.07,-19.75,-6.48,-6.98,-1.85,27.16
E01016661,Wokingham 007A,E06000041,Wokingham,0.14,-2.54,2.5,-6.99,3.93,16.20,-2.38,-7.59,2.38,-10.85,8.70,8.99,2.79,3.05,2.63,-2.88,-0.7,23.33
E01016662,Wokingham 005D,E06000041,Wokingham,11.41,14.2,26.35,1.96,6.99,25.42,8.21,8.2,13.48,0.99,22.55,10.43,14.61,21.29,41.03,2.91,-5.51,39.20
E01016663,Wokingham 007B,E06000041,Wokingham,1.94,5.49,-12.43,-3.96,7.75,15.32,1.17,0.72,-6.38,-3.58,4.20,15.65,2.71,10.45,-18.68,-4.35,11.35,15.04
E01016664,Wokingham 006D,E06000041,Wokingham,0.77,-4,-4.83,3.77,17.59,-9.69,0.64,-5.59,3.08,-2.9,33.33,-16.36,0.9,-2.27,-11.25,10.99,3.51,-4.73
E01016665,Wokingham 008D,E06000041,Wokingham,0.19,9.09,-16.77,-6.93,8.84,10.00,-0.48,10.06,-17.89,-7.08,5.30,12.24,0.89,8.05,-15.28,-6.77,12.59,8.04
E01016666,Wokingham 008E,E06000041,Wokingham,0.5,14.39,-28.32,-2.44,-8.07,48.70,-0.28,11.64,-15.66,-4.91,-11.52,45.61,1.29,17.6,-40,0,-4.46,51.72
E01016668,Wokingham 006E,E06000041,Wokingham,3.54,13.24,-10.28,5.43,8.19,-4.92,0.48,1.31,-13.27,6.07,4.35,-5.69,6.79,26.87,-6.93,4.78,12.88,-4.26
E01016669,Wokingham 006F,E06000041,Wokingham,9.22,14.77,13.04,8.99,7.01,3.56,9.98,16.58,17.17,11.18,-2.70,7.05,8.45,12.73,8.24,6.89,18.7,0.55
E01016670,Wokingham 014A,E06000041,Wokingham,6.48,8.33,2.93,-5.11,22.32,32.58,2.95,10.42,-9.17,-7.57,16.57,22.22,10.18,5.88,16.67,-2.7,28.24,43.18
E01016671,Wokingham 013B,E06000041,Wokingham,7.68,8.47,6.82,-1.58,-4.67,21.31,9.01,-6.52,0,1.89,2.90,31.53,6.62,24.71,14.63,-5.39,-11.11,16.22
E01016672,Wokingham 014B,E06000041,Wokingham,25.78,46.08,22,26.66,13.71,20.00,25.47,50.33,23.61,19.87,19.64,19.38,26.08,41.83,20.51,33.33,8.24,20.56
E01016673,Wokingham 013C,E06000041,Wokingham,5.34,5.86,15.91,2.21,10.13,-1.81,6.53,2.82,31.13,0,15.79,-5.08,4.21,9.52,1.75,4.26,4.55,0.63
E01016674,Wokingham 013D,E06000041,Wokingham,-9.51,-3.89,-34.29,-9.09,-10.96,5.21,-10.36,-4.58,-36.56,-10.28,-9.29,5.15,-8.65,-3.17,-31.71,-7.79,-12.5,5.26
E01016675,Wokingham 001A,E06000041,Wokingham,-3.31,-11.19,-18.28,-14.91,-0.92,21.16,-3.75,-13.24,-20.83,-22.16,6.42,30.48,-2.87,-9.09,-15.56,-7.23,-8.26,13.97
E01016676,Wokingham 001B,E06000041,Wokingham,0.76,1.95,-4.61,-6.42,5.71,5.75,-0.77,-7.52,-2.67,-12.96,12.88,6.91,2.24,12.1,-6.49,0,-1.18,4.72
E01016677,Wokingham 001C,E06000041,Wokingham,2.78,20,-8.5,4.21,-4.56,0.61,2.85,22.5,-26.19,4.55,2.53,0.68,2.71,17.5,13.04,3.83,-11.11,0.56
E01016678,Wokingham 001D,E06000041,Wokingham,6.54,10.96,5.41,10.04,-5.63,10.25,7.5,9.09,11.11,13.08,-4.76,7.58,5.55,12.84,-1.49,6.79,-6.57,12.58
E01016679,Wokingham 012D,E06000041,Wokingham,5.4,0.85,-3.38,6.84,6.43,20.31,5.45,5.73,-2.27,3.45,11.11,14.14,5.35,-3.73,-4.48,10.3,1.75,26.88
E01016680,Wokingham 012E,E06000041,Wokingham,7.74,1.38,10.65,6.95,24.43,-0.71,8.28,0,14.63,9.63,18.48,0.00,7.17,3.05,6.9,4.03,30.95,-1.28
E01016682,Wokingham 017A,E06000041,Wokingham,41.73,54.99,24.84,50.86,26.82,23.89,38.69,52.78,8.75,53.02,23.12,15.97,44.91,57.07,41.56,48.66,31.21,32.71
E01016683,Wokingham 017B,E06000041,Wokingham,-0.31,-11.76,10.59,-5.73,3.31,18.53,-0.51,-16.5,13.83,-6.72,10.26,16.13,-0.11,-5.95,6.58,-4.74,-3.54,20.74
E01016684,Wokingham 003D,E06000041,Wokingham,0,-11.55,2.89,-10.71,15.02,15.30,-1.56,-22.75,12.9,-15.09,25.81,11.94,1.63,2.21,-8.75,-6.18,4.43,18.37
E01016685,Wokingham 003E,E06000041,Wokingham,-2.05,0.74,-3.18,-7.96,1.63,1.24,-6.76,0,-4.3,-15.43,-2.03,-3.66,3.28,1.52,-1.56,1.65,5.85,5.63
E01016686,Wokingham 007C,E06000041,Wokingham,1.22,15.1,-26.67,-5.08,-5.88,56.73,-3.44,5.26,-27.03,-10.42,-3.81,53.06,6.05,24.74,-26.23,0.86,-7.76,60.00
E01016687,Wokingham 007D,E06000041,Wokingham,-2.44,-10.31,-0.71,-13.75,5.22,16.47,1.26,0.91,5.97,-15.18,17.50,13.91,-5.91,-21.24,-6.76,-12.33,-6.2,18.66
E01016688,Wokingham 007E,E06000041,Wokingham,-28.27,11.83,-77.74,-6.76,-14.02,39.19,-26.47,10.53,-74.83,-10.66,-11.94,28.21,-30.14,13.51,-80.24,-1.85,-16.06,51.43
E01016689,Wokingham 007F,E06000041,Wokingham,-0.47,-0.87,-17.93,-8.23,7.78,10.80,-0.81,-0.88,-17.28,-9.05,8.15,11.63,-0.14,-0.87,-18.75,-7.36,7.41,10.05
E01016690,Wokingham 017C,E06000041,Wokingham,4.13,-0.29,3.87,1.57,3.29,16.91,4.49,1.13,32.81,-3.86,1.15,20.29,3.75,-1.79,-16.48,7.67,5.62,13.43
E01016691,Wokingham 017D,E06000041,Wokingham,3.34,0.97,5.69,-7.73,8.57,15.42,-0.67,-6.54,10.34,-6.11,2.72,3.81,7.31,9,1.54,-9.34,15.04,25.41
E01016692,Wokingham 002C,E06000041,Wokingham,1.36,10.48,-13.45,-2.56,-0.75,7.53,2.23,14.52,-3.17,-1.96,-2.31,5.52,0.53,6.45,-25,-3.16,0.74,9.09
E01016693,Wokingham 002D,E06000041,Wokingham,2.08,10.93,-4.76,-6.73,6.55,23.57,0.75,14.96,-6,-8.83,1.82,24.19,3.39,6.67,-3.64,-4.56,10.92,23.08
E01016694,Wokingham 002E,E06000041,Wokingham,6.42,22.37,8.51,5.48,-1.86,1.80,7.31,23.15,-5.77,6.32,11.43,-1.47,5.62,21.67,26.19,4.68,-14.55,4.06
E01016695,Wokingham 002F,E06000041,Wokingham,2.72,9.87,-2.36,-2.38,-0.93,10.49,1.93,15.92,-12.12,-4.2,-1.30,7.86,3.54,3.4,8.2,-0.41,-0.6,13.01
