LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01030152,Suffolk Coastal 004A,E07000205,Suffolk Coastal,-2.61,-16,-10.75,-7.12,-7.55,4.64,-3.19,-20,-26.92,-1.16,-6.56,4.43,-2.13,-12.22,9.76,-13.41,-8.3,4.80
E01030153,Suffolk Coastal 004B,E07000205,Suffolk Coastal,-0.52,5.34,7.77,3.19,-17.24,3.95,-1.61,23.08,0,0,-26.40,5.77,0.5,-12.12,16.67,7.26,-8.82,2.68
E01030154,Suffolk Coastal 002A,E07000205,Suffolk Coastal,-4.12,-17.8,-2.88,-12.5,-7.26,20.49,-4.61,-21.88,-4.67,-8.4,-9.93,21.72,-3.64,-12.96,-0.99,-16.11,-4.59,19.30
E01030155,Suffolk Coastal 008A,E07000205,Suffolk Coastal,4.03,4.06,7.62,-4.52,-7.55,27.57,3.88,1.05,6.61,-5.08,-9.80,37.57,4.17,7.79,8.82,-3.95,-5.45,19.91
E01030158,Suffolk Coastal 013C,E07000205,Suffolk Coastal,-2.9,-28.57,-6.67,-7.5,-20.14,16.70,-4.92,-46.15,18.92,-7.44,-22.77,14.98,-0.95,-4.26,-24.53,-7.56,-17.67,18.33
E01030159,Suffolk Coastal 013D,E07000205,Suffolk Coastal,0.94,-6.64,3.03,-3.69,6.69,5.97,1.25,-0.93,-4.49,-5.21,5.96,9.88,0.65,-11.28,11.84,-2.24,7.43,2.63
E01030160,Suffolk Coastal 014A,E07000205,Suffolk Coastal,2.23,4.79,-10.63,4.7,0.93,4.99,-0.42,2.02,-11.11,4.88,-0.58,-3.11,4.87,7.87,-10.13,4.52,2.65,11.50
E01030161,Suffolk Coastal 014B,E07000205,Suffolk Coastal,3,15.1,-3.21,0,-3.9,6.13,3.99,13.04,6.38,-2.52,0.00,7.29,2.05,17.52,-12.9,2.24,-7.56,5.17
E01030162,Suffolk Coastal 015A,E07000205,Suffolk Coastal,11.5,15.95,-9.26,8.77,12.69,20.70,14.22,26.76,2.86,12.92,10.14,20.00,9.13,7.61,-18.48,4.21,16.07,21.10
E01030163,Suffolk Coastal 015B,E07000205,Suffolk Coastal,9.64,8.01,6.47,9.84,3.22,21.60,9.61,6.45,10.38,5.86,6.25,27.83,9.68,9.85,2.11,14.34,0,16.30
E01030164,Suffolk Coastal 013E,E07000205,Suffolk Coastal,4.69,-5.85,-12.65,-6.37,10.14,19.78,7.37,-12.77,14.29,-5.85,12.57,23.24,2.33,2.6,-35.96,-6.88,7.89,17.41
E01030165,Suffolk Coastal 015C,E07000205,Suffolk Coastal,4.3,-5.11,3.37,-1.72,10.61,14.29,4.76,0,0,0,7.10,18.31,3.85,-10.17,6.67,-3.75,14.79,11.63
E01030166,Suffolk Coastal 013F,E07000205,Suffolk Coastal,-1.92,-10.92,5.98,-17.8,0.6,7.51,-2.53,-14.94,19.3,-18.5,-1.25,7.69,-1.38,-6.9,-6.67,-17.07,2.3,7.37
E01030167,Suffolk Coastal 015D,E07000205,Suffolk Coastal,1.16,-12.98,22.31,-18.48,12.32,12.41,2.33,-11.4,28.07,-22.22,17.02,18.42,0.14,-14.89,17.19,-14.89,7.69,8.64
E01030168,Suffolk Coastal 014C,E07000205,Suffolk Coastal,1.79,0.68,-4.88,0.44,1.37,11.03,2.72,-7.79,-7.21,5.63,4.48,20.19,0.91,10.07,-2.13,-4.93,-1.27,5.03
E01030169,Suffolk Coastal 014D,E07000205,Suffolk Coastal,-4.17,-9.68,-13.56,-12.69,14.71,26.06,-4.4,-14.02,-9.01,-14.63,15.13,34.38,-3.94,-4.79,-17.6,-10.69,14.17,19.23
