LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
W01001325,Caerphilly 003A,W06000018,Caerphilly,5.77,13.93,-2.36,5.83,-0.69,11.02,5.61,16.67,0,1.15,-1.32,17.27,5.94,11.03,-5.21,10.67,0,5.93
W01001326,Caerphilly 003B,W06000018,Caerphilly,3.13,9.56,-12.07,3.3,-0.93,16.00,3.09,8.33,-20.59,4.71,0.00,22.81,3.16,10.93,-4.55,1.79,-1.9,11.18
W01001327,Caerphilly 014A,W06000018,Caerphilly,10.71,16.57,-3.85,8.35,11.22,23.25,11.28,23.3,-10.16,8.03,9.18,29.01,10.15,9.77,2.27,8.66,13.4,17.86
W01001328,Caerphilly 014B,W06000018,Caerphilly,-2.18,-9.26,-5.76,-5.38,1.37,13.50,-0.85,-6.55,-8.93,-5.96,2.92,25.93,-3.61,-12.18,-1.27,-4.69,0,3.10
W01001329,Caerphilly 014C,W06000018,Caerphilly,5.52,3.9,-1.55,5.75,5.77,11.88,4.2,-3.23,-2.08,4.44,3.94,19.82,6.8,12.6,-1.02,7.05,7.52,6.00
W01001330,Caerphilly 018A,W06000018,Caerphilly,0.14,1.55,-9.09,-6.91,0.35,16.61,0.41,6.62,-23.91,-6.97,2.78,23.58,-0.14,-4.1,9.59,-6.85,-2.17,11.04
W01001331,Caerphilly 018B,W06000018,Caerphilly,0.38,-5.97,-1.15,0.6,0.64,14.97,1.2,-6.93,6.78,-1.69,2.61,21.59,-0.44,-5,-7.69,3.18,-1.24,9.09
W01001332,Caerphilly 018C,W06000018,Caerphilly,-1.78,1.02,-14.08,-1.03,0.29,2.65,-2.64,5.42,-23.94,0.55,-7.41,6.30,-0.85,-3.68,-4.23,-2.83,9.74,-0.73
W01001333,Caerphilly 018D,W06000018,Caerphilly,-2.39,-3.19,-4.61,-7.13,0.77,15.65,-5.01,-3.87,-1.75,-14.39,2.22,11.43,0.13,-2.63,-7.77,0,-0.79,19.48
W01001334,Caerphilly 005A,W06000018,Caerphilly,0.26,-8.19,-1.45,-0.79,2.26,17.00,-1.7,-6.04,-17.24,-4.31,5.69,24.72,2.21,-10.47,18.68,2.78,-0.7,10.81
