LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01023345,Dacorum 013A,E07000096,Dacorum,3.17,5.22,-1.58,-2.38,21.64,-1.79,2.35,-3.29,-9.47,-0.95,25.74,0.93,4.02,16.38,6.32,-3.85,17.42,-4.31
E01023346,Dacorum 013B,E07000096,Dacorum,1.81,0.33,-1.86,7.31,-5.75,2.67,3.85,1.26,10.81,12.72,-12.39,0.99,-0.14,-0.68,-12.64,2.11,0.88,4.03
E01023347,Dacorum 013C,E07000096,Dacorum,10.77,6.22,-2.08,1.58,7.85,32.92,5.83,14.44,-7.79,3.17,0.00,19.51,15.3,-0.97,4.48,0,16.79,41.33
E01023348,Dacorum 013D,E07000096,Dacorum,-1.19,15.43,-8.04,2.79,14.4,-29.60,0.37,11.83,-17.92,2.77,10.24,-15.70,-2.67,19.72,3.23,2.81,18.97,-37.00
E01023349,Dacorum 015A,E07000096,Dacorum,6.16,10.45,-6.02,8.29,16.61,-6.44,11.55,26.15,1.59,6.16,17.18,6.31,1.09,-3.1,-12.86,10.5,16,-15.69
E01023350,Dacorum 015B,E07000096,Dacorum,9.56,8.71,3.33,12.61,26.8,-6.91,12.53,5.17,3.7,18.05,35.77,-6.03,6.71,13.24,2.94,7.74,18.11,-7.55
E01023351,Dacorum 015C,E07000096,Dacorum,6.23,20,1.69,1.02,11.31,0.73,5.46,10.63,-2.11,-1,15.27,10.89,6.99,31.54,6.1,3.13,7.69,-5.20
E01023352,Dacorum 004A,E07000096,Dacorum,-2.87,-9.64,-1.88,-13.73,5.27,12.36,-3.74,-8.71,0,-14.97,3.15,10.57,-1.99,-10.62,-3.85,-12.53,7.42,14.10
E01023354,Dacorum 018B,E07000096,Dacorum,17.06,26.13,3.31,23.26,14.47,4.53,14.86,29.11,-9,23.93,5.73,4.96,19.41,22.48,18.52,22.56,23.38,4.10
E01023355,Dacorum 006A,E07000096,Dacorum,-1.66,-11.85,-5.84,-6.21,-3.43,16.57,-3.05,-15.07,-11.36,-1.91,-4.66,13.91,-0.26,-8.06,1.52,-10.18,-2.15,18.78
E01023356,Dacorum 006B,E07000096,Dacorum,2.84,0,11.96,-0.7,5.51,3.14,-2.96,-14.29,11.11,-5.71,-2.34,3.73,8.91,19.77,13.16,4.08,13.49,2.61
E01023357,Dacorum 020A,E07000096,Dacorum,4.61,13.92,0.96,4.56,1.86,-0.35,4.3,12.79,-4.27,4.86,2.16,1.64,4.94,15.28,7.69,4.26,1.54,-1.84
E01023358,Dacorum 020B,E07000096,Dacorum,8.04,9.28,3.27,9.16,10.14,5.06,7.11,5.62,8.33,10.11,11.65,-8.00,8.95,12.56,-1.89,8.17,8.65,16.87
E01023359,Dacorum 020C,E07000096,Dacorum,6.44,7.84,6.77,4,16.33,-0.49,7.97,10.7,3.03,5.85,20.33,0.00,5.04,5.43,10.92,2.29,12.3,-0.83
E01023360,Dacorum 020D,E07000096,Dacorum,5.61,3.57,-5.16,4.29,14.62,16.30,3.85,-4.17,-6.25,2.14,15.91,29.03,7.53,13.89,-3.96,6.47,13.22,5.48
E01023361,Dacorum 009A,E07000096,Dacorum,5.77,-10.39,11.84,4.89,13.65,12.80,8.23,-13.85,45.16,8.38,12.67,18.75,3.37,-5.94,-11.11,1.43,14.88,9.09
E01023362,Dacorum 009B,E07000096,Dacorum,5.93,3.7,2.24,3.79,8.03,9.37,8.4,-1.52,17.39,9.06,0.00,20.00,3.74,8.7,-13.85,-1.09,16.02,1.98
E01023363,Dacorum 009C,E07000096,Dacorum,2.14,-2.69,7.25,-8.83,15.61,23.39,0.51,-9.36,8.33,-9.94,21.38,14.67,3.74,4.27,6.06,-7.76,9.68,30.21
E01023364,Dacorum 009D,E07000096,Dacorum,1.21,4.58,16.81,-9.69,-1.77,11.52,2.3,6.45,25.45,-14.88,11.03,8.20,0.15,2.59,8.62,-4.04,-13.61,14.29
E01023365,Dacorum 014A,E07000096,Dacorum,1.91,3.92,4.13,-5.94,1.17,22.62,1.74,-1.83,26.67,-5,-3.10,18.42,2.09,10.53,-18.03,-6.94,5.47,26.09
E01023366,Dacorum 014B,E07000096,Dacorum,0.8,17.33,-17.03,-2.95,1.49,5.39,2.43,20.98,-14.89,-6.6,6.92,18.57,-0.79,13.43,-19.32,0.65,-3.62,-4.12
E01023367,Dacorum 014C,E07000096,Dacorum,1.42,-5.16,25.26,-5.61,3.91,5.07,2.93,0.86,20,-4.58,8.46,0.79,0,-10.29,32.5,-6.55,-0.79,8.72
E01023368,Dacorum 014D,E07000096,Dacorum,2.4,-0.99,-4.93,-6.77,26.02,13.02,6.23,12.5,7.58,-6.57,21.99,16.67,-0.99,-11.4,-15.79,-6.98,30.47,10.69
E01023369,Dacorum 012A,E07000096,Dacorum,2.98,5.39,-8.07,10.97,-7.83,1.39,5.87,4.55,4.94,10.29,4.08,0.82,0.27,6.29,-21.25,11.67,-17.65,1.82
E01023370,Dacorum 012B,E07000096,Dacorum,4.64,11.88,-10.29,-3.61,10.64,25.95,0.12,7.49,-9.84,-11.86,13.68,27.27,9.09,16.57,-10.67,5.16,7.63,25.00
E01023371,Dacorum 012C,E07000096,Dacorum,0.59,-3.81,-9.66,0,-0.3,20.73,0.41,-3.55,-9.64,1.34,-2.56,18.18,0.76,-4.07,-9.68,-1.19,1.65,23.40
E01023372,Dacorum 012D,E07000096,Dacorum,3.46,10.95,-6.85,2.84,-6.84,13.92,3.52,25.2,-11.54,-1.09,-6.78,11.41,3.41,-0.66,-1.47,6.4,-6.9,16.17
E01023373,Dacorum 021A,E07000096,Dacorum,1.33,0.48,-6.72,-3.43,0,19.21,-0.49,5.31,-16.44,-9.24,11.43,15.12,3.24,-5.32,4.92,3.52,-10.34,22.22
E01023374,Dacorum 021B,E07000096,Dacorum,4.79,0,9.93,-6.29,9.97,19.77,2.75,2.78,-3.75,-7.98,14.58,14.05,6.79,-2.42,27.87,-4.48,5.73,24.65
E01023375,Dacorum 021C,E07000096,Dacorum,0.58,-6.42,-3.13,-5.88,9.17,8.92,0.63,-5.63,-4.6,-9.88,14.79,12.23,0.52,-7.32,-1.37,-1.35,3.55,6.29
E01023376,Dacorum 021D,E07000096,Dacorum,-2.22,-4.25,-1.46,-9.17,-6.13,26.04,-3.12,7.44,-16.67,-10.84,-4.07,19.48,-1.36,-14.49,15.38,-7.36,-7.97,31.52
E01023377,Dacorum 021E,E07000096,Dacorum,5.52,-2.37,17.2,0.29,6.36,12.54,9.38,4.65,32.5,2.45,2.80,20.14,2.14,-7.2,5.66,-1.69,10,5.66
E01023378,Dacorum 021F,E07000096,Dacorum,2.25,-6.69,12.57,3.08,-4.54,12.35,0.12,-13.43,13.95,-5.08,-1.80,13.86,4.39,-0.67,11.34,11.87,-7.31,10.76
E01023379,Dacorum 018C,E07000096,Dacorum,4.86,7.49,12,-2.62,7.19,11.52,6.36,19.51,9.33,-4.18,8.39,13.91,3.46,-2.78,14.67,-1.05,5.96,9.74
E01023380,Dacorum 018D,E07000096,Dacorum,3.2,10.33,-7.89,-3.6,4.63,18.47,1.53,13.86,-14.81,-8.3,9.23,13.16,4.86,7.14,-1.67,1.4,0,23.46
E01023381,Dacorum 018E,E07000096,Dacorum,1.6,-3.18,-4.38,-2.35,0.88,15.50,1.01,-11.11,-4.71,3.28,-2.82,17.42,2.2,5.83,-4,-7.5,4.85,13.67
E01023382,Dacorum 018F,E07000096,Dacorum,6.32,0.71,3.31,8.33,6.11,10.66,6.3,0,3.95,6,0.00,28.89,6.33,1.41,2.67,10.63,13.56,0.00
E01023383,Dacorum 016A,E07000096,Dacorum,-0.27,-18.56,8.56,0.19,7.07,6.05,0.94,-18.54,4.12,5.7,7.69,5.75,-1.44,-18.57,13.33,-5.3,6.43,6.25
E01023384,Dacorum 016B,E07000096,Dacorum,5.07,17.79,-3.61,6.19,8.55,-10.79,3.46,14.43,-5.15,1.99,10.00,-9.48,6.68,21.76,-1.77,10.31,7.14,-11.73
E01023385,Dacorum 016C,E07000096,Dacorum,0.96,6.38,-13.72,4.32,5.76,-2.92,-0.47,4.92,-20.9,10.59,-3.78,-1.32,2.47,7.96,-3.26,-1.97,16.67,-4.21
E01023386,Dacorum 019A,E07000096,Dacorum,1.48,-5.28,-6.12,3.52,8.63,3.14,-0.13,-5.48,-11.21,3.32,6.15,2.25,3.08,-5.07,0,3.72,10.81,3.92
E01023387,Dacorum 019B,E07000096,Dacorum,1.98,-1.99,-8.51,-0.95,8.37,21.30,2.87,-8.84,-1.12,0.39,15.00,23.61,1.2,4.52,-15.15,-2.21,3.15,19.59
E01023388,Dacorum 019C,E07000096,Dacorum,2.65,-5.94,6.04,-0.5,18.01,0.48,0.77,-6.47,-6.59,-1.63,18.06,0.00,4.57,-5.44,18.68,0.69,17.97,0.91
E01023389,Dacorum 019D,E07000096,Dacorum,0.06,-0.35,-16.83,3.77,-3.74,13.79,-2.04,-2.82,-31.82,6.44,-5.31,14.41,2.19,2.13,0,1.12,-2.06,13.22
E01023390,Dacorum 010A,E07000096,Dacorum,4.77,11.83,4.29,0.8,18.67,-9.00,2.08,-1.49,-3.03,1.36,17.71,-5.88,7.49,26.2,13.86,0.26,19.75,-11.43
E01023391,Dacorum 010B,E07000096,Dacorum,5.07,2.07,15.08,-4.86,25.33,1.81,6.13,6.75,8.57,-2.62,21.15,5.75,4.09,-2.29,22.34,-6.91,29.86,-0.75
E01023392,Dacorum 011A,E07000096,Dacorum,2.39,-5.9,-8.1,3.51,23.37,-2.45,0.25,-5.99,-8.55,1.45,22.58,-8.33,4.47,-5.8,-7.53,5.46,24.09,1.81
E01023393,Dacorum 007A,E07000096,Dacorum,2.3,10.12,-18.58,1.96,3.02,9.33,1.78,17.27,-26.32,0.86,4.88,8.13,2.86,4.38,-10.23,3.41,0.75,10.34
E01023394,Dacorum 007B,E07000096,Dacorum,6.61,9.88,-9.25,7.88,-7.69,48.25,7.14,11.45,1.12,5.24,-11.32,53.42,6.07,8.2,-20.24,10.68,-4.22,42.86
E01023395,Dacorum 007C,E07000096,Dacorum,4.58,0.8,15.31,-0.98,-5.48,51.13,2.64,0,6.19,-1.25,-7.73,50.75,6.73,1.65,27.71,-0.69,-3.01,51.52
E01023396,Dacorum 007D,E07000096,Dacorum,2.8,9.87,-9.38,-1.24,-11.72,60.42,2.45,13.42,-5.94,-3.1,-12.12,50.65,3.16,6.45,-13.19,0.72,-11.33,71.64
E01023397,Dacorum 007E,E07000096,Dacorum,4.67,12.42,-14,9.32,-5.15,23.85,6.05,14.09,-6.73,10.43,-9.03,31.37,3.32,10.74,-21.88,8.26,-1.36,17.24
E01023398,Dacorum 015D,E07000096,Dacorum,35.79,30.48,16.73,54.31,14.8,23.08,36.34,32.42,3.62,55.49,21.47,23.08,35.2,28.5,31.2,52.99,7.19,23.08
E01023399,Dacorum 010C,E07000096,Dacorum,8.55,3.32,18.18,0.98,17.68,14.39,6.67,0.81,19.35,0,11.04,18.03,10.56,6.9,17.14,2.09,25,11.54
E01023400,Dacorum 015E,E07000096,Dacorum,16.62,40.49,8.84,22.79,13.1,1.66,13.48,22.22,23.53,18.42,8.50,-3.03,19.7,60.82,-4.17,28.11,18.25,4.67
E01023401,Dacorum 008A,E07000096,Dacorum,0.89,1.92,-28.16,-0.69,23.24,12.33,1.92,5.05,-21.6,-1.39,28.32,7.78,-0.11,-1.81,-35,0,18.75,15.50
E01023402,Dacorum 008B,E07000096,Dacorum,3.46,5.94,-3.45,4.83,1.19,4.63,4.86,11.38,-11.54,4.91,8.40,6.09,2.04,0,5.05,4.75,-6.56,3.47
E01023403,Dacorum 008C,E07000096,Dacorum,4.32,13.16,-3.55,1.12,14.77,-0.87,4.53,19.42,-14.63,-2.9,11.48,9.92,4.13,6.3,6.9,5.41,18.26,-7.55
E01023404,Dacorum 008D,E07000096,Dacorum,2.75,21,-26.47,-2.52,16.57,9.26,3.62,21.43,-29.7,-0.81,18.07,10.81,1.93,20.45,-23.3,-4.1,15.31,8.45
E01023405,Dacorum 008E,E07000096,Dacorum,0.19,-5.62,-3.69,-0.17,19,-2.75,-3.27,-16.58,0.81,-2.31,15.89,-5.32,3.98,8.28,-9.57,2.11,22.58,-0.81
E01023406,Dacorum 022A,E07000096,Dacorum,4.31,3.27,-1.04,5.22,5.74,4.90,2.37,-7.39,-3.96,4.4,3.19,12.93,6.16,17.69,2.17,6.01,8.43,0.00
E01023407,Dacorum 022B,E07000096,Dacorum,1.3,0.97,1.6,-3.38,1.1,11.48,3.05,4.11,8.24,-4.01,4.42,11.11,-0.34,-1.84,-3.88,-2.78,-2.2,11.85
E01023408,Dacorum 022C,E07000096,Dacorum,1.52,-1.7,-2.86,-2.72,4.74,9.32,0.12,-4.46,9.88,-9.32,2.63,10.97,2.89,1.46,-13.83,3.72,6.84,7.78
E01023409,Dacorum 017A,E07000096,Dacorum,21.61,38.78,19.76,29.88,12.85,1.72,23.67,31.54,26.97,36.58,2.26,9.02,19.5,46.96,11.54,22.55,25,-3.55
E01023410,Dacorum 017B,E07000096,Dacorum,-1.69,-21.02,4.11,-4.73,-2.13,7.67,-1.83,-7.32,-18.99,2.8,-3.68,5.88,-1.56,-32.98,31.34,-10.92,-0.6,9.31
E01023411,Dacorum 017C,E07000096,Dacorum,1.52,-3.29,-0.53,4.57,4.51,0.43,2.77,0.55,1.1,6.84,1.68,-0.96,0.37,-7.1,-2.08,2.46,7.2,1.54
E01023412,Dacorum 017D,E07000096,Dacorum,1.18,-5.84,-8.33,-2.73,-1.99,15.57,1.51,-1.27,-9.38,-1.74,1.37,12.43,0.82,-10.67,-6.67,-3.8,-5.16,18.79
E01023413,Dacorum 017E,E07000096,Dacorum,3.19,-3.15,0.64,-1.57,4.01,39.67,0.44,-2.1,-8.14,-2.72,5.43,19.40,6.02,-4.2,11.43,-0.4,2.76,64.81
E01023414,Dacorum 020E,E07000096,Dacorum,28.8,20.19,18.97,30.29,45.45,29.38,22.73,13.94,14.46,21.81,47.66,19.18,35.23,27.21,23.08,40,43.14,37.93
E01023415,Dacorum 020F,E07000096,Dacorum,3.45,3.54,-3.51,7.21,5.73,-0.35,8.02,15.75,-5.88,14.49,7.91,-0.75,-0.97,-8.66,-1.16,0,3.57,0.00
E01023416,Dacorum 006C,E07000096,Dacorum,0.07,-12.33,19.27,-8.38,5.31,5.60,1.15,-6.25,29.41,-9.05,8.28,2.47,-0.96,-18.69,10.34,-7.65,2.35,7.98
E01023417,Dacorum 006D,E07000096,Dacorum,5.02,20.09,-11.21,-0.46,8.93,4.89,3.43,10.53,-9.09,1.9,5.13,4.51,6.49,30.48,-14.63,-2.67,13.08,5.12
E01023418,Dacorum 003A,E07000096,Dacorum,0.77,-0.37,-9.74,0.65,6.27,4.65,-0.71,-2.72,-13.51,-2.21,15.25,0.96,2.2,2.5,-4.76,3.43,-1.46,7.14
E01023419,Dacorum 003B,E07000096,Dacorum,1.23,-8.89,-1.2,-2.23,4.74,34.67,-2.55,-13.87,-8.46,-3.31,0.96,32.18,5,-3.59,6.72,-1.2,8.85,36.61
E01023420,Dacorum 003C,E07000096,Dacorum,-0.32,-13.51,14.84,-9.09,7.64,11.07,-3.31,-22.64,10,-10.51,14.00,5.71,2.73,-2.92,20,-7.56,1.32,15.57
E01023421,Dacorum 004B,E07000096,Dacorum,-1.36,-8.17,2.03,-9.8,1.72,15.56,-3.72,-11.45,-6.17,-4.33,-3.95,6.92,0.94,-4.76,11.94,-14.5,7.91,23.57
