LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
W01000913,Neath Port Talbot 010B,W06000012,Neath Port Talbot,2.81,-5.47,-9.8,1.77,14.14,10.62,4.17,-4.76,-13.95,6.28,21.65,5.94,1.5,-5.98,-4.48,-3.17,6.93,14.40
W01000914,Neath Port Talbot 010C,W06000012,Neath Port Talbot,2.95,7.26,-1.83,-0.37,-3.68,16.21,3.26,-1.39,7.62,-0.35,0.81,17.59,2.66,15.09,-10.62,-0.38,-7.38,15.17
W01000915,Neath Port Talbot 010D,W06000012,Neath Port Talbot,0.08,-1.91,1.4,-4.82,-3.43,15.92,0.66,-8.26,1.41,-2.26,-4.39,24.72,-0.49,5,1.39,-7.44,-2.52,8.93
W01000916,Neath Port Talbot 010E,W06000012,Neath Port Talbot,-0.34,-8.45,6.3,-5.77,8.21,6.10,-3.26,-11.11,17.46,-14.62,11.32,0.86,2.85,-5.21,-4.69,3.43,4.95,12.37
W01000917,Neath Port Talbot 010F,W06000012,Neath Port Talbot,23.59,35.68,2.76,35.68,7.36,20.21,23.63,47.16,1.96,28.81,8.18,21.14,23.56,24,3.47,43.28,6.51,19.40
W01000918,Neath Port Talbot 002A,W06000012,Neath Port Talbot,1.15,6.83,-13.71,-2,-1.84,16.01,2.03,3.76,-12.9,-0.63,-7.08,34.78,0.31,9.66,-14.52,-3.53,3.85,4.13
W01000919,Neath Port Talbot 020A,W06000012,Neath Port Talbot,0,0.51,-7.97,-0.56,0.81,4.61,0.35,-9.71,3.03,1.63,1.63,5.32,-0.34,11.7,-18.06,-2.86,0,4.07
W01000920,Neath Port Talbot 011A,W06000012,Neath Port Talbot,1.03,-5.74,-4.05,-4.93,2.65,18.88,0.63,-3.7,-12.05,-4.46,0.74,24.53,1.44,-7.92,6.15,-5.39,4.69,14.17
W01000921,Neath Port Talbot 011B,W06000012,Neath Port Talbot,-3.87,-8.88,-10.12,0.43,-7.28,3.58,-2.72,-11.11,-10.74,5.42,-9.87,9.60,-5.04,-6.02,-9.52,-4.78,-4.67,-1.30
W01000922,Neath Port Talbot 007C,W06000012,Neath Port Talbot,-4.72,-13.89,-4.93,-9.05,-3.27,13.68,-5.15,-15.82,-5.88,-10.32,-7.01,23.26,-4.3,-12.05,-3.85,-7.77,0.67,5.77
W01000923,Neath Port Talbot 007D,W06000012,Neath Port Talbot,-3.38,-0.53,-13.99,-10.57,-7.28,14.15,-6.62,-7.21,-17.33,-13.42,-8.79,11.54,0,9.21,-10.29,-7.62,-5.82,16.57
W01000924,Neath Port Talbot 011C,W06000012,Neath Port Talbot,-6.21,-11.9,-13.77,-5.68,-12.4,10.19,-5.01,-12.35,-8.7,-9.88,-12.10,22.58,-7.41,-11.49,-18.84,-0.69,-12.7,0.00
W01000925,Neath Port Talbot 003B,W06000012,Neath Port Talbot,-1.33,-4.27,-15.77,0,8.02,1.60,-0.76,3.76,-15.93,-2.33,6.43,2.78,-1.9,-11.49,-15.6,2.46,9.84,0.60
W01000926,Neath Port Talbot 003C,W06000012,Neath Port Talbot,-3.84,-9.2,-13.37,-8.48,-5.8,10.59,-3.37,-3.52,-11.93,-9.6,-2.96,9.01,-4.32,-15.97,-15.05,-7.32,-8.53,12.02
W01000927,Neath Port Talbot 020B,W06000012,Neath Port Talbot,19.8,31.96,-9.39,25.26,14.88,20.87,21.68,49.21,-14.85,25.09,10.37,32.67,18.07,18.79,-2.5,25.42,19.19,11.63
W01000928,Neath Port Talbot 020C,W06000012,Neath Port Talbot,2.45,12.86,-12.17,-1.76,-1.76,14.98,2.64,13.74,-6.59,-4.53,-4.49,22.31,2.27,11.82,-17.35,1.22,1.23,9.60
W01000929,Neath Port Talbot 020D,W06000012,Neath Port Talbot,-1.37,-7.72,-8.92,-7.66,2.33,17.75,-1.94,-5.15,-8.33,-7.35,3.33,11.40,-0.78,-10.91,-9.84,-7.94,1.45,23.93
W01000930,Neath Port Talbot 011D,W06000012,Neath Port Talbot,-6.61,-5.26,-7.81,-14.35,-4.24,4.38,-7.41,-2.94,-6.73,-16.81,-2.59,1.77,-5.84,-7.14,-9.09,-11.74,-5.83,6.52
W01000931,Neath Port Talbot 020E,W06000012,Neath Port Talbot,-0.23,-8.51,-6.4,0.96,-6.07,18.47,-3.99,-1.68,-13.98,-11.36,-4.35,17.92,3.7,-15.52,2.53,14.87,-7.75,18.97
W01000932,Neath Port Talbot 019A,W06000012,Neath Port Talbot,1.81,20.41,-6.3,-4.01,4.23,1.26,0.38,13.16,3.03,-10.93,6.45,3.74,3.24,28.17,-16.39,3.61,2.08,-0.76
W01000933,Neath Port Talbot 019B,W06000012,Neath Port Talbot,-4.1,-13.35,2.67,-13.62,2.39,32.72,-5.19,-10.59,7.29,-19.1,6.88,25.00,-2.99,-16.38,-2.2,-8.18,-2.14,39.82
W01000934,Neath Port Talbot 008A,W06000012,Neath Port Talbot,0.54,0,-23.6,3.15,13.25,1.00,0.32,0.95,-36.56,5.96,14.50,3.45,0.76,-0.88,-9.41,0.44,11.86,-0.88
W01000935,Neath Port Talbot 008B,W06000012,Neath Port Talbot,0.06,26.67,-16.34,1.19,0.61,-6.34,-2.38,12.5,-13.33,0.36,-7.22,-5.30,2.61,46.05,-18.75,2.16,10,-7.14
W01000936,Neath Port Talbot 012A,W06000012,Neath Port Talbot,-5.7,-13.12,-3.46,-12.17,1.8,10.86,-8.11,-16.56,6.36,-18.85,-8.16,26.39,-3.32,-9.16,-12.4,-5.64,12.98,0.00
W01000937,Neath Port Talbot 013E,W06000012,Neath Port Talbot,0.67,2.73,-3.2,-6.44,10.41,7.27,-1.19,-4.3,-5.13,-11.47,19.34,10.57,2.66,11.81,-0.98,-0.58,1.63,4.82
W01000938,Neath Port Talbot 008C,W06000012,Neath Port Talbot,-1.05,-10.4,-22.96,1.34,0,6.58,-0.74,-13.1,-25.32,2.05,1.99,11.38,-1.32,-7.87,-19.64,0.56,-1.88,3.65
W01000939,Neath Port Talbot 008D,W06000012,Neath Port Talbot,3.35,3.33,-13.38,-1.71,12.64,9.63,5.25,10.53,-13.51,0,12.59,14.93,1.29,-4.05,-13.24,-4.32,12.7,5.85
W01000940,Neath Port Talbot 008E,W06000012,Neath Port Talbot,4.78,7.14,9.63,2.11,3.09,6.39,8.17,7.32,7.14,5.56,13.33,8.99,1.77,6.96,12.31,-0.88,-5.76,4.62
W01000941,Neath Port Talbot 012B,W06000012,Neath Port Talbot,-0.6,-9.24,-5.8,-4.48,9.47,14.14,-0.81,-6.71,-4.46,-4.22,3.97,17.95,-0.4,-12.23,-7.37,-4.71,15.67,11.50
W01000942,Neath Port Talbot 012C,W06000012,Neath Port Talbot,-0.54,0.27,-9.13,-4.68,5.41,9.43,1.65,6.03,-17.04,-5.83,8.07,30.10,-2.66,-6.29,0,-3.61,2.61,-3.70
W01000943,Neath Port Talbot 012D,W06000012,Neath Port Talbot,1.01,-12.33,19.02,-9.18,11.11,12.54,-0.75,-14.79,18.99,-11.72,17.02,8.70,2.82,-8.94,19.05,-6.51,5.77,15.92
W01000944,Neath Port Talbot 002B,W06000012,Neath Port Talbot,1.32,14.13,-5.19,-2.65,0.37,2.48,-0.32,6.48,-5.63,4.35,-5.30,-4.62,3.09,25,-4.69,-9.33,5.8,10.71
W01000945,Neath Port Talbot 014E,W06000012,Neath Port Talbot,-2.17,-15.05,19.42,-6.5,-1.85,7.28,-3.23,-19.3,0,-6.84,2.24,14.44,-1.06,-9.78,46.51,-6.15,-5.88,1.72
W01000946,Neath Port Talbot 004B,W06000012,Neath Port Talbot,-0.6,-3,-10.96,-2.69,0.85,10.48,-2.4,-9.22,-7.62,-4.55,-2.76,12.59,1.19,3.97,-14.04,-0.78,4.71,8.72
W01000947,Neath Port Talbot 004C,W06000012,Neath Port Talbot,4.44,9.95,3.11,-0.14,-4,19.44,3.82,8.52,-2.21,-1.13,-1.78,25.66,5.04,11.64,9.09,0.82,-6.08,15.43
W01000948,Neath Port Talbot 004D,W06000012,Neath Port Talbot,4.62,1.15,-9.95,6.32,7.27,10.23,2.87,4.55,-19.09,2.3,6.00,13.75,6.44,-2.34,0,11.2,8.54,7.29
W01000949,Neath Port Talbot 018A,W06000012,Neath Port Talbot,0.53,1.66,6.47,-7.46,2.82,6.74,1.05,-6.45,0,-3.17,6.16,8.87,0,10.23,15.52,-12.02,-0.72,5.06
W01000950,Neath Port Talbot 018B,W06000012,Neath Port Talbot,-2,-5.42,-29.36,-0.7,11.63,9.73,-1.29,-1.52,-25.22,-1.67,13.49,8.91,-2.71,-8.97,-33.98,0.37,9.85,10.40
W01000951,Neath Port Talbot 018C,W06000012,Neath Port Talbot,3.04,0.7,-13.1,1.75,13.5,9.57,5.61,6.43,-17.97,2.57,18.35,21.19,0.36,-4.86,-6.93,0.77,8.5,1.22
W01000952,Neath Port Talbot 018D,W06000012,Neath Port Talbot,-2.06,-3.26,-8.02,-1.74,-4.21,7.51,-0.33,3.88,7.23,-7.58,-7.52,18.92,-3.78,-9.82,-24.05,4.71,-0.78,-1.01
W01000953,Neath Port Talbot 005B,W06000012,Neath Port Talbot,-3.6,-5.36,-16.6,-5.2,3.56,2.91,-2.6,-2.96,-13.18,-5.64,2.84,6.47,-4.62,-7.94,-20.54,-4.74,4.35,0.00
W01000954,Neath Port Talbot 005C,W06000012,Neath Port Talbot,-1.04,-0.46,-8.43,-2.91,-1.27,5.82,-2.81,-1.89,-25.56,-0.89,0.00,5.26,0.69,0.9,11.84,-4.93,-2.6,6.29
W01000955,Neath Port Talbot 004E,W06000012,Neath Port Talbot,0.08,-4.64,-2.1,-4.62,-1.77,14.34,0.64,-2.91,-9.09,-3.59,2.96,14.53,-0.47,-6.59,6.06,-5.64,-6.12,14.18
