LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01031125,Rugby 007A,E07000220,Rugby,2.01,7.34,-4.7,-0.41,-10.41,20.60,-1.34,0.89,-7.69,-3.68,-10.53,15.56,5.62,14.15,-1.41,3.64,-10.3,25.76
E01031127,Rugby 007C,E07000220,Rugby,5.52,5.43,4.19,1.77,6.48,17.20,2.2,-1.81,4.59,-5.86,9.68,22.83,9.02,14.13,3.66,8.87,3.25,11.70
E01031129,Rugby 001B,E07000220,Rugby,5.61,8.88,7.22,-3.4,-3.7,22.66,7.04,17.28,3.92,-0.58,-8.87,27.78,4.27,1.14,10.87,-6.08,1.68,18.42
E01031130,Rugby 005A,E07000220,Rugby,3,12.5,-11.66,2.01,5.32,4.24,3.08,10.7,-2.83,2.26,2.65,-3.51,2.91,14.55,-19.66,1.74,8.93,11.48
E01031131,Rugby 005B,E07000220,Rugby,3.81,-6.32,8.8,-0.51,19.21,15.07,4.24,0.71,9.57,-3.37,28.46,11.94,3.27,-13.1,7.92,3.95,8.49,17.72
E01031132,Rugby 005C,E07000220,Rugby,2.87,9.39,-17.37,6.17,6.71,-1.43,1.33,5.44,-20.34,4.78,4.97,-1.05,4.62,13.85,-14.41,7.92,8.76,-1.74
E01031133,Rugby 005D,E07000220,Rugby,7.02,16.38,-2.79,2.07,17.06,6.70,3.16,9.68,-15.69,1.79,5.96,14.81,11.32,23.91,8.85,2.4,33.66,0.00
E01031134,Rugby 011A,E07000220,Rugby,-1.5,0,-10,-8.58,-1.32,5.31,-0.51,7.69,-11.27,-11.22,3.91,5.33,-2.4,-6.8,-8.7,-5.91,-6.03,5.30
E01031135,Rugby 011B,E07000220,Rugby,1,-5.18,17.86,1.34,-22.04,15.06,-0.64,-3.96,9.52,0,-20.59,10.85,2.56,-6.52,28.57,2.72,-23.27,18.77
E01031136,Rugby 011C,E07000220,Rugby,3.88,10.92,-7.32,0.19,2.58,10.14,6.55,32.04,-18.07,2.57,-2.19,19.05,1.46,-5.19,3.7,-2.29,7.83,4.07
E01031137,Rugby 002A,E07000220,Rugby,0.67,9.68,-17.74,-4.48,-1.9,31.45,0.67,10.87,-29.82,-3.07,-3.13,39.66,0.68,8.51,-7.46,-6.09,-0.74,24.24
E01031138,Rugby 002B,E07000220,Rugby,1.57,-5.31,-7.91,-10.44,25,50.00,1.65,-17.24,-2.35,-5.93,15.67,71.43,1.48,7.27,-13.04,-14.5,37.25,31.71
E01031139,Rugby 002C,E07000220,Rugby,0.84,-6.29,0.96,-15.21,15.56,62.79,2.82,6.59,-5.05,-13.62,13.81,55.22,-1.11,-20.53,6.42,-16.62,17.44,70.97
E01031140,Rugby 002D,E07000220,Rugby,4.72,8.44,3.87,5.15,-8.31,19.56,3.31,7.83,-7.95,9.87,-8.86,11.71,6.19,9.09,19.4,0,-7.78,27.19
E01031141,Rugby 002E,E07000220,Rugby,30.64,37.37,1.32,36.8,34.48,20.98,32.6,42.08,-9.32,42.18,40.63,13.89,28.65,32.47,12.73,31.37,28.97,28.17
E01031142,Rugby 002F,E07000220,Rugby,4.61,-4.43,-5.66,3.55,28.04,43.33,6.1,1.4,-8.09,4.76,29.06,31.03,3.05,-10.23,-3.1,2.31,26.8,54.84
E01031143,Rugby 009A,E07000220,Rugby,-2.23,-13.71,-15.65,-10.02,-2.85,19.13,-2.59,-17.27,-6.25,-9.65,7.82,6.86,-1.86,-9.2,-26.87,-10.45,-12.08,30.37
E01031144,Rugby 009B,E07000220,Rugby,5.8,8.13,0,1.84,6.36,15.74,7.11,6.48,4.62,1.88,5.43,30.38,4.5,9.9,-3.9,1.79,7.48,7.30
E01031145,Rugby 009C,E07000220,Rugby,14.89,-6.28,77.46,4.3,19.16,-3.40,15.84,-10.68,100,3.53,12.22,11.58,13.97,-1.14,63.55,5.3,27.27,-13.57
