LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01030697,Spelthorne 006A,E07000213,Spelthorne,11.35,12.93,10.26,11.34,18.4,4.18,9.17,6.38,6.73,9.63,20.53,0.71,13.61,20.49,14.29,13.13,16.06,7.06
E01030698,Spelthorne 006B,E07000213,Spelthorne,-1.62,-0.97,-12,-7.08,4.87,10.71,-2.86,-8,-9.43,-11.51,10.74,13.08,-0.45,5.66,-14.29,-2.64,-0.63,8.67
E01030699,Spelthorne 006C,E07000213,Spelthorne,-0.31,-12.32,8.19,-6.19,14.44,2.59,0.12,-15,18.95,-9.12,13.42,8.86,-0.77,-8.87,-5.26,-2.77,15.56,-2.63
E01030700,Spelthorne 006D,E07000213,Spelthorne,3.98,13.01,-4.55,-4.71,18.75,9.30,3.4,8.97,-19.35,-2.38,16.20,16.67,4.55,17.74,12.05,-6.87,21.93,4.00
E01030701,Spelthorne 005A,E07000213,Spelthorne,1.23,-5,9.29,-1.45,1.68,7.22,1.25,-4.35,16.67,-2.18,4.64,0.81,1.22,-5.76,2.15,-0.73,-1.36,11.90
E01030702,Spelthorne 005B,E07000213,Spelthorne,15.71,26.56,21.01,10.14,26.79,-1.21,12.2,21.64,29.03,4.95,12.09,1.54,19.2,31.97,12.28,15.32,44.16,-3.00
E01030703,Spelthorne 005C,E07000213,Spelthorne,1,1.2,-5.98,-4.95,11.76,5.06,-0.98,7.63,-13.54,-9.06,11.41,2.67,3.03,-5.88,2.27,-0.39,12.14,6.99
E01030704,Spelthorne 005D,E07000213,Spelthorne,-0.26,1.87,3.59,-3.07,-1.98,1.78,-1.15,5.83,-1.18,-5.16,-4.27,3.39,0.64,-1.8,8.54,-0.85,0.72,0.46
E01030705,Spelthorne 005E,E07000213,Spelthorne,1.77,-4.2,-8.33,-2.54,11.5,11.60,3.11,2.24,-5.62,-3.75,16.67,10.22,0.37,-10.94,-10.99,-1.11,6.37,12.82
E01030706,Spelthorne 005F,E07000213,Spelthorne,1.88,-2.8,-5.78,0.58,7.55,9.22,2.21,0.78,-11.96,0.74,9.70,11.00,1.55,-6.61,1.23,0.4,5.56,7.69
E01030707,Spelthorne 003A,E07000213,Spelthorne,17.24,45.45,-11.3,20,3.65,16.26,18.94,55.12,-11.39,20.12,-1.32,23.01,15.54,35.71,-11.22,19.88,9.76,10.53
E01030708,Spelthorne 003B,E07000213,Spelthorne,1.41,-4.89,-0.98,-5.6,9.7,21.59,2.3,-3.45,4.81,-4.01,11.39,14.55,0.48,-6.54,-7,-7.21,7.8,28.21
E01030709,Spelthorne 002A,E07000213,Spelthorne,4.42,-4.32,-0.49,3.32,16.6,16.77,7.83,2.53,4.72,6.31,10.29,28.77,0.77,-12.21,-6.19,0.32,24.32,6.10
E01030710,Spelthorne 002B,E07000213,Spelthorne,15.25,18.43,5.85,21.9,17.79,-7.73,17.56,23.46,12.22,18.98,24.81,-5.81,13,13.68,0,24.85,10,-9.26
E01030711,Spelthorne 002C,E07000213,Spelthorne,11.28,6.27,16.75,5.58,28.32,16.60,8.68,7.91,14.13,0.28,27.59,13.13,13.79,4.5,19.05,10.74,29.09,19.12
E01030712,Spelthorne 003C,E07000213,Spelthorne,7.63,30.17,-18.13,9.56,7.81,6.02,9.09,21.88,-10.34,9.68,13.85,6.25,6.13,39.76,-25.26,9.43,1.59,5.84
E01030713,Spelthorne 003D,E07000213,Spelthorne,0.69,8.68,-13.41,-2.8,-1.87,16.57,-0.3,4.27,-4.94,-8.94,0.73,21.95,1.74,13.73,-21.69,4.11,-4.62,12.12
E01030714,Spelthorne 003E,E07000213,Spelthorne,2.12,3.57,-6.71,-1.67,0.36,19.49,0.74,3.68,-7.5,-6.83,2.33,24.10,3.48,3.45,-5.95,3.9,-1.37,16.07
E01030715,Spelthorne 003F,E07000213,Spelthorne,4,-2.61,-4.35,2.23,12.5,9.92,2.47,-5.3,5.68,0,4.61,11.97,5.6,1.02,-13.54,4.63,20.83,8.15
E01030716,Spelthorne 003G,E07000213,Spelthorne,2.43,1.66,3.57,0,6.06,2.56,1.55,-7.87,4.82,-1.52,7.83,6.62,3.29,12.28,2.35,1.6,4.27,-0.56
E01030717,Spelthorne 011A,E07000213,Spelthorne,1.61,8.75,-11.59,4.53,-0.67,2.09,2.82,1.56,-4.26,7.6,1.36,1.35,0.48,16.96,-17.7,1.5,-2.61,2.67
E01030718,Spelthorne 011B,E07000213,Spelthorne,-1.98,-9.47,-15.3,-1.67,2.91,11.63,-1.72,-6.72,-3.85,-6.69,2.16,12.26,-2.22,-12.31,-23.81,3.33,3.68,11.01
