LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01019256,Copeland 004A,E07000029,Copeland,-1.01,-14.68,-4.83,-11.8,11.2,16.60,1.1,-7.48,0,-8.61,8.16,18.58,-3.05,-21.62,-9.33,-14.84,14.53,14.93
E01019257,Copeland 007A,E07000029,Copeland,-1.35,-1.37,-10.98,-10.11,-0.3,14.69,-0.55,6.12,-9.2,-14.71,5.03,16.78,-2.14,-7.44,-12.99,-4.83,-5.26,12.87
E01019258,Copeland 007B,E07000029,Copeland,-1.83,1.59,-14,-14.32,5.04,12.38,0.26,10.78,-11.39,-15.95,3.65,19.23,-4.08,-9.2,-16.9,-12.66,6.67,5.66
E01019259,Copeland 008A,E07000029,Copeland,-0.96,6,-10.08,-3.33,-6.42,7.12,0.32,3.9,1.75,-4.22,-5.99,9.74,-2.23,8.22,-20.97,-2.44,-6.88,4.73
E01019260,Copeland 002A,E07000029,Copeland,-0.27,3.52,-12.99,-5.62,8.82,9.64,-2.19,2.74,-8.7,-11.91,10.69,12.22,1.83,4.55,-17.65,1.87,7.09,7.48
E01019261,Copeland 003A,E07000029,Copeland,8.78,-3.62,-1.94,7.19,9.69,32.84,8.69,-6.02,6.42,10.49,3.93,33.59,8.88,-0.72,-11.34,4.03,16.49,32.14
E01019262,Copeland 003B,E07000029,Copeland,2.47,-3.91,18.44,-6.5,5.33,20.43,1.92,-5.04,19.44,-12.69,7.45,35.24,3.04,-2.82,17.39,0.33,3.21,8.00
E01019263,Copeland 004B,E07000029,Copeland,-0.17,-0.47,-12.28,-1.87,10.96,1.49,1.65,4.46,-20.83,7.65,10.81,-0.97,-2.08,-5.83,-1.33,-10.94,11.11,4.08
E01019264,Copeland 004C,E07000029,Copeland,-1.01,-13.58,8.87,-12.46,8.31,21.01,-0.24,-12.9,12.38,-12.2,4.60,30.00,-1.76,-14.29,5.1,-12.7,12.58,14.29
E01019265,Copeland 004D,E07000029,Copeland,-0.62,-10.39,-3.01,-12.41,2.47,24.45,-4.01,-15.79,-2.17,-11.98,-8.06,27.45,3.11,-5.13,-4.05,-12.89,16.67,22.05
E01019266,Copeland 004E,E07000029,Copeland,-7.83,-18.5,-13.88,-18.18,16.28,7.51,-11.5,-30.58,-7.34,-23.21,16.54,1.90,-4.03,-4.72,-21,-13.17,16,12.96
E01019267,Copeland 004F,E07000029,Copeland,-4.7,-0.43,-2.96,-10.95,-0.78,-3.50,-2.28,2.52,-9.47,-9.41,-0.75,10.19,-6.94,-3.6,5.41,-12.39,-0.8,-11.80
E01019268,Copeland 001A,E07000029,Copeland,-3.09,-8.13,-29.32,-6.03,-2.7,15.07,-4.17,-5,-35.14,-10.91,-6.57,28.70,-2,-11.11,-22.03,-0.67,1.64,5.10
