LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01021237,Basildon 001A,E07000066,Basildon,-0.89,-2.05,-4.11,-1.59,-11.76,17.46,-4.44,-9.4,-10.53,-6.17,-11.54,19.47,2.6,5.59,2.86,3.29,-11.98,15.83
E01021238,Basildon 001B,E07000066,Basildon,-0.85,4.15,0.61,-5.59,-7.35,11.76,-2.68,7.75,-4.55,-8.7,-9.62,9.35,1.01,0,6.49,-2.55,-5.1,14.04
E01021239,Basildon 003A,E07000066,Basildon,1.39,-7.34,10.24,-8.47,6.8,13.92,3.91,-2.96,13.33,-5.02,17.27,5.22,-1.1,-12.1,6.58,-11.93,-1.76,22.30
E01021240,Basildon 003B,E07000066,Basildon,3.24,-4.17,-4.29,3.31,10.16,8.00,3.58,0.72,-2.5,-0.58,14.73,11.30,2.89,-9.6,-6.02,8.01,5.13,5.95
E01021241,Basildon 003C,E07000066,Basildon,8.54,3.53,6.7,8.03,5.71,19.62,6.3,5.13,8.18,6.3,0.84,12.15,10.57,1.92,5.05,9.57,10.32,24.68
E01021242,Basildon 001C,E07000066,Basildon,2.6,2.93,-3.95,-1.62,-10.1,38.67,0.93,7,4.05,-7.56,-9.52,27.84,4.33,-0.95,-11.54,4.83,-10.67,51.19
E01021243,Basildon 003D,E07000066,Basildon,-0.06,-8.36,4.74,-4.67,2.81,12.73,-0.9,-11.24,8.57,-10.46,11.86,11.76,0.84,-4.51,0,1.37,-6.15,13.51
E01021244,Basildon 004A,E07000066,Basildon,3.69,7.08,0,1.62,-4.92,11.23,4.51,8.94,4.92,1.88,-4.62,11.80,2.9,4.85,-5.66,1.36,-5.22,10.80
E01021245,Basildon 002A,E07000066,Basildon,2.64,-6.14,5.88,-0.38,17.86,1.74,4.74,-3.4,1.19,2.34,21.19,6.59,0.77,-8.9,10.47,-2.92,14.93,-1.44
E01021246,Basildon 002B,E07000066,Basildon,0.61,-1.23,-7.32,2.86,2.29,0.28,0.56,-3.2,-10.94,1.17,7.09,2.19,0.66,0.85,-3.39,4.72,-2.22,-0.93
