LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
W01001694,Cardiff 036A,W06000015,Cardiff,7.27,10.68,-3.54,10.06,15.49,-6.47,6.67,8.45,-8.17,12.55,7.30,0.00,7.99,13.07,2.52,6.97,28.09,-11.84
W01001695,Cardiff 036B,W06000015,Cardiff,15.97,34.9,17.72,8.04,9.94,7.95,17.78,42.37,21.8,8.86,2.38,18.60,14.02,26.83,14.53,6.95,27.27,-2.22
W01001696,Cardiff 036C,W06000015,Cardiff,7.83,10.54,9.59,3.83,22.82,-4.69,4.95,3.59,9.42,4.99,11.86,-14.06,11.13,18.49,9.77,2.47,37.5,4.69
W01001697,Cardiff 036D,W06000015,Cardiff,3.5,35.1,-13.23,-4.18,20.47,0.61,4.23,53.1,-12.8,-4.62,13.16,1.43,2.72,19.7,-13.64,-3.64,28.71,0.00
W01001698,Cardiff 036E,W06000015,Cardiff,7.33,7.74,-6.97,13.51,5.09,7.46,4.22,13.51,-14.12,6.13,2.34,18.18,11.14,2.01,-0.99,24.79,9.09,-2.94
W01001699,Cardiff 049A,W06000015,Cardiff,14.62,23.53,-1.58,15.75,40.63,-4.32,14.61,29.06,-3.81,13.44,55.26,-10.97,14.64,17.55,1.18,19.14,25.45,4.07
W01001702,Cardiff 045A,W06000015,Cardiff,1.62,-1.72,-6.23,-2.87,14.74,16.58,2.16,-4.1,-3.7,1.24,7.50,21.18,1.12,0.47,-9.09,-6.42,22.37,12.75
W01001703,Cardiff 045B,W06000015,Cardiff,0.52,1.65,-1.89,-3.62,-1.3,18.98,-2.35,-10.18,-7.5,0.89,-2.75,18.64,3.43,16.18,5.43,-7.79,0,19.23
W01001704,Cardiff 041A,W06000015,Cardiff,8,10.51,-1.71,12.38,13.64,-1.02,10.26,5.75,6.92,18.86,9.82,4.76,6.01,15.84,-8.64,7.41,17.59,-5.31
W01001705,Cardiff 045C,W06000015,Cardiff,2.63,10.55,7.63,-3.12,8.72,-8.44,1.63,7.34,3.85,-6.23,17.14,-9.28,3.62,14.07,11.76,0,1.27,-7.81
W01001706,Cardiff 041B,W06000015,Cardiff,4.83,5.8,2.3,2.78,4.62,10.33,6.5,4,3.41,3.35,5.13,22.09,3.32,7.48,1.16,2.25,4.13,2.36
W01001707,Cardiff 041C,W06000015,Cardiff,1.96,2.25,-3.48,-2.99,10.9,11.72,2.88,1.88,0.58,-2.91,8.86,20.00,1.09,2.61,-8.39,-3.07,12.88,5.76
W01001708,Cardiff 045D,W06000015,Cardiff,6.2,2.4,-7.23,5.65,-1.72,41.67,7.24,7.14,-9.57,4.7,-1.31,53.41,5.13,-2.41,-5.22,6.79,-2.19,32.76
W01001709,Cardiff 040A,W06000015,Cardiff,4.61,-7.89,4,2.7,15.82,20.33,4.06,-11.4,14.05,-0.69,17.75,26.09,5.16,-4.5,-5.43,6.58,13.86,16.81
W01001710,Cardiff 040B,W06000015,Cardiff,10.88,21.28,1.01,10.78,7.01,10.90,7.05,14.47,1.98,3.96,13.64,4.81,15.21,28.47,0,19.93,0.72,16.82
W01001711,Cardiff 040C,W06000015,Cardiff,13.18,25.98,13.45,14.7,9.06,0.00,9.04,20.47,24.36,6.02,6.99,-5.04,17.28,31.88,4.3,23.78,11.28,4.19
W01001712,Cardiff 040D,W06000015,Cardiff,1.17,-0.97,2.56,-3.03,10.75,8.29,2.79,1.08,19.61,-3.01,11.58,10.53,-0.26,-2.63,-10.61,-3.05,9.89,7.09
W01001713,Cardiff 040E,W06000015,Cardiff,0.29,3.77,-14.07,0.37,5.06,2.87,-3.49,-4.46,-23,0,-2.68,2.15,4.42,11.8,-5.05,0.77,15.74,3.70
