LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01030559,Reigate and Banstead 002A,E07000211,Reigate and Banstead,3.89,6.88,11.11,0,-13.29,16.49,2.6,16.25,-21.54,3.38,-13.04,19.73,4.98,0,73.53,-3.18,-13.51,14.47
E01030560,Reigate and Banstead 002B,E07000211,Reigate and Banstead,4.07,10.55,3.88,3.89,-1.84,4.94,2.35,6.19,2.13,0.48,1.65,3.05,5.36,14.71,5.36,7.05,-4.64,5.90
E01030561,Reigate and Banstead 002C,E07000211,Reigate and Banstead,3.91,11.11,0.98,-0.29,3.79,5.18,5,16.25,6.25,-5.36,12.50,4.27,3.1,6.1,-3.7,4.57,-3.47,5.64
E01030562,Reigate and Banstead 002D,E07000211,Reigate and Banstead,-0.08,1.38,-7.53,-5.96,4.26,12.89,2.2,21.1,-10.45,-7.59,-1.77,20.78,-2.08,-18.35,-5.06,-4.47,9.84,7.69
E01030563,Reigate and Banstead 002E,E07000211,Reigate and Banstead,-2.59,-18.22,9.6,-13.04,5.62,21.00,-3.05,-23.02,6.15,-13.54,5.59,30.11,-2.1,-13.22,13.33,-12.5,5.65,13.08
E01030564,Reigate and Banstead 002F,E07000211,Reigate and Banstead,-0.97,-7.21,-3.09,-9.09,7.47,14.66,-2.79,-13.86,-6.52,-6.94,4.38,16.82,0.83,0.72,1.43,-10.98,10.42,12.80
E01030565,Reigate and Banstead 004A,E07000211,Reigate and Banstead,3.18,-6.06,-0.67,1.52,2.17,13.87,3.35,-18.4,12.68,0,7.79,14.77,3.02,8.49,-12.82,2.91,-2.96,12.94
E01030566,Reigate and Banstead 004B,E07000211,Reigate and Banstead,0.46,-1.25,3.09,-9.81,12.89,17.22,-0.14,-1.35,5.06,-14.57,25.83,10.99,1.04,-1.16,1.2,-4.84,1.47,23.60
E01030567,Reigate and Banstead 004C,E07000211,Reigate and Banstead,4.49,-1.56,6.58,-4.91,5.4,21.07,3.03,0,-4.76,-8.76,10.47,20.41,5.94,-2.92,20.59,-0.46,0.51,21.64
E01030568,Reigate and Banstead 004D,E07000211,Reigate and Banstead,3.04,2.63,12.8,-4.66,5.92,7.30,4.16,12.4,6.82,-3.72,4.02,8.76,1.88,-6.57,19.74,-5.65,7.93,5.84
E01030569,Reigate and Banstead 004E,E07000211,Reigate and Banstead,4.35,-1.7,3.47,-2.66,23.65,25.49,4.41,-3.8,8.61,-4.37,22.00,35.00,4.3,0.3,-2.19,-1.06,25.4,16.35
E01030570,Reigate and Banstead 014A,E07000211,Reigate and Banstead,6.73,13.38,-7.73,9.43,1.65,9.84,7.28,12.68,-10.23,9.49,-4.55,25.96,6.19,14.08,-5.38,9.36,8.05,-2.14
E01030571,Reigate and Banstead 014B,E07000211,Reigate and Banstead,2.75,-11.46,14.88,2.62,-2.76,22.17,2.89,-12.14,20.48,1.08,0.63,22.33,2.61,-10.64,9.41,4.3,-6.02,22.03
