LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01012571,Blackburn with Darwen 007A,E06000008,Blackburn with Darwen,14.33,10.29,11.65,13.89,35.67,6.98,14.08,11.71,16.15,10.45,36.36,-6.06,14.6,8.89,6.72,17.79,34.78,15.09
E01012572,Blackburn with Darwen 007B,E06000008,Blackburn with Darwen,0.44,-3.93,-2.33,0.35,4.59,13.97,-2.37,-5.12,-11.94,-2.65,7.87,14.75,3.27,-2.75,8.06,3.68,1.87,13.33
E01012573,Blackburn with Darwen 007C,E06000008,Blackburn with Darwen,-2.18,-11.86,-3.76,-0.74,17.44,11.43,-0.94,-10.37,0,0,18.56,9.09,-3.46,-13.4,-7.74,-1.56,16.33,13.11
E01012574,Blackburn with Darwen 003A,E06000008,Blackburn with Darwen,2.92,1.62,20.23,-1.32,4.86,-1.74,3.05,-1.02,34.57,-6.03,10.53,-2.70,2.77,4.62,7.61,3.59,-1.75,-0.84
E01012575,Blackburn with Darwen 007D,E06000008,Blackburn with Darwen,-3.74,-14.53,0,-3.55,0.42,3.89,-4.05,-9.09,0,-5.02,-6.98,7.79,-3.42,-19.11,0,-1.89,9.17,0.97
E01012576,Blackburn with Darwen 008A,E06000008,Blackburn with Darwen,6.98,9.79,11.65,0.76,18.36,2.67,12.25,23.23,32.99,-5.12,15.70,22.58,1.61,-1.65,-7.34,8.05,22.09,-11.36
E01012577,Blackburn with Darwen 003B,E06000008,Blackburn with Darwen,1.35,-13,8.67,7.42,6.97,20.00,1.29,-13.03,7.56,7.32,11.34,11.32,1.42,-12.98,9.93,7.51,2.88,29.79
E01012578,Blackburn with Darwen 003C,E06000008,Blackburn with Darwen,-0.61,-9.29,-4.53,-0.25,28.84,1.74,-1.62,-6.83,-8.8,-2.6,33.03,-5.97,0.49,-11.48,1.26,2.34,24.53,12.50
E01012579,Blackburn with Darwen 004A,E06000008,Blackburn with Darwen,4.81,4.76,-1.8,8.96,7.96,-3.01,3.75,5.38,-4.84,4.57,5.13,18.87,5.95,4.13,2.03,13.99,11.01,-17.50
E01012580,Blackburn with Darwen 004B,E06000008,Blackburn with Darwen,-0.13,-3.13,-12.2,4.02,0.64,24.80,-2.75,-7.85,-8.17,-1.06,-4.64,36.67,2.69,1.83,-16.34,10.08,5.62,13.85
E01012581,Blackburn with Darwen 002A,E06000008,Blackburn with Darwen,2.93,33.15,-17.36,0.28,-6.5,4.71,0.16,29.21,-27.78,-3.19,-8.45,10.92,5.8,36.84,-2.04,4.09,-4.44,-0.74
E01012582,Blackburn with Darwen 002B,E06000008,Blackburn with Darwen,-0.73,0.59,-16.88,1.69,-6.3,21.20,-0.24,3.07,-11.76,-0.74,-6.90,21.43,-1.22,-1.7,-22.03,4.2,-5.71,20.93
