LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
W01000624,Carmarthenshire 005A,W06000010,Carmarthenshire,2.21,-15.11,13.64,-4.21,10.3,9.42,1.41,-13.57,12.82,-5.4,10.04,7.87,3.02,-16.97,14.56,-3.07,10.55,10.83
W01000625,Carmarthenshire 013A,W06000010,Carmarthenshire,-2.27,-9.96,0,-9.09,18,-2.21,-0.86,-7.32,-1.23,-8.02,24.00,-4.55,-3.59,-12.96,1.45,-10.1,12,-0.72
W01000626,Carmarthenshire 013B,W06000010,Carmarthenshire,5.1,-3.78,16.86,6.42,5.76,3.17,5.95,-0.77,7.53,4.7,6.04,13.43,4.24,-7.41,27.85,8.42,5.43,-3.29
W01000627,Carmarthenshire 013C,W06000010,Carmarthenshire,7.46,8.03,-2.1,8.51,-1.2,19.07,8.07,4.57,14.04,5.62,0.00,20.83,6.9,11.64,-16.94,11.24,-2.35,17.65
W01000628,Carmarthenshire 024A,W06000010,Carmarthenshire,0.06,3.33,0.61,-4.86,-6.75,10.57,-1.59,-0.87,7.32,-9.09,-3.97,7.79,1.62,7.2,-6.1,-0.41,-9.38,12.76
W01000629,Carmarthenshire 024B,W06000010,Carmarthenshire,-1.61,-2.03,3.96,-8.07,6.16,0.65,-0.24,1.32,7.69,-8.75,4.38,6.20,-2.92,-5.59,0,-7.38,7.91,-3.35
W01000630,Carmarthenshire 024C,W06000010,Carmarthenshire,-3.78,-4.38,0,-12.12,7.82,-0.43,-4.59,-6.49,2.04,-13.36,4.73,1.87,-2.96,-2.1,-2.47,-10.92,10.96,-2.42
W01000631,Carmarthenshire 024D,W06000010,Carmarthenshire,0.44,3.87,-9.16,2.95,-5.28,6.10,0,8.11,-13.95,2.09,-7.64,6.67,0.86,-0.56,-4.1,3.79,-3.26,5.62
W01000632,Carmarthenshire 021A,W06000010,Carmarthenshire,0.48,-7.17,6.75,-4.34,3.26,9.25,0.14,-10.27,-5.26,0.44,6.20,9.30,0.83,-3.36,23.53,-8.97,0.68,9.21
W01000633,Carmarthenshire 021B,W06000010,Carmarthenshire,-0.84,2.15,-9.52,2.99,-3.38,-0.53,0.28,-6.67,-10,2.9,-2.65,10.32,-1.95,13.58,-8.97,3.08,-4.14,-8.18
W01000634,Carmarthenshire 021C,W06000010,Carmarthenshire,-2.74,8.02,-22.9,-10,-11.49,10.76,-4.25,19.51,-28.36,-14.13,-12.12,7.37,-1.28,-3.75,-17.19,-5.42,-10.98,13.97
W01000635,Carmarthenshire 025A,W06000010,Carmarthenshire,5.3,1.19,10.39,-2.82,16.93,13.88,4.98,-1.37,10.26,-4.04,16.67,20.15,5.62,3.98,10.53,-1.67,17.2,9.29
W01000636,Carmarthenshire 025B,W06000010,Carmarthenshire,-1.98,2.42,-3.86,-4.92,-6.42,4.42,-1.47,-2.72,3.48,-3.21,-9.76,9.35,-2.45,8.84,-11.02,-6.47,-3.07,1.00
W01000637,Carmarthenshire 007A,W06000010,Carmarthenshire,-1.51,-4.23,3.7,-6.9,1.87,5.20,-2.01,-7.53,1.3,-4.26,-9.16,16.67,-1.05,-0.72,5.88,-9.3,12.5,-3.52
W01000638,Carmarthenshire 007B,W06000010,Carmarthenshire,-3.44,-0.7,-17.03,-7.01,4.66,9.09,-4.98,-7.95,-4.44,-8.26,4.21,-1.47,-1.84,7.41,-29.35,-5.71,5.1,20.31
W01000639,Carmarthenshire 007C,W06000010,Carmarthenshire,4.39,8.33,-3.59,3.41,7.55,5.58,6.53,7.08,-1.05,9.95,3.08,10.10,2.4,9.71,-6,-3.2,11.85,2.63
W01000640,Carmarthenshire 007D,W06000010,Carmarthenshire,2.83,5.44,-11.21,0,-1.06,14.84,2.77,10.67,-9.62,-1.66,-2.19,14.39,2.88,0,-12.5,1.56,0,15.23
W01000641,Carmarthenshire 008A,W06000010,Carmarthenshire,-4.12,-2.9,-7.72,-0.99,-11.76,-1.49,-2.92,-10.28,-10.74,-1.44,-5.62,6.47,-5.28,5,-5.3,-0.34,-17.88,-6.00
W01000642,Carmarthenshire 008B,W06000010,Carmarthenshire,1.44,0,4.82,3.79,-10.65,9.05,2.67,0.96,-3.53,2.18,-10.75,20.77,0.34,-0.81,13.58,5.45,-10.55,0.77
W01000643,Carmarthenshire 006A,W06000010,Carmarthenshire,1,0.58,5.46,-1.67,8.43,-3.32,4.39,6.4,12.94,1.16,12.61,-6.03,-2,-5.14,-1.02,-4.3,4.93,-1.29
W01000644,Carmarthenshire 006B,W06000010,Carmarthenshire,-12.72,-10.38,-24.02,-7.85,2.53,9.94,-15,-13.7,-30.39,-6.32,-5.15,17.72,-10.83,-6.99,-19.44,-9.22,9.9,3.92
W01000645,Carmarthenshire 006C,W06000010,Carmarthenshire,18.87,36.58,20.19,23.06,11.48,-1.33,21.34,55.17,28.74,14.44,6.15,7.50,16.67,18.95,14.29,31.65,17.54,-7.18
W01000646,Carmarthenshire 003A,W06000010,Carmarthenshire,-2.72,-9.42,-6.61,-5.04,-12.16,15.61,-2.81,-7.36,-18.7,-2.33,-13.25,19.40,-2.64,-11.45,7.69,-7.8,-11.11,12.41
