LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01022794,Gosport 009A,E07000088,Gosport,4.39,5.7,2.29,-6.85,4.13,15.29,1.1,7.5,1.39,-14.63,-9.94,26.04,7.57,3.7,3.39,1.59,18.83,7.82
E01022795,Gosport 009B,E07000088,Gosport,6.77,12,17.07,3.23,3.54,7.59,6.26,24.49,6.56,-5.08,9.52,7.98,7.29,0,27.42,13.13,-2.34,7.22
E01022796,Gosport 009C,E07000088,Gosport,4.09,12.34,40.54,-5.19,2.67,1.85,3.17,16.25,20,-6.52,4.80,-0.49,4.94,8.11,83.33,-3.79,0.73,3.56
E01022797,Gosport 010A,E07000088,Gosport,-1,9.16,-7.41,-9.42,-2.76,7.02,-1.28,16.18,-11.54,-11.61,-9.63,13.97,-0.72,1.59,-3.57,-7.19,5.04,1.23
E01022798,Gosport 010B,E07000088,Gosport,0.08,0.75,-15.67,-7.78,4.76,13.46,3.28,19.35,-1.35,-4.55,4.64,8.80,-3.32,-15.28,-33.33,-11.73,4.9,17.78
E01022799,Gosport 010C,E07000088,Gosport,1.6,7.23,-8.66,-13.99,4.49,16.62,4.55,7.32,0,-12.68,3.66,30.77,-1.12,7.14,-18.03,-15.47,5.29,7.34
E01022800,Gosport 001A,E07000088,Gosport,-0.42,-0.68,-15.83,-3.2,-1.21,20.85,1.81,6.67,-15.91,-3.41,0.63,30.28,-2.66,-9.92,-15.74,-2.99,-2.94,14.00
E01022801,Gosport 001B,E07000088,Gosport,2.72,-1.11,-7.54,-2.6,5.9,22.18,3.1,-5.59,7.07,-4.71,2.60,34.78,2.36,3.94,-22,-0.41,9.7,14.74
E01022802,Gosport 001C,E07000088,Gosport,0.25,10.84,-8.23,-8.3,-13.98,33.08,-2.76,18.33,-12.64,-14.59,-13.41,24.43,3.33,3.88,-2.82,-1.2,-14.5,41.67
E01022803,Gosport 001D,E07000088,Gosport,0.74,-14.09,-2.31,-6.13,22.62,17.11,-0.87,-14.97,-6.98,-3.91,13.08,21.11,2.31,-13.25,2.29,-8.57,32.79,14.49
E01022804,Gosport 002A,E07000088,Gosport,-3.55,-14.1,-8.42,-8.3,-5.34,17.49,-6.84,-25,-23.21,-6.34,-6.15,20.45,-0.13,-3.48,12.82,-10.62,-4.55,15.20
E01022805,Gosport 002B,E07000088,Gosport,-1.5,-3.19,2.29,-9.57,5.12,4.02,-2.82,-3.13,-1.54,-12.39,4.20,5.71,-0.26,-3.25,6.06,-6.78,6,2.73
E01022806,Gosport 007A,E07000088,Gosport,2.8,0.81,-8.89,-3.09,13.49,15.45,2.62,4.92,-19.39,-5.8,24.43,16.33,2.99,-3.23,3.66,0,1.65,14.81
E01022807,Gosport 005A,E07000088,Gosport,-1.42,2.49,-8.76,-11.67,11.21,18.27,-2.61,2.44,-6.25,-12.88,-0.90,36.99,-0.27,2.54,-11.22,-10.31,24.27,8.15
E01022810,Gosport 008A,E07000088,Gosport,-2.84,-15.15,-18.87,-11.07,22.53,10.53,-5.49,-17.83,-16.81,-15.6,23.48,9.45,0,-11.76,-21.21,-5.58,21.49,11.30
E01022811,Gosport 008B,E07000088,Gosport,16.61,12.23,13.22,10.8,35.5,27.00,17.97,7.62,8.72,15.53,32.56,40.43,15.2,16.91,17.81,6.02,39.26,15.09
E01022812,Gosport 010D,E07000088,Gosport,-0.81,-9.3,-10.43,-0.66,6.5,9.33,-3.72,-5.71,-13.25,-6.75,6.45,2.90,2.12,-12.73,-7.5,5.91,6.56,14.81
E01022813,Gosport 003A,E07000088,Gosport,-1.52,-1.96,-8.52,-5.49,2.16,9.55,-3.62,-6.34,-11.11,-0.86,-10.53,12.77,0.75,3.54,-5.19,-9.92,17.46,6.67
E01022814,Gosport 003B,E07000088,Gosport,1.64,1.52,-3.96,-1.08,0.89,11.49,0.5,3.73,-1.92,-5.38,-2.98,17.50,2.72,-0.78,-6.12,3.27,4.76,7.39
E01022815,Gosport 003C,E07000088,Gosport,2.4,-3.1,0.54,-3.7,7.07,15.06,4.06,7.5,-7.22,-1.72,3.59,21.31,0.79,-12.32,8.99,-5.51,11.11,9.49
E01022816,Gosport 005B,E07000088,Gosport,-0.14,4.98,-9.05,-10.8,9.19,22.49,0.53,9.23,-7.69,-10.65,8.61,22.78,-0.83,0.76,-10.53,-10.95,9.85,22.22
E01022817,Gosport 005C,E07000088,Gosport,-0.34,-4.08,-11.11,-1.73,4.11,18.18,-1.91,0.51,-29.61,-2.23,6.21,31.65,1.28,-9.41,17,-1.25,2.04,9.24
E01022818,Gosport 005D,E07000088,Gosport,3.42,5.72,8.12,-1.91,-2.83,17.26,4.71,15.6,11,-3.69,7.96,2.06,2.17,-3.21,5.15,0,-11.94,32.00
E01022819,Gosport 004A,E07000088,Gosport,3.79,-2.31,10.62,-1.8,10.87,43.75,4.46,-5.02,16.35,-1.18,21.30,28.95,3.13,0.47,5.74,-2.42,1.64,57.14
E01022820,Gosport 004B,E07000088,Gosport,1.31,-5.18,0.35,-1.9,25.81,100.00,4.31,-1.19,12.21,1.16,9.88,136.36,-1.63,-9.89,-9.55,-4.62,43.24,77.78
E01022823,Gosport 003D,E07000088,Gosport,-2.91,0.43,-20.71,-7.57,-6.03,22.18,-4.79,1.82,-27.36,-2.66,-21.98,33.04,-1.04,-0.8,-13.04,-12.7,11.45,13.24
E01022824,Gosport 005E,E07000088,Gosport,2.09,-5.92,-8.31,-7,24.75,36.96,3.57,-6.91,-3.68,-5.79,25.11,42.99,0.56,-4.85,-12.64,-8.26,24.32,31.71
E01022825,Gosport 003E,E07000088,Gosport,-0.14,-9.31,-5.29,-5.91,8.4,19.90,-2.84,-13.64,-14.94,-9.35,6.43,26.21,2.79,-4.35,4.82,-2.28,10.66,13.27
E01022826,Gosport 006A,E07000088,Gosport,0.65,2.37,-11.49,-10.56,-0.77,30.22,0.52,-3.6,-7.37,-5.58,-4.28,29.37,0.78,9,-16.46,-15.54,2.48,30.99
E01022828,Gosport 006C,E07000088,Gosport,1.99,2.3,4,-6.32,-0.85,6.29,4.59,-15.91,4.65,0,-4.07,16.29,-0.15,20.93,3.13,-13.56,2.68,0.52
E01022829,Gosport 006D,E07000088,Gosport,3.32,4.66,3.25,-7.63,-3.32,18.75,2.07,1.48,-12.79,-12.16,-1.48,29.96,4.52,8.64,23.53,-2.85,-5.02,11.11
E01022830,Gosport 006E,E07000088,Gosport,1.37,6.41,-7.83,0,-17.63,20.78,0.6,14.67,-5.17,-6.17,-17.32,19.07,2.1,-1.23,-10.53,6.21,-17.91,22.33
E01022831,Gosport 010E,E07000088,Gosport,-2.33,-21.67,-0.55,-4.38,9.85,6.00,-4.37,-31.85,2.04,-6.81,12.12,9.17,-0.28,-8.57,-3.61,-2.05,7.58,3.55
E01022832,Gosport 007D,E07000088,Gosport,5.39,4.08,9.34,-0.16,14.58,8.19,4.46,-2.08,11.7,1.37,18.67,-3.75,6.34,11.92,6.82,-1.56,10.14,18.68
E01022833,Gosport 008C,E07000088,Gosport,-1.35,-8.67,-17.24,0,12.62,7.69,5.13,-10.29,4.17,5.61,10.06,36.99,-7.68,-6.67,-35.46,-5.47,15.49,-9.84
E01022834,Gosport 002C,E07000088,Gosport,2.14,1.27,0.82,1.8,-5.59,10.00,3.37,-8.51,26.23,1.15,-10.24,18.35,0.92,15.63,-24.59,2.5,-0.64,3.77
E01022835,Gosport 002D,E07000088,Gosport,4.57,10.88,-5.91,-1.08,10.44,11.20,5.42,13.59,1.19,-4.96,11.64,15.74,3.74,7.78,-11.76,3.2,9.27,7.52
E01022836,Gosport 001E,E07000088,Gosport,-0.69,-5.92,-7.24,-8.13,-9.35,14.68,-2.12,-13.7,-6.9,-2.55,-16.00,15.21,0.68,1.27,-7.69,-13.5,-2.81,14.23
E01022837,Gosport 009D,E07000088,Gosport,0.68,3.98,-8.5,-3.14,-2.43,9.72,-0.62,-4.1,-10.17,0,5.66,1.58,1.97,13.46,-6.1,-6.25,-10,16.38
E01022838,Gosport 009E,E07000088,Gosport,1.02,-4.78,6.21,-4.22,1.82,7.28,-0.33,-3.13,2.78,-7.01,1.45,5.76,2.22,-6.19,9.59,-1.71,2.19,8.47
E01022839,Gosport 007E,E07000088,Gosport,2.14,6.21,-0.6,-5.61,12.76,4.33,2.22,12.64,-8.05,-3.86,9.27,7.69,2.05,-1.35,7.41,-7.66,16.55,1.71
E01022840,Gosport 002E,E07000088,Gosport,0.94,2.13,-7.28,-1.6,-3.24,22.22,3.27,19.4,-3.57,-1.31,-8.28,24.42,-1.39,-13.51,-11.7,-1.95,1.09,20.54
E01022841,Gosport 004E,E07000088,Gosport,8.27,1,-1.47,5.17,27.05,18.14,10.39,5.48,9.62,7.45,16.36,22.50,6.24,-3.27,-13,2.87,39.18,15.32
E01022842,Gosport 004F,E07000088,Gosport,-0.36,0.63,-7.42,0.32,-6.45,11.46,-0.94,-8.42,-4.31,4.32,-1.11,11.11,0.24,12.68,-10.62,-3.43,-11.46,11.76
E01022843,Gosport 008D,E07000088,Gosport,4.41,14.63,-13.94,10.31,3.92,-2.69,8.18,14.29,-5.88,10.39,11.38,4.04,1.02,15.04,-21.7,10.24,-3.03,-6.83
E01022845,Gosport 010F,E07000088,Gosport,-1.21,-14.8,-16.83,-2.38,9.54,14.40,-0.47,-9.28,-13.4,-8.15,21.55,12.75,-1.85,-19.05,-20,3.48,0,15.54
E01032878,Gosport 008F,E07000088,Gosport,2.51,-4.4,-19.57,5.56,18.24,17.12,4.96,-5,-5.48,-2.65,52.24,6.90,0,-3.8,-28.83,16.47,-9.88,28.30
E01032879,Gosport 008G,E07000088,Gosport,2.76,21.11,-18.71,2.54,-3.24,12.54,5.72,19.61,-14.08,6.57,-5.43,21.09,-0.36,23.08,-23.53,-2.56,-0.85,5.99
E01032880,Gosport 006F,E07000088,Gosport,2.96,-9.19,3.87,-7.93,12.12,72.65,3.48,-12.36,16.22,-8.55,15.74,65.57,2.48,-6.08,-7.41,-7.34,8.94,80.36
E01032881,Gosport 006G,E07000088,Gosport,0.47,-7.11,5,-8.8,16.75,80.00,-0.12,-5.47,0,-11.7,21.43,87.50,1.06,-9.05,10,-6.14,12.38,73.33
E01032882,Gosport 004G,E07000088,Gosport,30.47,29.28,17.61,28.91,56.4,39.76,25.28,28.44,1.8,24.36,57.01,21.74,35.53,30.21,33.33,32.7,55.77,62.16
E01032883,Gosport 006H,E07000088,Gosport,3.56,-1.79,-26.14,-0.53,10.61,20.06,3.14,-11.03,-13.75,-2.22,8.82,28.47,3.96,12.5,-39.73,1,12.5,14.06
E01032884,Gosport 007F,E07000088,Gosport,7.18,13.01,0.25,10,-2.02,12.27,10.92,10.32,3.79,14.8,1.40,17.82,1.53,16.06,-8.62,-0.61,-5.19,7.56
