LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01006074,Trafford 025A,E08000009,Trafford,4.77,18.71,-22.63,5.69,21.59,-5.41,7.63,32.09,-30.85,10.34,21.62,-6.72,2.2,7.5,-14.58,1.13,21.55,-4.44
E01006075,Trafford 025B,E08000009,Trafford,7.89,14.84,-3.29,8.04,19.34,-2.26,9.45,9.94,5.33,5.54,22.70,5.96,6.31,20.86,-11.69,11.07,15.49,-7.29
E01006076,Trafford 025C,E08000009,Trafford,3.24,8.46,6.31,-1.81,11.86,0.00,5.28,12.75,8.62,3.29,16.00,-3.85,1.34,4.04,3.77,-6.52,7.59,3.09
E01006077,Trafford 027A,E08000009,Trafford,5.87,17.5,-3.76,-1.55,11.62,13.23,6.15,4.96,-4.76,-2.51,15.67,30.53,5.61,30.25,-2.86,-0.61,6.54,3.09
E01006078,Trafford 024A,E08000009,Trafford,8.19,26.79,-2.7,3.96,16.13,0.00,7.08,18.62,1.37,0,23.02,4.40,9.32,36.67,-6.67,8.11,9.02,-3.23
E01006079,Trafford 025D,E08000009,Trafford,8.8,19.2,-7.11,1.52,14.96,21.74,8.93,21.34,-12.61,3.06,14.97,21.30,8.67,16.98,-1.75,0,14.94,22.07
E01006080,Trafford 024B,E08000009,Trafford,5.82,16.56,-12.66,-2.29,-0.99,37.80,5.54,15.69,-2.67,-3.16,-3.85,43.52,6.1,17.45,-21.69,-1.33,2.03,33.56
E01006081,Trafford 027B,E08000009,Trafford,1.65,-5.24,-9.09,-3.64,3.26,18.18,3.04,12.69,-21.62,-7.39,5.29,17.52,0.29,-23.31,4.35,0,1.2,18.79
E01006082,Trafford 027C,E08000009,Trafford,1.4,0.4,1.92,-4.99,1.64,10.17,2.7,-4.72,1.22,-0.45,1.66,14.46,0.13,5.79,2.7,-9.17,1.62,6.18
E01006083,Trafford 026A,E08000009,Trafford,-3.03,-16.29,5.33,-12.99,2.67,20.36,-3.68,-12.82,0,-9.18,-5.63,20.19,-2.35,-19.87,13.33,-16.51,12.14,20.51
E01006084,Trafford 026B,E08000009,Trafford,3.34,7.58,-11.76,-4.7,17.49,6.13,4.77,9.77,-7.69,-2.69,13.64,10.26,1.97,5.49,-15.63,-6.62,21.56,2.78
E01006085,Trafford 027D,E08000009,Trafford,2.31,4.35,-10.66,-3.61,4.02,13.02,0.94,3.25,-3.64,-7.14,2.52,14.17,3.58,5.52,-16.42,0,5.49,12.23
E01006086,Trafford 027E,E08000009,Trafford,1.95,2.52,1.67,-0.19,7.1,0.00,2.6,1.31,11.34,0.83,6.43,-3.40,1.36,3.64,-9.64,-1.08,7.84,2.48
E01006087,Trafford 025E,E08000009,Trafford,2.4,-5.36,6.79,1.91,-1.4,11.88,3.37,4.13,6.59,2.44,-2.87,9.27,1.45,-13.57,7.04,1.4,0,14.47
E01006088,Trafford 026C,E08000009,Trafford,5.26,4.3,-9.38,4.41,20.16,0.00,5.11,-5.11,-5.88,6.37,22.66,3.90,5.41,13.87,-13.33,2.49,17.5,-2.91
E01006089,Trafford 024C,E08000009,Trafford,17.42,36.33,12.59,13.36,14.04,13.81,13.4,19.7,4.17,12.42,14.88,12.82,21.44,55.75,21.13,14.29,13.16,14.56
E01006090,Trafford 020A,E08000009,Trafford,8.08,11.26,-9.09,1.03,4.56,47.44,7.85,16.34,-11.88,5.18,4.12,30.28,8.31,6.04,-6.19,-3.08,5.03,62.40
E01006091,Trafford 019A,E08000009,Trafford,27.33,45.47,21.39,15.25,32.76,62.81,26.19,47.37,22.22,12.84,29.50,64.81,28.45,43.42,20.59,17.67,35.71,61.19
E01006092,Trafford 019B,E08000009,Trafford,1.27,0.32,-5.33,-2.15,7.07,24.76,1.95,11.03,-12.28,-3.49,10.00,20.83,0.7,-9.15,1.8,-1.06,4.81,28.07
E01006093,Trafford 023A,E08000009,Trafford,0.19,-1.66,-9.09,-6.72,-0.35,30.33,2.86,2.65,-11.96,-0.72,-2.68,36.08,-2.41,-5.96,-5.95,-12.29,2.17,25.44
E01006094,Trafford 020B,E08000009,Trafford,4.1,13.29,9.09,2.66,-8.55,9.96,7.3,16,10.67,4.56,-6.63,19.01,1.02,10.29,7.35,0.81,-10.4,3.13
E01006095,Trafford 019C,E08000009,Trafford,2.94,5.02,-10.76,1.11,0.63,18.72,3.73,4.64,-4.71,3.61,1.99,11.50,2.14,5.47,-17.81,-1.23,-0.61,26.42
E01006096,Trafford 020C,E08000009,Trafford,7.08,11.18,-3.68,9.01,-1.08,15.51,7.29,11.25,0,9.79,-6.16,21.84,6.86,11.11,-8.11,8.21,4.51,10.00
E01006097,Trafford 015A,E08000009,Trafford,5.63,18.86,-2.82,3.77,3.95,4.87,9.23,39.47,0,2.55,9.03,3.78,2.18,-1.75,-5.06,5.08,-1.34,5.75
E01006098,Trafford 014A,E08000009,Trafford,5.46,17.65,6.67,7,-0.38,-1.42,5.27,25.42,-11.86,5.24,0.00,0.00,5.65,8.74,30.43,8.82,-0.76,-2.63
E01006099,Trafford 014B,E08000009,Trafford,-1.35,-8.2,-3.97,-4.88,1.79,14.29,-3.11,-7.52,-20,-4.38,4.90,10.42,0.46,-9.01,16.07,-5.41,-0.83,17.76
