LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
W01001289,Merthyr Tydfil 006A,W06000024,Merthyr Tydfil,1.88,11.56,-12.92,1.09,-7.05,16.94,3.05,17.92,-11.11,2.63,-9.59,16.81,0.72,4.3,-14.77,-0.43,-4.61,17.05
W01001290,Merthyr Tydfil 007A,W06000024,Merthyr Tydfil,10.09,7.89,-4.04,15.56,8.44,16.11,7.28,8.74,-7.8,11.15,5.39,14.29,13.03,6.92,0,19.94,11.76,17.88
W01001291,Merthyr Tydfil 003A,W06000024,Merthyr Tydfil,10.89,14.67,-10.29,14.52,3.14,35.91,7.37,-0.5,-13.97,17.36,-0.54,48.65,14.37,32.54,-5.61,11.9,6.6,27.10
W01001292,Merthyr Tydfil 004A,W06000024,Merthyr Tydfil,1.14,16.31,-23.75,5.73,0.31,-2.79,0.34,11.68,-26.03,3.92,0.65,5.62,1.89,21.47,-21.57,7.45,0,-8.73
W01001293,Merthyr Tydfil 004B,W06000024,Merthyr Tydfil,6.77,5.53,-12.17,10.61,12.73,6.61,8.58,3.45,-8.33,13.26,6.92,18.57,4.99,8.33,-16.13,7.95,18.4,-2.07
W01001294,Merthyr Tydfil 003B,W06000024,Merthyr Tydfil,5.44,17.09,-15.85,0.97,-5.68,31.40,5.36,20.37,-19.39,-3.32,0.00,32.88,5.53,14.29,-11.76,5.67,-10.05,29.93
W01001295,Merthyr Tydfil 002A,W06000024,Merthyr Tydfil,-3.11,-14.23,-3.9,-4.42,4.47,3.24,-0.5,-7.63,-6.82,-0.74,2.76,10.40,-5.64,-20.28,0,-7.85,6.16,-2.61
W01001296,Merthyr Tydfil 002B,W06000024,Merthyr Tydfil,-3.2,-10.62,-15.08,-5.03,-9.61,31.97,-2.25,-12.5,-17.05,0,-12.69,36.59,-4.18,-8.53,-13.01,-10,-6.38,27.27
W01001297,Merthyr Tydfil 002C,W06000024,Merthyr Tydfil,-2.62,-7.06,-4.38,-8.12,10.82,7.31,-2.79,-5.38,-4.84,-6.57,2.47,10.89,-2.46,-8.93,-3.94,-9.74,20.28,4.24
W01001298,Merthyr Tydfil 002D,W06000024,Merthyr Tydfil,1.35,4.3,-10.61,5.67,3.54,-2.91,2.03,0,-7.2,9.87,0.63,-2.92,0.67,9.15,-14.17,1.6,6.62,-2.91
W01001299,Merthyr Tydfil 008A,W06000024,Merthyr Tydfil,4.46,9.44,-3.63,0.69,20.78,-3.64,2.74,10.16,-9.43,-2.12,15.08,0.00,6.06,8.67,0.7,3.4,26.36,-6.67
W01001300,Merthyr Tydfil 008B,W06000024,Merthyr Tydfil,2.54,2.21,-13.82,7.27,-1.3,15.42,1.82,5.15,-8.15,4.14,-2.67,8.26,3.22,-0.47,-19.29,10.42,0,21.37
W01001301,Merthyr Tydfil 008C,W06000024,Merthyr Tydfil,0.84,4.03,-5.81,-0.61,19.79,-12.94,-0.87,3.92,-18.26,-2.19,17.65,-11.63,2.41,4.13,5.56,0.89,22.22,-13.89
