LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01024042,Canterbury 018A,E07000106,Canterbury,0.94,-5.39,-10.18,-1.64,0.91,21.17,1.16,-3.91,-1.25,-2.35,-7.51,33.33,0.72,-7.08,-18.39,-0.93,10.19,11.90
E01024043,Canterbury 018B,E07000106,Canterbury,2.12,-4.43,-6.35,-1.49,-4.58,18.82,3.99,-0.99,-20.59,5.03,-0.63,20.73,0.42,-7.84,10.34,-7.39,-7.94,17.19
E01024044,Canterbury 016A,E07000106,Canterbury,11.61,-15.03,43.54,1.9,-15.44,15.32,4.15,-19.59,28.15,-2.71,-20.98,27.62,18.39,-10.42,54.74,7.05,-9.86,6.29
E01024045,Canterbury 016B,E07000106,Canterbury,0.83,11.59,-7.41,1.27,-10.37,13.50,5.16,18.81,-4.12,6.01,-3.95,15.22,-3.04,4.72,-10.5,-3.36,-15.91,12.23
E01024046,Canterbury 016C,E07000106,Canterbury,4.25,0.42,4.24,-2.61,7.18,14.63,4.97,4.48,14.56,-3.08,8.82,9.58,3.56,-4.85,-3.76,-2.12,5.62,18.81
E01024047,Canterbury 014A,E07000106,Canterbury,-38.05,-48.76,-24.21,-48.13,2.11,11.48,-39.31,-46.67,-15.75,-52.1,-4.17,0.00,-36.8,-51.09,-30.35,-43.79,8.51,20.00
E01024048,Canterbury 016D,E07000106,Canterbury,2.63,-8.06,14.39,-9.76,-5.59,-5.69,-4.93,-9.8,1.88,-14.69,-8.45,8.51,8.79,-5.95,22.71,-4.78,-2.78,-14.47
E01024049,Canterbury 014B,E07000106,Canterbury,-15.71,-1.85,-34.41,-19.37,23.63,-2.72,-26.94,-2.16,-50.13,-28.35,7.14,5.48,-0.51,-1.52,-7.41,-5.26,42.86,-8.11
E01024052,Canterbury 017A,E07000106,Canterbury,5.61,13.5,-3.16,-1.32,19.75,5.79,4.06,14.5,-9.16,-6.39,19.62,16.35,7.14,12.45,3.28,3.73,19.87,-2.17
E01024053,Canterbury 017B,E07000106,Canterbury,11.17,16.12,14.58,13.94,-1.05,12.90,11.86,17.13,12.5,14.29,3.80,9.80,10.48,14.94,16.67,13.6,-5.58,15.92
E01024054,Canterbury 017C,E07000106,Canterbury,0.11,-3.16,3.78,-8.79,-2.71,17.82,-1.81,0,-7.07,-11.37,-3.93,17.47,1.94,-5.92,16.28,-6.23,-1.6,18.13
E01024055,Canterbury 007A,E07000106,Canterbury,1.62,6.73,-2.01,-3.26,4.42,2.92,4.34,4.39,18.84,0.46,-5.56,11.50,-0.83,9.57,-20,-7.04,13.56,-3.23
E01024056,Canterbury 005A,E07000106,Canterbury,-0.99,-13.96,9.55,-9.22,-3.17,8.87,-1.22,-13.39,0.87,-9.59,-5.00,12.94,-0.78,-14.49,21.43,-8.84,-1.51,5.26
E01024057,Canterbury 005B,E07000106,Canterbury,0.66,-11.95,2.61,-12.09,-4.42,18.84,1.34,-19.51,30,-15.25,-1.41,19.33,0,-2.91,-20.48,-8.7,-7.11,18.39
E01024058,Canterbury 005C,E07000106,Canterbury,-0.12,5.78,-13.92,-1.7,-7.84,14.65,-1.34,-3.55,-14.61,-2.57,-5.23,15.54,1.06,15.44,-13.33,-0.78,-10.27,13.86
E01024059,Canterbury 004A,E07000106,Canterbury,1.72,-6.17,-4.88,6.32,0.71,4.81,4.09,0.88,-3.75,11.35,0.74,4.62,-0.38,-13.16,-5.95,1.54,0.69,4.96
E01024060,Canterbury 008A,E07000106,Canterbury,3.54,1.94,-1.2,-2.94,1.64,21.48,1.62,-1.6,3.49,-10.28,1.91,28.81,5.35,5.26,-6.17,4.26,1.36,16.27
E01024061,Canterbury 007B,E07000106,Canterbury,3.78,-0.88,6.48,0.65,5.58,10.69,2.45,-6.29,11.43,0,5.13,9.32,4.95,4.82,1.8,1.22,5.97,11.63
E01024062,Canterbury 009A,E07000106,Canterbury,25.83,32.34,27.07,26.25,14.93,32.84,22.38,19.58,19.57,25.77,9.18,40.46,29.4,46.83,34.83,26.72,21.23,25.71
E01024063,Canterbury 007C,E07000106,Canterbury,1.84,-3.05,8.67,-5.15,3.48,11.33,2.74,0.83,6.73,-8.09,7.78,13.67,0.99,-6.38,11.59,-2.4,-0.56,9.41
E01024064,Canterbury 003A,E07000106,Canterbury,-2.02,-11.29,-0.95,-12.56,2.86,21.33,-4,-13.82,-6.25,-16.62,5.26,20.39,-0.08,-8.71,4.46,-8.85,0.39,22.22
E01024065,Canterbury 004B,E07000106,Canterbury,0.86,1.53,-11.36,-8.71,2.21,23.87,-1.34,-8.21,-19.87,-7.64,1.00,31.43,3.06,12.37,-0.82,-9.73,3.38,17.33
E01024066,Canterbury 003B,E07000106,Canterbury,1.59,-1.53,-6.58,-1.53,1.03,19.10,1.59,7.02,-10.61,-4.35,-0.72,21.77,1.59,-10.97,-1.04,1.12,2.61,16.78
