"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"W02000080","Wrexham 003","W06000006","Wrexham","W92000004","Wales",640,730,560,170
"W02000081","Wrexham 004","W06000006","Wrexham","W92000004","Wales",620,710,550,160
"W02000082","Wrexham 005","W06000006","Wrexham","W92000004","Wales",590,670,520,150
"W02000083","Wrexham 006","W06000006","Wrexham","W92000004","Wales",630,720,550,170
"W02000084","Wrexham 007","W06000006","Wrexham","W92000004","Wales",700,800,610,180
"W02000085","Wrexham 008","W06000006","Wrexham","W92000004","Wales",630,720,560,160
"W02000086","Wrexham 009","W06000006","Wrexham","W92000004","Wales",600,680,530,160
"W02000087","Wrexham 010","W06000006","Wrexham","W92000004","Wales",500,570,430,140
"W02000088","Wrexham 011","W06000006","Wrexham","W92000004","Wales",650,740,570,170
"W02000089","Wrexham 012","W06000006","Wrexham","W92000004","Wales",540,620,470,150
"W02000090","Wrexham 013","W06000006","Wrexham","W92000004","Wales",630,710,550,160
"W02000091","Wrexham 014","W06000006","Wrexham","W92000004","Wales",640,730,560,170
"W02000092","Wrexham 015","W06000006","Wrexham","W92000004","Wales",510,580,450,130
"W02000093","Wrexham 016","W06000006","Wrexham","W92000004","Wales",680,780,600,180
"W02000094","Wrexham 017","W06000006","Wrexham","W92000004","Wales",510,580,450,130
"W02000095","Wrexham 018","W06000006","Wrexham","W92000004","Wales",710,800,620,180
"W02000096","Wrexham 019","W06000006","Wrexham","W92000004","Wales",580,660,510,150
"W02000420","Wrexham 020","W06000006","Wrexham","W92000004","Wales",720,830,630,190
