"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"W02000097","Powys 001","W06000023","Powys","W92000004","Wales",670,760,590,180
"W02000098","Powys 002","W06000023","Powys","W92000004","Wales",710,810,620,190
"W02000099","Powys 003","W06000023","Powys","W92000004","Wales",550,630,480,150
"W02000100","Powys 004","W06000023","Powys","W92000004","Wales",640,730,560,170
"W02000101","Powys 005","W06000023","Powys","W92000004","Wales",700,800,620,180
"W02000102","Powys 006","W06000023","Powys","W92000004","Wales",660,750,580,170
"W02000103","Powys 007","W06000023","Powys","W92000004","Wales",700,800,610,190
"W02000104","Powys 008","W06000023","Powys","W92000004","Wales",650,740,570,170
"W02000105","Powys 009","W06000023","Powys","W92000004","Wales",520,600,460,140
"W02000106","Powys 010","W06000023","Powys","W92000004","Wales",670,770,580,190
"W02000107","Powys 011","W06000023","Powys","W92000004","Wales",590,670,510,160
"W02000108","Powys 012","W06000023","Powys","W92000004","Wales",580,660,510,150
"W02000109","Powys 013","W06000023","Powys","W92000004","Wales",530,610,470,140
"W02000110","Powys 014","W06000023","Powys","W92000004","Wales",640,730,570,170
"W02000111","Powys 015","W06000023","Powys","W92000004","Wales",660,760,580,180
"W02000113","Powys 017","W06000023","Powys","W92000004","Wales",620,700,540,160
"W02000114","Powys 018","W06000023","Powys","W92000004","Wales",770,870,670,200
"W02000414","Powys 020","W06000023","Powys","W92000004","Wales",740,840,650,200
"W02000416","Powys 021","W06000023","Powys","W92000004","Wales",580,660,510,150
