"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02003719","Cambridge 001","E07000008","Cambridge","E12000006","East of England",760,870,680,190
"E02003720","Cambridge 002","E07000008","Cambridge","E12000006","East of England",850,960,750,210
"E02003721","Cambridge 003","E07000008","Cambridge","E12000006","East of England",870,980,770,220
"E02003722","Cambridge 004","E07000008","Cambridge","E12000006","East of England",1100,1250,970,290
"E02003723","Cambridge 005","E07000008","Cambridge","E12000006","East of England",1090,1340,880,450
"E02003724","Cambridge 006","E07000008","Cambridge","E12000006","East of England",860,980,760,220
"E02003725","Cambridge 007","E07000008","Cambridge","E12000006","East of England",1100,1350,890,450
"E02003726","Cambridge 008","E07000008","Cambridge","E12000006","East of England",1110,1280,970,310
"E02003727","Cambridge 009","E07000008","Cambridge","E12000006","East of England",1080,1240,950,290
"E02003728","Cambridge 010","E07000008","Cambridge","E12000006","East of England",880,1000,770,230
"E02003729","Cambridge 011","E07000008","Cambridge","E12000006","East of England",920,1040,810,230
"E02003730","Cambridge 012","E07000008","Cambridge","E12000006","East of England",1010,1150,890,260
"E02003731","Cambridge 013","E07000008","Cambridge","E12000006","East of England",1130,1290,990,300
