"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02001539","Doncaster 001","E08000017","Doncaster","E12000003","Yorkshire and The Humber",560,640,490,150
"E02001540","Doncaster 002","E08000017","Doncaster","E12000003","Yorkshire and The Humber",600,680,530,150
"E02001541","Doncaster 003","E08000017","Doncaster","E12000003","Yorkshire and The Humber",550,630,490,140
"E02001542","Doncaster 004","E08000017","Doncaster","E12000003","Yorkshire and The Humber",480,550,420,130
"E02001543","Doncaster 005","E08000017","Doncaster","E12000003","Yorkshire and The Humber",570,650,500,150
"E02001544","Doncaster 006","E08000017","Doncaster","E12000003","Yorkshire and The Humber",580,650,510,140
"E02001545","Doncaster 007","E08000017","Doncaster","E12000003","Yorkshire and The Humber",680,780,600,170
"E02001546","Doncaster 008","E08000017","Doncaster","E12000003","Yorkshire and The Humber",620,720,550,170
"E02001547","Doncaster 009","E08000017","Doncaster","E12000003","Yorkshire and The Humber",620,710,540,170
"E02001548","Doncaster 010","E08000017","Doncaster","E12000003","Yorkshire and The Humber",530,610,470,140
"E02001549","Doncaster 011","E08000017","Doncaster","E12000003","Yorkshire and The Humber",670,760,590,170
"E02001550","Doncaster 012","E08000017","Doncaster","E12000003","Yorkshire and The Humber",610,690,530,150
"E02001551","Doncaster 013","E08000017","Doncaster","E12000003","Yorkshire and The Humber",640,730,570,160
"E02001552","Doncaster 014","E08000017","Doncaster","E12000003","Yorkshire and The Humber",620,700,540,160
"E02001553","Doncaster 015","E08000017","Doncaster","E12000003","Yorkshire and The Humber",620,700,540,160
"E02001554","Doncaster 016","E08000017","Doncaster","E12000003","Yorkshire and The Humber",680,770,600,170
"E02001555","Doncaster 017","E08000017","Doncaster","E12000003","Yorkshire and The Humber",650,730,570,160
"E02001556","Doncaster 018","E08000017","Doncaster","E12000003","Yorkshire and The Humber",630,730,550,180
"E02001557","Doncaster 019","E08000017","Doncaster","E12000003","Yorkshire and The Humber",650,740,570,170
"E02001558","Doncaster 020","E08000017","Doncaster","E12000003","Yorkshire and The Humber",660,760,580,180
"E02001559","Doncaster 021","E08000017","Doncaster","E12000003","Yorkshire and The Humber",780,890,690,200
"E02001560","Doncaster 022","E08000017","Doncaster","E12000003","Yorkshire and The Humber",520,610,450,160
"E02001561","Doncaster 023","E08000017","Doncaster","E12000003","Yorkshire and The Humber",500,570,440,130
"E02001562","Doncaster 024","E08000017","Doncaster","E12000003","Yorkshire and The Humber",620,720,540,180
"E02001563","Doncaster 025","E08000017","Doncaster","E12000003","Yorkshire and The Humber",720,820,640,180
"E02001564","Doncaster 026","E08000017","Doncaster","E12000003","Yorkshire and The Humber",870,1010,750,260
"E02001565","Doncaster 027","E08000017","Doncaster","E12000003","Yorkshire and The Humber",840,960,740,220
"E02001566","Doncaster 028","E08000017","Doncaster","E12000003","Yorkshire and The Humber",640,730,570,170
"E02001567","Doncaster 029","E08000017","Doncaster","E12000003","Yorkshire and The Humber",580,660,500,150
"E02001568","Doncaster 030","E08000017","Doncaster","E12000003","Yorkshire and The Humber",550,620,480,140
"E02001569","Doncaster 031","E08000017","Doncaster","E12000003","Yorkshire and The Humber",550,620,480,140
"E02001570","Doncaster 032","E08000017","Doncaster","E12000003","Yorkshire and The Humber",480,550,420,120
"E02001571","Doncaster 033","E08000017","Doncaster","E12000003","Yorkshire and The Humber",700,800,620,170
"E02001572","Doncaster 034","E08000017","Doncaster","E12000003","Yorkshire and The Humber",570,650,500,150
"E02001573","Doncaster 035","E08000017","Doncaster","E12000003","Yorkshire and The Humber",620,720,540,170
"E02001574","Doncaster 036","E08000017","Doncaster","E12000003","Yorkshire and The Humber",770,880,680,200
"E02001575","Doncaster 037","E08000017","Doncaster","E12000003","Yorkshire and The Humber",530,600,460,140
"E02001576","Doncaster 038","E08000017","Doncaster","E12000003","Yorkshire and The Humber",800,910,710,200
"E02001577","Doncaster 039","E08000017","Doncaster","E12000003","Yorkshire and The Humber",730,830,640,190
