"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02005287","South Ribble 001","E07000126","South Ribble","E12000002","North West",1040,1190,920,270
"E02005288","South Ribble 002","E07000126","South Ribble","E12000002","North West",710,810,630,180
"E02005289","South Ribble 003","E07000126","South Ribble","E12000002","North West",860,970,760,220
"E02005290","South Ribble 004","E07000126","South Ribble","E12000002","North West",850,970,750,220
"E02005291","South Ribble 005","E07000126","South Ribble","E12000002","North West",760,860,670,190
"E02005292","South Ribble 006","E07000126","South Ribble","E12000002","North West",600,680,530,150
"E02005293","South Ribble 007","E07000126","South Ribble","E12000002","North West",610,690,530,150
"E02005294","South Ribble 008","E07000126","South Ribble","E12000002","North West",710,810,630,180
"E02005295","South Ribble 009","E07000126","South Ribble","E12000002","North West",730,820,640,180
"E02005296","South Ribble 010","E07000126","South Ribble","E12000002","North West",810,920,720,200
"E02005297","South Ribble 011","E07000126","South Ribble","E12000002","North West",740,840,650,190
"E02005298","South Ribble 012","E07000126","South Ribble","E12000002","North West",780,890,690,200
"E02005299","South Ribble 013","E07000126","South Ribble","E12000002","North West",710,810,630,180
"E02005300","South Ribble 014","E07000126","South Ribble","E12000002","North West",840,960,740,220
"E02005301","South Ribble 015","E07000126","South Ribble","E12000002","North West",670,750,590,160
"E02005302","South Ribble 016","E07000126","South Ribble","E12000002","North West",900,1020,800,230
"E02005303","South Ribble 017","E07000126","South Ribble","E12000002","North West",610,700,540,150
