"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02006504","Stratford-on-Avon 001","E07000221","Stratford-on-Avon","E12000005","West Midlands",890,1040,770,280
"E02006505","Stratford-on-Avon 002","E07000221","Stratford-on-Avon","E12000005","West Midlands",730,840,640,190
"E02006506","Stratford-on-Avon 003","E07000221","Stratford-on-Avon","E12000005","West Midlands",690,780,610,180
"E02006507","Stratford-on-Avon 004","E07000221","Stratford-on-Avon","E12000005","West Midlands",730,830,650,180
"E02006508","Stratford-on-Avon 005","E07000221","Stratford-on-Avon","E12000005","West Midlands",800,910,700,200
"E02006509","Stratford-on-Avon 006","E07000221","Stratford-on-Avon","E12000005","West Midlands",670,760,590,170
"E02006510","Stratford-on-Avon 007","E07000221","Stratford-on-Avon","E12000005","West Midlands",830,950,730,210
"E02006511","Stratford-on-Avon 008","E07000221","Stratford-on-Avon","E12000005","West Midlands",760,860,670,190
"E02006512","Stratford-on-Avon 009","E07000221","Stratford-on-Avon","E12000005","West Midlands",720,810,630,180
"E02006513","Stratford-on-Avon 010","E07000221","Stratford-on-Avon","E12000005","West Midlands",960,1090,840,250
"E02006514","Stratford-on-Avon 011","E07000221","Stratford-on-Avon","E12000005","West Midlands",740,840,650,190
"E02006515","Stratford-on-Avon 012","E07000221","Stratford-on-Avon","E12000005","West Midlands",750,850,660,190
"E02006516","Stratford-on-Avon 013","E07000221","Stratford-on-Avon","E12000005","West Midlands",840,950,740,210
"E02006517","Stratford-on-Avon 014","E07000221","Stratford-on-Avon","E12000005","West Midlands",830,940,730,210
"E02006518","Stratford-on-Avon 015","E07000221","Stratford-on-Avon","E12000005","West Midlands",730,830,640,190
