"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02005334","Blaby 002","E07000129","Blaby","E12000004","East Midlands",840,960,740,220
"E02005335","Blaby 003","E07000129","Blaby","E12000004","East Midlands",770,880,680,200
"E02005336","Blaby 004","E07000129","Blaby","E12000004","East Midlands",800,910,700,210
"E02005337","Blaby 005","E07000129","Blaby","E12000004","East Midlands",650,740,570,160
"E02005338","Blaby 006","E07000129","Blaby","E12000004","East Midlands",720,820,640,180
"E02005339","Blaby 007","E07000129","Blaby","E12000004","East Midlands",870,990,760,220
"E02005340","Blaby 008","E07000129","Blaby","E12000004","East Midlands",650,740,570,160
"E02005341","Blaby 009","E07000129","Blaby","E12000004","East Midlands",780,890,690,200
"E02005342","Blaby 010","E07000129","Blaby","E12000004","East Midlands",700,800,610,180
"E02005343","Blaby 011","E07000129","Blaby","E12000004","East Midlands",710,810,630,180
"E02005344","Blaby 012","E07000129","Blaby","E12000004","East Midlands",750,860,670,190
"E02006820","Blaby 013","E07000129","Blaby","E12000004","East Midlands",690,790,610,180
