"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02004779","New Forest 001","E07000091","New Forest","E12000008","South East",830,940,740,210
"E02004780","New Forest 002","E07000091","New Forest","E12000008","South East",770,880,680,190
"E02004781","New Forest 003","E07000091","New Forest","E12000008","South East",950,1070,840,240
"E02004782","New Forest 004","E07000091","New Forest","E12000008","South East",760,860,670,190
"E02004783","New Forest 005","E07000091","New Forest","E12000008","South East",870,990,770,220
"E02004784","New Forest 006","E07000091","New Forest","E12000008","South East",950,1070,840,230
"E02004785","New Forest 007","E07000091","New Forest","E12000008","South East",910,1030,810,230
"E02004786","New Forest 008","E07000091","New Forest","E12000008","South East",930,1050,820,230
"E02004787","New Forest 009","E07000091","New Forest","E12000008","South East",820,930,730,210
"E02004788","New Forest 010","E07000091","New Forest","E12000008","South East",920,1050,820,230
"E02004789","New Forest 011","E07000091","New Forest","E12000008","South East",800,910,710,200
"E02004790","New Forest 012","E07000091","New Forest","E12000008","South East",750,850,660,190
"E02004791","New Forest 013","E07000091","New Forest","E12000008","South East",740,840,660,190
"E02004792","New Forest 014","E07000091","New Forest","E12000008","South East",780,890,690,200
"E02004793","New Forest 015","E07000091","New Forest","E12000008","South East",940,1070,830,240
"E02004794","New Forest 016","E07000091","New Forest","E12000008","South East",940,1060,830,230
"E02004795","New Forest 017","E07000091","New Forest","E12000008","South East",820,930,720,210
"E02004796","New Forest 018","E07000091","New Forest","E12000008","South East",800,900,700,200
"E02004797","New Forest 019","E07000091","New Forest","E12000008","South East",700,800,620,180
"E02004798","New Forest 020","E07000091","New Forest","E12000008","South East",690,780,610,170
"E02004799","New Forest 021","E07000091","New Forest","E12000008","South East",650,740,570,170
"E02004800","New Forest 022","E07000091","New Forest","E12000008","South East",740,850,640,210
"E02004801","New Forest 023","E07000091","New Forest","E12000008","South East",820,940,720,230
