"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02004392","Rother 001","E07000064","Rother","E12000008","South East",870,980,770,210
"E02004393","Rother 002","E07000064","Rother","E12000008","South East",720,820,630,180
"E02004394","Rother 003","E07000064","Rother","E12000008","South East",890,1010,790,220
"E02004395","Rother 004","E07000064","Rother","E12000008","South East",670,760,590,170
"E02004396","Rother 005","E07000064","Rother","E12000008","South East",760,860,670,190
"E02004397","Rother 006","E07000064","Rother","E12000008","South East",780,880,690,190
"E02004398","Rother 007","E07000064","Rother","E12000008","South East",580,660,510,150
"E02004399","Rother 008","E07000064","Rother","E12000008","South East",630,710,550,160
"E02004400","Rother 009","E07000064","Rother","E12000008","South East",750,860,660,200
"E02004401","Rother 010","E07000064","Rother","E12000008","South East",670,760,580,180
"E02004402","Rother 011","E07000064","Rother","E12000008","South East",550,630,480,150
