"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02002183","Bradford 001","E08000032","Bradford","E12000003","Yorkshire and The Humber",880,1000,770,240
"E02002184","Bradford 002","E08000032","Bradford","E12000003","Yorkshire and The Humber",830,950,720,230
"E02002185","Bradford 003","E08000032","Bradford","E12000003","Yorkshire and The Humber",940,1080,830,250
"E02002186","Bradford 004","E08000032","Bradford","E12000003","Yorkshire and The Humber",690,790,610,180
"E02002187","Bradford 005","E08000032","Bradford","E12000003","Yorkshire and The Humber",990,1140,860,280
"E02002188","Bradford 006","E08000032","Bradford","E12000003","Yorkshire and The Humber",760,870,670,190
"E02002189","Bradford 007","E08000032","Bradford","E12000003","Yorkshire and The Humber",670,760,580,180
"E02002190","Bradford 008","E08000032","Bradford","E12000003","Yorkshire and The Humber",500,570,440,130
"E02002191","Bradford 009","E08000032","Bradford","E12000003","Yorkshire and The Humber",570,650,500,150
"E02002192","Bradford 010","E08000032","Bradford","E12000003","Yorkshire and The Humber",840,950,740,220
"E02002193","Bradford 011","E08000032","Bradford","E12000003","Yorkshire and The Humber",490,560,430,130
"E02002194","Bradford 012","E08000032","Bradford","E12000003","Yorkshire and The Humber",650,740,570,170
"E02002195","Bradford 013","E08000032","Bradford","E12000003","Yorkshire and The Humber",810,920,710,210
"E02002196","Bradford 014","E08000032","Bradford","E12000003","Yorkshire and The Humber",760,860,670,190
"E02002197","Bradford 015","E08000032","Bradford","E12000003","Yorkshire and The Humber",700,800,620,190
"E02002198","Bradford 016","E08000032","Bradford","E12000003","Yorkshire and The Humber",680,770,600,170
"E02002199","Bradford 017","E08000032","Bradford","E12000003","Yorkshire and The Humber",840,950,740,210
"E02002200","Bradford 018","E08000032","Bradford","E12000003","Yorkshire and The Humber",710,810,630,190
"E02002201","Bradford 019","E08000032","Bradford","E12000003","Yorkshire and The Humber",660,760,580,180
"E02002202","Bradford 020","E08000032","Bradford","E12000003","Yorkshire and The Humber",730,830,640,190
"E02002203","Bradford 021","E08000032","Bradford","E12000003","Yorkshire and The Humber",580,660,510,150
"E02002204","Bradford 022","E08000032","Bradford","E12000003","Yorkshire and The Humber",740,840,650,190
"E02002205","Bradford 023","E08000032","Bradford","E12000003","Yorkshire and The Humber",790,900,690,210
"E02002206","Bradford 024","E08000032","Bradford","E12000003","Yorkshire and The Humber",670,770,590,180
"E02002207","Bradford 025","E08000032","Bradford","E12000003","Yorkshire and The Humber",680,790,590,200
"E02002208","Bradford 026","E08000032","Bradford","E12000003","Yorkshire and The Humber",610,700,540,160
"E02002209","Bradford 027","E08000032","Bradford","E12000003","Yorkshire and The Humber",510,590,450,130
"E02002210","Bradford 028","E08000032","Bradford","E12000003","Yorkshire and The Humber",680,770,600,180
"E02002211","Bradford 029","E08000032","Bradford","E12000003","Yorkshire and The Humber",710,830,610,220
"E02002212","Bradford 030","E08000032","Bradford","E12000003","Yorkshire and The Humber",650,750,560,190
"E02002213","Bradford 031","E08000032","Bradford","E12000003","Yorkshire and The Humber",690,780,600,180
"E02002214","Bradford 032","E08000032","Bradford","E12000003","Yorkshire and The Humber",670,760,590,170
"E02002215","Bradford 033","E08000032","Bradford","E12000003","Yorkshire and The Humber",590,700,500,200
"E02002216","Bradford 034","E08000032","Bradford","E12000003","Yorkshire and The Humber",450,540,380,150
"E02002217","Bradford 035","E08000032","Bradford","E12000003","Yorkshire and The Humber",510,580,440,140
"E02002218","Bradford 036","E08000032","Bradford","E12000003","Yorkshire and The Humber",630,710,550,160
"E02002219","Bradford 037","E08000032","Bradford","E12000003","Yorkshire and The Humber",510,600,430,170
"E02002220","Bradford 038","E08000032","Bradford","E12000003","Yorkshire and The Humber",580,690,480,210
"E02002221","Bradford 039","E08000032","Bradford","E12000003","Yorkshire and The Humber",460,540,400,140
"E02002222","Bradford 040","E08000032","Bradford","E12000003","Yorkshire and The Humber",610,700,530,170
"E02002223","Bradford 041","E08000032","Bradford","E12000003","Yorkshire and The Humber",500,590,430,170
"E02002224","Bradford 042","E08000032","Bradford","E12000003","Yorkshire and The Humber",540,640,450,190
"E02002225","Bradford 043","E08000032","Bradford","E12000003","Yorkshire and The Humber",680,770,600,170
"E02002226","Bradford 044","E08000032","Bradford","E12000003","Yorkshire and The Humber",550,660,460,190
"E02002227","Bradford 045","E08000032","Bradford","E12000003","Yorkshire and The Humber",470,540,400,140
"E02002228","Bradford 046","E08000032","Bradford","E12000003","Yorkshire and The Humber",520,590,450,140
