"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"W02000200","Neath Port Talbot 002","W06000012","Neath Port Talbot","W92000004","Wales",590,680,520,170
"W02000201","Neath Port Talbot 003","W06000012","Neath Port Talbot","W92000004","Wales",550,620,480,140
"W02000202","Neath Port Talbot 004","W06000012","Neath Port Talbot","W92000004","Wales",650,740,570,170
"W02000203","Neath Port Talbot 005","W06000012","Neath Port Talbot","W92000004","Wales",620,700,540,160
"W02000204","Neath Port Talbot 006","W06000012","Neath Port Talbot","W92000004","Wales",780,890,690,200
"W02000205","Neath Port Talbot 007","W06000012","Neath Port Talbot","W92000004","Wales",620,710,550,160
"W02000206","Neath Port Talbot 008","W06000012","Neath Port Talbot","W92000004","Wales",520,600,460,140
"W02000207","Neath Port Talbot 009","W06000012","Neath Port Talbot","W92000004","Wales",720,820,630,190
"W02000208","Neath Port Talbot 010","W06000012","Neath Port Talbot","W92000004","Wales",640,720,560,160
"W02000209","Neath Port Talbot 011","W06000012","Neath Port Talbot","W92000004","Wales",470,550,410,140
"W02000210","Neath Port Talbot 012","W06000012","Neath Port Talbot","W92000004","Wales",650,750,570,180
"W02000211","Neath Port Talbot 013","W06000012","Neath Port Talbot","W92000004","Wales",550,620,480,140
"W02000212","Neath Port Talbot 014","W06000012","Neath Port Talbot","W92000004","Wales",580,660,510,150
"W02000213","Neath Port Talbot 015","W06000012","Neath Port Talbot","W92000004","Wales",680,780,600,180
"W02000214","Neath Port Talbot 016","W06000012","Neath Port Talbot","W92000004","Wales",530,610,460,150
"W02000215","Neath Port Talbot 017","W06000012","Neath Port Talbot","W92000004","Wales",540,610,470,140
"W02000216","Neath Port Talbot 018","W06000012","Neath Port Talbot","W92000004","Wales",610,690,530,160
"W02000217","Neath Port Talbot 019","W06000012","Neath Port Talbot","W92000004","Wales",660,750,580,170
"W02000417","Neath Port Talbot 020","W06000012","Neath Port Talbot","W92000004","Wales",590,670,520,150
