"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"W02000042","Denbighshire 001","W06000004","Denbighshire","W92000004","Wales",500,570,440,140
"W02000043","Denbighshire 002","W06000004","Denbighshire","W92000004","Wales",590,680,520,150
"W02000044","Denbighshire 003","W06000004","Denbighshire","W92000004","Wales",560,640,490,150
"W02000045","Denbighshire 004","W06000004","Denbighshire","W92000004","Wales",470,550,390,160
"W02000047","Denbighshire 006","W06000004","Denbighshire","W92000004","Wales",560,650,490,160
"W02000049","Denbighshire 008","W06000004","Denbighshire","W92000004","Wales",640,730,570,170
"W02000050","Denbighshire 009","W06000004","Denbighshire","W92000004","Wales",640,730,560,170
"W02000051","Denbighshire 010","W06000004","Denbighshire","W92000004","Wales",670,760,590,170
"W02000052","Denbighshire 011","W06000004","Denbighshire","W92000004","Wales",590,670,520,160
"W02000053","Denbighshire 012","W06000004","Denbighshire","W92000004","Wales",740,840,650,190
"W02000054","Denbighshire 013","W06000004","Denbighshire","W92000004","Wales",810,930,710,210
"W02000055","Denbighshire 014","W06000004","Denbighshire","W92000004","Wales",680,770,600,170
"W02000056","Denbighshire 015","W06000004","Denbighshire","W92000004","Wales",740,850,650,190
"W02000057","Denbighshire 016","W06000004","Denbighshire","W92000004","Wales",610,700,540,160
"W02000419","Denbighshire 017","W06000004","Denbighshire","W92000004","Wales",570,680,480,200
