"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02002985","Bath and North East Somerset 001","E06000022","Bath and North East Somerset","E12000009","South West",730,830,650,180
"E02002986","Bath and North East Somerset 002","E06000022","Bath and North East Somerset","E12000009","South West",600,680,530,150
"E02002987","Bath and North East Somerset 003","E06000022","Bath and North East Somerset","E12000009","South West",850,960,750,210
"E02002988","Bath and North East Somerset 004","E06000022","Bath and North East Somerset","E12000009","South West",860,980,760,220
"E02002989","Bath and North East Somerset 005","E06000022","Bath and North East Somerset","E12000009","South West",800,910,710,200
"E02002990","Bath and North East Somerset 006","E06000022","Bath and North East Somerset","E12000009","South West",900,1030,790,240
"E02002991","Bath and North East Somerset 007","E06000022","Bath and North East Somerset","E12000009","South West",830,950,720,220
"E02002992","Bath and North East Somerset 008","E06000022","Bath and North East Somerset","E12000009","South West",870,990,760,230
"E02002993","Bath and North East Somerset 009","E06000022","Bath and North East Somerset","E12000009","South West",780,900,680,210
"E02002994","Bath and North East Somerset 010","E06000022","Bath and North East Somerset","E12000009","South West",890,1010,790,230
"E02002995","Bath and North East Somerset 011","E06000022","Bath and North East Somerset","E12000009","South West",560,640,490,150
"E02002996","Bath and North East Somerset 012","E06000022","Bath and North East Somerset","E12000009","South West",880,1030,750,280
"E02002997","Bath and North East Somerset 013","E06000022","Bath and North East Somerset","E12000009","South West",730,850,630,210
"E02002998","Bath and North East Somerset 014","E06000022","Bath and North East Somerset","E12000009","South West",700,810,610,200
"E02002999","Bath and North East Somerset 015","E06000022","Bath and North East Somerset","E12000009","South West",670,760,590,170
"E02003000","Bath and North East Somerset 016","E06000022","Bath and North East Somerset","E12000009","South West",830,940,730,210
"E02003001","Bath and North East Somerset 017","E06000022","Bath and North East Somerset","E12000009","South West",1050,1200,920,280
"E02003002","Bath and North East Somerset 018","E06000022","Bath and North East Somerset","E12000009","South West",750,850,660,190
"E02003003","Bath and North East Somerset 019","E06000022","Bath and North East Somerset","E12000009","South West",790,890,690,200
"E02003004","Bath and North East Somerset 020","E06000022","Bath and North East Somerset","E12000009","South West",830,940,730,210
"E02003005","Bath and North East Somerset 021","E06000022","Bath and North East Somerset","E12000009","South West",910,1030,800,230
"E02003006","Bath and North East Somerset 022","E06000022","Bath and North East Somerset","E12000009","South West",760,860,670,190
"E02003007","Bath and North East Somerset 023","E06000022","Bath and North East Somerset","E12000009","South West",740,840,650,180
"E02003008","Bath and North East Somerset 024","E06000022","Bath and North East Somerset","E12000009","South West",690,790,610,180
"E02003009","Bath and North East Somerset 025","E06000022","Bath and North East Somerset","E12000009","South West",760,860,670,200
"E02003010","Bath and North East Somerset 026","E06000022","Bath and North East Somerset","E12000009","South West",690,780,600,180
"E02003011","Bath and North East Somerset 027","E06000022","Bath and North East Somerset","E12000009","South West",690,780,600,170
