"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"W02000058","Flintshire 001","W06000005","Flintshire","W92000004","Wales",580,650,510,150
"W02000059","Flintshire 002","W06000005","Flintshire","W92000004","Wales",650,740,570,170
"W02000060","Flintshire 003","W06000005","Flintshire","W92000004","Wales",520,590,460,130
"W02000061","Flintshire 004","W06000005","Flintshire","W92000004","Wales",500,570,440,130
"W02000062","Flintshire 005","W06000005","Flintshire","W92000004","Wales",710,810,620,190
"W02000063","Flintshire 006","W06000005","Flintshire","W92000004","Wales",750,850,660,190
"W02000064","Flintshire 007","W06000005","Flintshire","W92000004","Wales",550,620,480,140
"W02000065","Flintshire 008","W06000005","Flintshire","W92000004","Wales",640,730,560,170
"W02000066","Flintshire 009","W06000005","Flintshire","W92000004","Wales",570,650,500,150
"W02000067","Flintshire 010","W06000005","Flintshire","W92000004","Wales",780,880,680,200
"W02000068","Flintshire 011","W06000005","Flintshire","W92000004","Wales",640,720,560,170
"W02000069","Flintshire 012","W06000005","Flintshire","W92000004","Wales",770,880,680,200
"W02000070","Flintshire 013","W06000005","Flintshire","W92000004","Wales",800,910,700,210
"W02000071","Flintshire 014","W06000005","Flintshire","W92000004","Wales",710,810,630,180
"W02000072","Flintshire 015","W06000005","Flintshire","W92000004","Wales",670,770,590,180
"W02000073","Flintshire 016","W06000005","Flintshire","W92000004","Wales",680,770,600,180
"W02000074","Flintshire 017","W06000005","Flintshire","W92000004","Wales",600,680,530,150
"W02000075","Flintshire 018","W06000005","Flintshire","W92000004","Wales",850,970,740,220
"W02000076","Flintshire 019","W06000005","Flintshire","W92000004","Wales",700,800,620,180
"W02000077","Flintshire 020","W06000005","Flintshire","W92000004","Wales",700,800,620,180
