"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02001509","Barnsley 001","E08000016","Barnsley","E12000003","Yorkshire and The Humber",640,730,560,160
"E02001510","Barnsley 002","E08000016","Barnsley","E12000003","Yorkshire and The Humber",620,710,550,160
"E02001511","Barnsley 003","E08000016","Barnsley","E12000003","Yorkshire and The Humber",580,660,510,150
"E02001512","Barnsley 004","E08000016","Barnsley","E12000003","Yorkshire and The Humber",680,780,600,170
"E02001513","Barnsley 005","E08000016","Barnsley","E12000003","Yorkshire and The Humber",700,790,620,170
"E02001514","Barnsley 006","E08000016","Barnsley","E12000003","Yorkshire and The Humber",590,670,520,150
"E02001515","Barnsley 007","E08000016","Barnsley","E12000003","Yorkshire and The Humber",560,660,480,180
"E02001516","Barnsley 008","E08000016","Barnsley","E12000003","Yorkshire and The Humber",610,690,540,160
"E02001517","Barnsley 009","E08000016","Barnsley","E12000003","Yorkshire and The Humber",630,720,560,160
"E02001518","Barnsley 010","E08000016","Barnsley","E12000003","Yorkshire and The Humber",640,720,560,160
"E02001519","Barnsley 011","E08000016","Barnsley","E12000003","Yorkshire and The Humber",610,690,530,170
"E02001520","Barnsley 012","E08000016","Barnsley","E12000003","Yorkshire and The Humber",690,790,610,170
"E02001521","Barnsley 013","E08000016","Barnsley","E12000003","Yorkshire and The Humber",620,700,540,160
"E02001522","Barnsley 014","E08000016","Barnsley","E12000003","Yorkshire and The Humber",540,610,470,140
"E02001523","Barnsley 015","E08000016","Barnsley","E12000003","Yorkshire and The Humber",650,740,570,170
"E02001524","Barnsley 016","E08000016","Barnsley","E12000003","Yorkshire and The Humber",850,970,750,230
"E02001525","Barnsley 017","E08000016","Barnsley","E12000003","Yorkshire and The Humber",480,540,420,120
"E02001526","Barnsley 018","E08000016","Barnsley","E12000003","Yorkshire and The Humber",550,640,480,160
"E02001527","Barnsley 019","E08000016","Barnsley","E12000003","Yorkshire and The Humber",640,720,560,160
"E02001528","Barnsley 020","E08000016","Barnsley","E12000003","Yorkshire and The Humber",600,680,530,150
"E02001529","Barnsley 021","E08000016","Barnsley","E12000003","Yorkshire and The Humber",610,700,530,170
"E02001530","Barnsley 022","E08000016","Barnsley","E12000003","Yorkshire and The Humber",600,690,530,160
"E02001531","Barnsley 023","E08000016","Barnsley","E12000003","Yorkshire and The Humber",560,630,490,140
"E02001532","Barnsley 024","E08000016","Barnsley","E12000003","Yorkshire and The Humber",740,840,650,190
"E02001533","Barnsley 025","E08000016","Barnsley","E12000003","Yorkshire and The Humber",600,680,530,150
"E02001534","Barnsley 026","E08000016","Barnsley","E12000003","Yorkshire and The Humber",590,670,520,150
"E02001535","Barnsley 027","E08000016","Barnsley","E12000003","Yorkshire and The Humber",790,900,700,200
"E02001536","Barnsley 028","E08000016","Barnsley","E12000003","Yorkshire and The Humber",630,720,560,160
"E02001537","Barnsley 029","E08000016","Barnsley","E12000003","Yorkshire and The Humber",610,690,540,150
"E02001538","Barnsley 030","E08000016","Barnsley","E12000003","Yorkshire and The Humber",620,700,540,160
