"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02001259","Trafford 001","E08000009","Trafford","E12000002","North West",600,680,530,160
"E02001260","Trafford 002","E08000009","Trafford","E12000002","North West",740,850,650,200
"E02001261","Trafford 003","E08000009","Trafford","E12000002","North West",770,880,670,200
"E02001262","Trafford 004","E08000009","Trafford","E12000002","North West",770,910,650,260
"E02001263","Trafford 005","E08000009","Trafford","E12000002","North West",860,980,760,210
"E02001264","Trafford 006","E08000009","Trafford","E12000002","North West",720,830,630,200
"E02001265","Trafford 007","E08000009","Trafford","E12000002","North West",750,850,660,190
"E02001266","Trafford 008","E08000009","Trafford","E12000002","North West",640,720,560,160
"E02001267","Trafford 009","E08000009","Trafford","E12000002","North West",730,820,640,190
"E02001268","Trafford 010","E08000009","Trafford","E12000002","North West",810,920,710,200
"E02001269","Trafford 011","E08000009","Trafford","E12000002","North West",710,810,630,180
"E02001270","Trafford 012","E08000009","Trafford","E12000002","North West",880,1000,770,220
"E02001271","Trafford 013","E08000009","Trafford","E12000002","North West",720,820,640,180
"E02001272","Trafford 014","E08000009","Trafford","E12000002","North West",960,1090,850,240
"E02001273","Trafford 015","E08000009","Trafford","E12000002","North West",890,1020,780,240
"E02001274","Trafford 016","E08000009","Trafford","E12000002","North West",920,1050,810,240
"E02001275","Trafford 017","E08000009","Trafford","E12000002","North West",600,680,520,150
"E02001276","Trafford 018","E08000009","Trafford","E12000002","North West",740,840,650,190
"E02001277","Trafford 019","E08000009","Trafford","E12000002","North West",680,770,600,170
"E02001278","Trafford 020","E08000009","Trafford","E12000002","North West",900,1030,790,240
"E02001279","Trafford 021","E08000009","Trafford","E12000002","North West",1000,1150,870,280
"E02001280","Trafford 022","E08000009","Trafford","E12000002","North West",660,750,580,170
"E02001281","Trafford 023","E08000009","Trafford","E12000002","North West",910,1040,800,240
"E02001282","Trafford 024","E08000009","Trafford","E12000002","North West",850,970,750,220
"E02001283","Trafford 025","E08000009","Trafford","E12000002","North West",870,990,760,220
"E02001284","Trafford 026","E08000009","Trafford","E12000002","North West",1180,1360,1020,340
"E02001285","Trafford 027","E08000009","Trafford","E12000002","North West",960,1100,840,260
"E02001286","Trafford 028","E08000009","Trafford","E12000002","North West",910,1060,790,270
