"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02006238","Forest Heath 001","E07000201","Forest Heath","E12000006","East of England",640,730,570,160
"E02006239","Forest Heath 002","E07000201","Forest Heath","E12000006","East of England",790,900,690,210
"E02006240","Forest Heath 003","E07000201","Forest Heath","E12000006","East of England",880,990,770,220
"E02006241","Forest Heath 004","E07000201","Forest Heath","E12000006","East of England",690,780,610,170
"E02006242","Forest Heath 005","E07000201","Forest Heath","E12000006","East of England",890,1010,780,230
"E02006243","Forest Heath 006","E07000201","Forest Heath","E12000006","East of England",760,860,670,190
"E02006826","Forest Heath 008","E07000201","Forest Heath","E12000006","East of England",760,860,670,190
