"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02004243","East Dorset 001","E07000049","East Dorset","E12000009","South West",820,930,720,210
"E02004244","East Dorset 002","E07000049","East Dorset","E12000009","South West",770,880,680,190
"E02004245","East Dorset 003","E07000049","East Dorset","E12000009","South West",850,960,750,220
"E02004246","East Dorset 004","E07000049","East Dorset","E12000009","South West",760,860,660,200
"E02004247","East Dorset 005","E07000049","East Dorset","E12000009","South West",910,1060,780,280
"E02004248","East Dorset 006","E07000049","East Dorset","E12000009","South West",620,710,550,160
"E02004249","East Dorset 007","E07000049","East Dorset","E12000009","South West",1000,1170,850,320
"E02004250","East Dorset 008","E07000049","East Dorset","E12000009","South West",590,670,520,150
"E02004251","East Dorset 009","E07000049","East Dorset","E12000009","South West",760,860,670,190
"E02004252","East Dorset 010","E07000049","East Dorset","E12000009","South West",660,750,580,170
"E02004253","East Dorset 011","E07000049","East Dorset","E12000009","South West",780,880,680,200
"E02004254","East Dorset 012","E07000049","East Dorset","E12000009","South West",860,980,760,220
