"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02006696","Bromsgrove 001","E07000234","Bromsgrove","E12000005","West Midlands",1030,1200,880,330
"E02006697","Bromsgrove 002","E07000234","Bromsgrove","E12000005","West Midlands",890,1030,770,260
"E02006698","Bromsgrove 003","E07000234","Bromsgrove","E12000005","West Midlands",680,770,600,170
"E02006699","Bromsgrove 004","E07000234","Bromsgrove","E12000005","West Midlands",720,820,640,180
"E02006700","Bromsgrove 005","E07000234","Bromsgrove","E12000005","West Midlands",750,850,660,190
"E02006701","Bromsgrove 006","E07000234","Bromsgrove","E12000005","West Midlands",910,1040,800,240
"E02006702","Bromsgrove 007","E07000234","Bromsgrove","E12000005","West Midlands",690,780,610,180
"E02006703","Bromsgrove 008","E07000234","Bromsgrove","E12000005","West Midlands",900,1020,790,230
"E02006704","Bromsgrove 009","E07000234","Bromsgrove","E12000005","West Midlands",750,850,660,190
"E02006705","Bromsgrove 010","E07000234","Bromsgrove","E12000005","West Midlands",740,850,650,190
"E02006706","Bromsgrove 011","E07000234","Bromsgrove","E12000005","West Midlands",640,730,560,170
"E02006707","Bromsgrove 012","E07000234","Bromsgrove","E12000005","West Midlands",1080,1260,930,340
"E02006708","Bromsgrove 013","E07000234","Bromsgrove","E12000005","West Midlands",670,760,590,170
"E02006709","Bromsgrove 014","E07000234","Bromsgrove","E12000005","West Midlands",860,980,750,240
