"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"W02000290","Caerphilly 001","W06000018","Caerphilly","W92000004","Wales",500,560,430,130
"W02000291","Caerphilly 002","W06000018","Caerphilly","W92000004","Wales",460,530,410,120
"W02000292","Caerphilly 003","W06000018","Caerphilly","W92000004","Wales",460,520,400,120
"W02000293","Caerphilly 004","W06000018","Caerphilly","W92000004","Wales",520,600,460,140
"W02000294","Caerphilly 005","W06000018","Caerphilly","W92000004","Wales",610,700,530,160
"W02000295","Caerphilly 006","W06000018","Caerphilly","W92000004","Wales",620,710,550,160
"W02000296","Caerphilly 007","W06000018","Caerphilly","W92000004","Wales",530,600,460,140
"W02000297","Caerphilly 008","W06000018","Caerphilly","W92000004","Wales",630,710,550,160
"W02000298","Caerphilly 009","W06000018","Caerphilly","W92000004","Wales",680,770,600,180
"W02000299","Caerphilly 010","W06000018","Caerphilly","W92000004","Wales",570,650,500,150
"W02000300","Caerphilly 011","W06000018","Caerphilly","W92000004","Wales",590,670,520,150
"W02000301","Caerphilly 012","W06000018","Caerphilly","W92000004","Wales",610,690,540,160
"W02000302","Caerphilly 013","W06000018","Caerphilly","W92000004","Wales",660,740,580,170
"W02000303","Caerphilly 014","W06000018","Caerphilly","W92000004","Wales",660,750,580,170
"W02000304","Caerphilly 015","W06000018","Caerphilly","W92000004","Wales",570,650,500,150
"W02000305","Caerphilly 016","W06000018","Caerphilly","W92000004","Wales",650,740,570,170
"W02000306","Caerphilly 017","W06000018","Caerphilly","W92000004","Wales",590,680,520,160
"W02000307","Caerphilly 018","W06000018","Caerphilly","W92000004","Wales",530,600,460,140
"W02000308","Caerphilly 019","W06000018","Caerphilly","W92000004","Wales",610,690,530,160
"W02000309","Caerphilly 020","W06000018","Caerphilly","W92000004","Wales",590,670,520,150
"W02000310","Caerphilly 021","W06000018","Caerphilly","W92000004","Wales",690,790,610,180
"W02000311","Caerphilly 022","W06000018","Caerphilly","W92000004","Wales",540,610,470,140
"W02000312","Caerphilly 023","W06000018","Caerphilly","W92000004","Wales",600,680,530,150
"W02000313","Caerphilly 024","W06000018","Caerphilly","W92000004","Wales",810,920,710,210
