"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02004118","South Derbyshire 001","E07000039","South Derbyshire","E12000004","East Midlands",850,960,750,210
"E02004119","South Derbyshire 002","E07000039","South Derbyshire","E12000004","East Midlands",920,1050,800,250
"E02004120","South Derbyshire 003","E07000039","South Derbyshire","E12000004","East Midlands",780,880,690,200
"E02004121","South Derbyshire 004","E07000039","South Derbyshire","E12000004","East Midlands",880,1000,770,230
"E02004122","South Derbyshire 005","E07000039","South Derbyshire","E12000004","East Midlands",890,1010,780,230
"E02004123","South Derbyshire 006","E07000039","South Derbyshire","E12000004","East Midlands",800,910,700,200
"E02004124","South Derbyshire 007","E07000039","South Derbyshire","E12000004","East Midlands",680,770,590,170
"E02004125","South Derbyshire 008","E07000039","South Derbyshire","E12000004","East Midlands",660,750,580,170
"E02004126","South Derbyshire 009","E07000039","South Derbyshire","E12000004","East Midlands",650,740,580,170
"E02004128","South Derbyshire 011","E07000039","South Derbyshire","E12000004","East Midlands",670,760,590,170
"E02006919","South Derbyshire 012","E07000039","South Derbyshire","E12000004","East Midlands",690,780,600,180
"E02006920","South Derbyshire 013","E07000039","South Derbyshire","E12000004","East Midlands",740,840,650,190
