"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02006475","Nuneaton and Bedworth 001","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",710,800,630,180
"E02006476","Nuneaton and Bedworth 002","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",530,600,460,140
"E02006477","Nuneaton and Bedworth 003","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",870,980,760,220
"E02006478","Nuneaton and Bedworth 004","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",820,930,720,220
"E02006479","Nuneaton and Bedworth 005","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",550,620,480,140
"E02006480","Nuneaton and Bedworth 006","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",570,640,500,140
"E02006481","Nuneaton and Bedworth 007","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",570,650,500,150
"E02006482","Nuneaton and Bedworth 008","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",660,750,580,170
"E02006483","Nuneaton and Bedworth 009","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",530,600,460,130
"E02006484","Nuneaton and Bedworth 010","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",620,700,550,160
"E02006485","Nuneaton and Bedworth 011","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",850,970,750,220
"E02006486","Nuneaton and Bedworth 012","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",650,740,570,170
"E02006487","Nuneaton and Bedworth 013","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",520,590,460,130
"E02006488","Nuneaton and Bedworth 014","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",580,660,510,150
"E02006489","Nuneaton and Bedworth 015","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",620,710,550,160
"E02006490","Nuneaton and Bedworth 016","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",630,720,560,160
"E02006806","Nuneaton and Bedworth 018","E07000219","Nuneaton and Bedworth","E12000005","West Midlands",570,650,510,140
