"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"W02000237","The Vale of Glamorgan 001","W06000014","The Vale of Glamorgan","W92000004","Wales",910,1040,800,240
"W02000238","The Vale of Glamorgan 002","W06000014","The Vale of Glamorgan","W92000004","Wales",920,1050,800,250
"W02000239","The Vale of Glamorgan 003","W06000014","The Vale of Glamorgan","W92000004","Wales",920,1050,800,240
"W02000240","The Vale of Glamorgan 004","W06000014","The Vale of Glamorgan","W92000004","Wales",740,850,650,190
"W02000241","The Vale of Glamorgan 005","W06000014","The Vale of Glamorgan","W92000004","Wales",860,980,750,230
"W02000242","The Vale of Glamorgan 006","W06000014","The Vale of Glamorgan","W92000004","Wales",770,880,680,200
"W02000243","The Vale of Glamorgan 007","W06000014","The Vale of Glamorgan","W92000004","Wales",530,600,460,140
"W02000244","The Vale of Glamorgan 008","W06000014","The Vale of Glamorgan","W92000004","Wales",780,890,680,210
"W02000245","The Vale of Glamorgan 009","W06000014","The Vale of Glamorgan","W92000004","Wales",620,710,550,160
"W02000246","The Vale of Glamorgan 010","W06000014","The Vale of Glamorgan","W92000004","Wales",760,870,670,200
"W02000247","The Vale of Glamorgan 011","W06000014","The Vale of Glamorgan","W92000004","Wales",770,880,680,200
"W02000248","The Vale of Glamorgan 012","W06000014","The Vale of Glamorgan","W92000004","Wales",610,710,530,170
"W02000249","The Vale of Glamorgan 013","W06000014","The Vale of Glamorgan","W92000004","Wales",560,640,490,150
"W02000250","The Vale of Glamorgan 014","W06000014","The Vale of Glamorgan","W92000004","Wales",710,810,630,190
"W02000251","The Vale of Glamorgan 015","W06000014","The Vale of Glamorgan","W92000004","Wales",640,730,570,170
