"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02000807","Southwark 001","E09000028","Southwark","E12000007","London",1280,1470,1130,340
"E02000808","Southwark 002","E09000028","Southwark","E12000007","London",1030,1180,900,280
"E02000809","Southwark 003","E09000028","Southwark","E12000007","London",1350,1560,1170,390
"E02000810","Southwark 004","E09000028","Southwark","E12000007","London",770,870,670,200
"E02000812","Southwark 006","E09000028","Southwark","E12000007","London",820,930,720,210
"E02000813","Southwark 007","E09000028","Southwark","E12000007","London",760,860,670,190
"E02000814","Southwark 008","E09000028","Southwark","E12000007","London",1160,1320,1010,310
"E02000815","Southwark 009","E09000028","Southwark","E12000007","London",980,1120,860,260
"E02000816","Southwark 010","E09000028","Southwark","E12000007","London",760,860,670,190
"E02000817","Southwark 011","E09000028","Southwark","E12000007","London",640,720,560,160
"E02000818","Southwark 012","E09000028","Southwark","E12000007","London",730,830,640,180
"E02000819","Southwark 013","E09000028","Southwark","E12000007","London",730,830,640,190
"E02000820","Southwark 014","E09000028","Southwark","E12000007","London",830,940,730,210
"E02000821","Southwark 015","E09000028","Southwark","E12000007","London",690,780,600,180
"E02000822","Southwark 016","E09000028","Southwark","E12000007","London",640,730,560,170
"E02000823","Southwark 017","E09000028","Southwark","E12000007","London",800,900,710,200
"E02000824","Southwark 018","E09000028","Southwark","E12000007","London",650,740,570,180
"E02000825","Southwark 019","E09000028","Southwark","E12000007","London",700,800,610,190
"E02000826","Southwark 020","E09000028","Southwark","E12000007","London",740,850,650,190
"E02000827","Southwark 021","E09000028","Southwark","E12000007","London",640,730,560,180
"E02000828","Southwark 022","E09000028","Southwark","E12000007","London",710,810,630,180
"E02000829","Southwark 023","E09000028","Southwark","E12000007","London",690,790,610,180
"E02000830","Southwark 024","E09000028","Southwark","E12000007","London",1010,1150,890,260
"E02000831","Southwark 025","E09000028","Southwark","E12000007","London",920,1050,810,230
"E02000832","Southwark 026","E09000028","Southwark","E12000007","London",730,830,640,190
"E02000833","Southwark 027","E09000028","Southwark","E12000007","London",960,1090,840,250
"E02000834","Southwark 028","E09000028","Southwark","E12000007","London",1230,1400,1080,320
"E02000835","Southwark 029","E09000028","Southwark","E12000007","London",960,1090,850,240
"E02000836","Southwark 030","E09000028","Southwark","E12000007","London",1250,1420,1100,320
"E02000837","Southwark 031","E09000028","Southwark","E12000007","London",1420,1620,1250,370
"E02000838","Southwark 032","E09000028","Southwark","E12000007","London",1080,1230,960,270
"E02000839","Southwark 033","E09000028","Southwark","E12000007","London",1020,1160,900,260
"E02006802","Southwark 034","E09000028","Southwark","E12000007","London",870,1000,750,240
