"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02005368","Harborough 002","E07000131","Harborough","E12000004","East Midlands",880,1000,780,220
"E02005369","Harborough 003","E07000131","Harborough","E12000004","East Midlands",840,950,740,210
"E02005370","Harborough 004","E07000131","Harborough","E12000004","East Midlands",910,1030,800,230
"E02005371","Harborough 005","E07000131","Harborough","E12000004","East Midlands",870,980,760,220
"E02005372","Harborough 006","E07000131","Harborough","E12000004","East Midlands",900,1030,800,230
"E02005373","Harborough 007","E07000131","Harborough","E12000004","East Midlands",880,1000,780,220
"E02005374","Harborough 008","E07000131","Harborough","E12000004","East Midlands",620,710,550,170
"E02005375","Harborough 009","E07000131","Harborough","E12000004","East Midlands",890,1010,790,230
"E02005376","Harborough 010","E07000131","Harborough","E12000004","East Midlands",790,890,700,200
"E02006816","Harborough 011","E07000131","Harborough","E12000004","East Midlands",850,970,750,220
