"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02005453","North Kesteven 001","E07000139","North Kesteven","E12000004","East Midlands",770,880,680,200
"E02005455","North Kesteven 003","E07000139","North Kesteven","E12000004","East Midlands",750,850,660,190
"E02005456","North Kesteven 004","E07000139","North Kesteven","E12000004","East Midlands",670,760,590,170
"E02005457","North Kesteven 005","E07000139","North Kesteven","E12000004","East Midlands",670,760,590,170
"E02005458","North Kesteven 006","E07000139","North Kesteven","E12000004","East Midlands",780,890,690,200
"E02005459","North Kesteven 007","E07000139","North Kesteven","E12000004","East Midlands",600,680,530,150
"E02005460","North Kesteven 008","E07000139","North Kesteven","E12000004","East Midlands",880,1000,770,230
"E02005461","North Kesteven 009","E07000139","North Kesteven","E12000004","East Midlands",680,770,600,180
"E02005462","North Kesteven 010","E07000139","North Kesteven","E12000004","East Midlands",590,670,520,150
"E02005463","North Kesteven 011","E07000139","North Kesteven","E12000004","East Midlands",790,900,690,200
"E02005464","North Kesteven 012","E07000139","North Kesteven","E12000004","East Midlands",660,740,580,170
"E02006866","North Kesteven 013","E07000139","North Kesteven","E12000004","East Midlands",680,770,600,170
"E02006867","North Kesteven 014","E07000139","North Kesteven","E12000004","East Midlands",650,740,570,160
