"MSOA_code","MSOA_name","LA_code","LA_name","Region_code","Region_name","Total_weekly_income","Upper_confidence_limit","Lower_confidence_limit","Confidence_interval"
"E02004446","Braintree 001","E07000067","Braintree","E12000006","East of England",880,990,770,220
"E02004447","Braintree 002","E07000067","Braintree","E12000006","East of England",870,990,770,220
"E02004448","Braintree 003","E07000067","Braintree","E12000006","East of England",770,880,680,190
"E02004449","Braintree 004","E07000067","Braintree","E12000006","East of England",680,770,600,170
"E02004450","Braintree 005","E07000067","Braintree","E12000006","East of England",920,1050,820,230
"E02004451","Braintree 006","E07000067","Braintree","E12000006","East of England",780,880,690,190
"E02004452","Braintree 007","E07000067","Braintree","E12000006","East of England",840,950,740,210
"E02004453","Braintree 008","E07000067","Braintree","E12000006","East of England",680,770,600,170
"E02004454","Braintree 009","E07000067","Braintree","E12000006","East of England",700,790,620,180
"E02004455","Braintree 010","E07000067","Braintree","E12000006","East of England",960,1080,850,240
"E02004456","Braintree 011","E07000067","Braintree","E12000006","East of England",700,790,620,170
"E02004457","Braintree 012","E07000067","Braintree","E12000006","East of England",740,840,660,180
"E02004458","Braintree 013","E07000067","Braintree","E12000006","East of England",1010,1150,890,260
"E02004459","Braintree 014","E07000067","Braintree","E12000006","East of England",850,960,750,210
"E02004460","Braintree 015","E07000067","Braintree","E12000006","East of England",780,890,690,200
"E02004461","Braintree 016","E07000067","Braintree","E12000006","East of England",690,790,610,180
"E02004462","Braintree 017","E07000067","Braintree","E12000006","East of England",740,840,650,190
"E02004463","Braintree 018","E07000067","Braintree","E12000006","East of England",860,970,760,210
