AREACD,AREANM,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14
E06000040,Windsor and Maidenhead,1022.5,980.8,964.6,932.2,896.5,895.7,867.8,861.5,831.8,762.2,754,756.3,726.4,699.7
E06000041,Wokingham,908.2,978.5,890.7,863.8,840.3,869.1,808.7,796,752.2,780.7,750.5,764.8,747.2,731.8
E06000042,Milton Keynes,1124.5,1060.2,1179.5,1087.8,1069.2,970.6,961.4,975.4,905.6,933.4,870.9,922.9,871,860.7
E06000043,Brighton and Hove,990.2,963.7,1061,913.9,962.2,912.5,934.7,840.1,896.9,827.6,853.4,834.7,823.8,762.5
E06000044,Portsmouth,1098.5,1049.7,1125.3,1030.8,959,952.2,925.5,933.4,876.5,836,916.2,898.6,934.3,901.6
E06000045,Southampton,961.8,1029,1051.1,964.1,983.7,916.5,905.6,993,830,829.3,861.3,900.7,859.5,780.3
E06000046,Isle of Wight,934.1,1012.5,982.3,863,860.8,846.2,866.8,878.3,801.9,820.8,782,845.9,836,751.4
E06000047,County Durham,1151.3,1160.6,1206.9,1119.8,1161.9,1077.5,1067.9,1087.8,1033.4,975.4,993.1,973.2,1043.5,959.4
E06000057,Northumberland          ,1088.3,1053.8,1079.2,1074,1050.8,998.6,998.7,977.7,944.2,899.9,880.7,929.5,903.9,858.9
E06000049,Cheshire East,1054.2,1034.7,1003.7,993,926.2,910.5,906.7,916.3,872.4,858,804.6,847.5,796,753.4
E06000050,Cheshire West and Chester,1021.8,1045.1,1032.1,961.6,995.5,941,963.9,989.6,891.2,888.8,864.7,889.3,808.8,843.6
E06000051,Shropshire,988.9,1023.3,1041.1,929.9,901,858,883.2,903,844.2,823.7,810.9,783.3,811.7,746.0
E06000052,Cornwall,950.7,978.8,983.3,913.5,907.2,859.8,895.2,884,865.3,849,792.9,823.3,843.8,787.0
E06000053,Isles of Scilly,950.7,978.8,983.3,913.5,907.2,859.8,895.2,884,865.3,849,792.9,823.3,843.8,787.0
E06000054,Wiltshire,974.3,984.4,953,899.5,883.6,846.5,835.6,845.3,821.1,795.1,784.5,788.1,790.4,746.0
E06000055,Bedford,1010,984.4,1023.9,943.8,993,915.4,955,948.6,862.4,893,825.5,777.3,800,778.3
E06000056,Central Bedfordshire,1042.6,1017.1,1002,994.2,956.4,930.1,946.2,904.4,897.7,850.3,754,802.6,843,775.6
E07000004,Aylesbury Vale,1048.5,1038.3,1011,975.7,997.4,945.2,920.8,908.5,878.8,824.4,740.7,797.1,802.5,761.5
E07000005,Chiltern,867.4,853.7,845.5,902.9,793.4,780.3,717.2,719.3,678.8,745.5,676.8,590.4,634.1,604.6
E07000006,South Bucks,942.3,1040.7,945.1,877,969.9,812.6,770.9,809.3,781.3,765.8,645.1,732.8,665.9,663.2
E07000007,Wycombe,915.7,937.5,906.8,873.4,792.8,774.5,809.8,761.3,707.5,747.5,751.2,780.2,679,712.9
