AREACD,AREANM,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14
E06000001,Hartlepool,1487.2,1506.4,1476.2,1473.2,1484.7,1371.6,1371.4,1305.8,1246.2,1171.7,1135.7,1089.6,1093.9,1115.6
E06000002,Middlesbrough,1416.9,1445.5,1401.3,1440,1346.3,1306.9,1329.6,1310.2,1302.4,1245.3,1229.1,1258.9,1192.2,1309.3
E06000003,Redcar and Cleveland,1313.1,1368.4,1322.2,1223.6,1221.4,1213.2,1163,1212.9,1060.2,1033.8,1070.1,1045.2,1068.3,1015.9
E06000004,Stockton-on-Tees,1412.3,1308.9,1331.3,1279.6,1269.8,1243.7,1240.4,1222.4,1143.6,1059.5,1064,1029.9,1036.8,1057.8
E06000005,Darlington,1408.8,1321.4,1314,1328.5,1222.4,1238.5,1169.4,1178.8,1162.1,1040.2,995.8,1072.5,1058.6,1047.9
E06000006,Halton,1509.9,1512.3,1477,1422.7,1361.8,1404.5,1351.6,1408.1,1252.2,1189.3,1161.1,1227.8,1232.7,1176.7
E06000007,Warrington,1354.4,1315.3,1368,1218.4,1207.3,1294.5,1272.4,1207.4,1063.6,1132,1061.6,1086.1,1142.1,1074.1
E06000008,Blackburn with Darwen,1396.2,1514.2,1453.9,1367.7,1356.2,1307,1391.7,1289.6,1308.4,1213,1152.2,1178.2,1166.1,1191.1
E06000009,Blackpool,1485.9,1465.6,1484.2,1373.4,1395.1,1361.3,1337.8,1367.5,1276.8,1322.2,1261.7,1260,1260.3,1237.9
E06000010,"Kingston upon Hull, City of",1361.5,1400.9,1461.9,1350.8,1360.5,1364.1,1351.7,1281.1,1280.9,1190.4,1214.1,1210.7,1219.2,1248.9
E06000011,East Riding of Yorkshire,1165.2,1163.6,1214.5,1150.6,1109.6,1055.8,1048.6,1056,1004.3,1006.2,979.8,997.7,980.8,926.8
E06000012,North East Lincolnshire,1262.1,1292.7,1301.7,1233,1180.8,1183.9,1222.7,1221.4,1128.6,1086.2,1042.1,1118.3,1102.1,1002.5
E06000013,North Lincolnshire,1273.7,1231.5,1293.4,1181.2,1168.1,1156.7,1135.1,1147.1,1119.3,982.8,1048.3,1040.9,1054.4,987.0
E06000014,York,1177.9,1152.4,1154.6,1082.7,1040.3,1027.8,980.8,1014.5,968.5,973,983.4,962.7,954.2,915.3
E06000015,Derby,1240.3,1304.8,1250.4,1153.1,1151,1155.4,1145.6,1172.7,1078.7,1044.3,954.9,1010.6,1065.7,991.7
E06000016,Leicester,1385.4,1349.5,1420.7,1311.2,1319.3,1286.1,1216.1,1268.4,1196.7,1185.5,1088.3,1078.2,1157.6,1108.4
E06000017,Rutland,983.7,956.7,1026.9,919.8,895.4,813,897.9,935.8,852.5,849.5,868.1,866.6,742.2,753.4
E06000018,Nottingham,1441.9,1364.8,1428.3,1308.4,1296.3,1228.9,1275.4,1269.6,1196.4,1168.5,1122.7,1126.3,1114.1,1107.2
E06000019,"Herefordshire, County of",1107.1,1115.6,1110.8,1068.8,1109,1008.4,1053.9,1042.5,971.8,940.6,938.7,917,882.7,874.0
E06000020,Telford and Wrekin,1316.2,1313.4,1262.8,1255.1,1205.2,1151.5,1139.3,1097.6,1138,1124.9,1073.4,1094.5,1084.5,983.0
E06000021,Stoke-on-Trent,1373,1452.6,1479.1,1370.9,1302.4,1281.5,1353.4,1347.4,1253,1192,1137.7,1198.7,1195.5,1133.4
E06000022,Bath and North East Somerset,1034.1,1083.6,1040.2,1047.7,1035,952.1,965,964.3,938.6,965.6,881.5,857.3,908.3,826.8
E06000023,"Bristol, City of",1255,1252.3,1301.7,1168.5,1161.3,1146.6,1126.5,1146,1087.8,1063.3,1018.8,993.6,1083.5,974.9
E06000024,North Somerset,1145.9,1133.1,1123.8,1048.2,1054.6,1010.7,988.8,1014,928.1,960.7,954.7,910.6,931.3,881.7
E06000025,South Gloucestershire,1066.7,1071.4,1150.4,975,1009.3,967.2,994.8,965.7,903.2,908.6,886.5,864.3,871.4,805.7
E06000026,Plymouth,1241.8,1257.4,1287.5,1204,1157.9,1116.4,1112.1,1086.3,1105.5,1076.4,1005.5,1081.7,1035.1,968.0
E06000027,Torbay,1169.8,1133.3,1199,1085.1,1104.7,1003.5,1086.9,1037.9,1032.2,1014.4,978.2,971.4,997.9,978.1
E06000028,Bournemouth,1177.3,1158,1176.1,1064.5,1058.2,1017.6,1016.6,1047.8,1000.2,1032,980.5,1008,995,952.3
E06000029,Poole,1019.2,1110.4,1095.8,1049,1011.2,981.5,946.6,1046.2,925.8,917.8,888.7,910.6,913.9,887.7
E06000030,Swindon,1271.8,1296.4,1234.9,1161.9,1206.8,1171.3,1127.5,1076.6,1014.1,1016.7,1034.7,1003.4,1020.6,954.5
E06000031,Peterborough,1327,1357.2,1346.7,1134.2,1262.2,1203.7,1170.3,1147.9,1069.2,1074.9,1028.3,1050.9,1013.9,1015.9
E06000032,Luton,1375.5,1364.9,1386.9,1293.7,1259.7,1238.4,1219.7,1209.5,1138,1047.6,1026.7,1106,984.6,1033.6
E06000033,Southend-on-Sea,1300.7,1240.8,1254.9,1157.4,1156.6,1146.4,1094,1105.7,1081.3,1082.3,978,925,1023.7,953.9
E06000034,Thurrock,1211,1303.1,1294.5,1162.4,1138,1111.5,1144.7,1139.2,1076.5,1059.9,1049.8,1033.5,1044,1012.1
E06000035,Medway,1327.4,1319.6,1319.6,1227.8,1225.2,1256.9,1144.1,1175,1085.7,1110.6,1048.3,1079.9,1020.9,1064.9
E06000036,Bracknell Forest,1212.5,1145.4,1179.1,1065.2,1102.5,998.9,967.5,965,942.8,891.4,887,916.4,842.4,797.1
E06000037,West Berkshire,1139.5,1120.3,1144.2,1005.2,995.9,996.2,975.2,957.2,923.1,877.5,889,871.4,919.6,842.4
E06000038,Reading,1184.3,1215.9,1179.8,1151.7,1116.4,1061.5,1061.9,1087.4,1047.9,1026.3,985.4,1076.7,1055.7,943.8
E06000039,Slough,1346.7,1248.1,1170,1249.7,1077.7,1054.8,1094.8,1057.2,1038.4,1004.1,1037.3,998.3,1048.5,965.4
E06000040,Windsor and Maidenhead,1211.2,1143.1,1131.8,1128,1030.1,1046.2,974.3,1010.7,983.3,881.1,862.5,889.1,876.6,832.2
E06000041,Wokingham,1111.3,1099.2,1035,983.5,963.5,969.7,877.3,909.4,856.9,881.1,832.3,876.5,859.4,830.5
E06000042,Milton Keynes,1278.1,1260.5,1314.8,1268.7,1200.8,1094.2,1102.3,1134.1,1062.2,1077.9,1018.2,1053.7,997.6,1002.3
E06000043,Brighton and Hove,1227.5,1163.8,1264.7,1100.2,1131.9,1121.8,1102.1,1041.4,1037.3,984.1,975.3,1007.8,965.2,907.7
E06000044,Portsmouth,1266.2,1269.8,1299.6,1217.7,1129.7,1161.5,1114.6,1104.1,1047,1034.3,1091.4,1022.7,1085.8,1074.3
E06000045,Southampton,1143.3,1240.5,1253.1,1140.5,1164.2,1120.2,1057.3,1152.8,981.6,986.5,1000.4,1053.7,1060,988.4
E06000046,Isle of Wight,1114.8,1189.2,1144,1031,1014.1,1010.2,990.4,1024.4,959.8,975.9,902.1,967.7,955.2,917.0
E06000047,County Durham,1365.8,1360.6,1393.7,1292.5,1322.9,1249.1,1207.1,1244.5,1186.6,1117.9,1109.8,1117.7,1141.2,1081.9
E06000057,Northumberland          ,1287.2,1264.1,1280.5,1248.4,1184.1,1122.8,1139.2,1112.2,1034.4,1043,1004.2,1035.4,1017.3,984.3
E06000049,Cheshire East,1239.2,1198.6,1178.7,1144.9,1072.3,1071.1,1050.1,1045.3,1002.1,970.9,902.1,949.4,923.3,870.8
E06000050,Cheshire West and Chester,1207.1,1211.4,1191.4,1152.4,1131.6,1098.3,1088.2,1118.6,1006.2,1007.2,988.2,1021.1,964.8,951.7
E06000051,Shropshire,1172,1212.7,1197.7,1101.3,1067.7,1013.8,1008.1,1029,993.9,984,910.8,925.8,957.2,857.6
E06000052,Cornwall,1129.3,1134.2,1141.5,1068.6,1068.2,1010.1,1062.5,1027,1017.1,965,939.9,955,969.8,923.8
E06000053,Isles of Scilly,1129.3,1134.2,1141.5,1068.6,1068.2,1010.1,1062.5,1027,1017.1,965,939.9,955,969.8,923.8
E06000054,Wiltshire,1134.4,1143.3,1097.1,1048,1024.6,987.3,982.6,991,949.2,925.3,898.7,899.1,897.2,859.5
E06000055,Bedford,1167.7,1191,1173.7,1127.1,1117.6,1071.8,1077.5,1057.3,1025.8,1029.3,937.9,924.5,925,885.7
E06000056,Central Bedfordshire,1220.7,1183.2,1182.2,1143,1147.4,1052.1,1055.7,1056.1,1030.9,961,887.4,928.7,908.9,850.4
E07000004,Aylesbury Vale,1188.6,1191.1,1146.6,1108.7,1163.8,1059.8,1005.3,1000.8,995.1,962.7,916.6,914.9,909.9,889.8
E07000005,Chiltern,1081.6,1103.4,981.5,963.8,937.4,973.2,827.7,836.8,841.6,833.1,767.1,736.4,766.2,729.1
E07000006,South Bucks,1119.5,1157.2,1058.5,1034.1,1052.8,942.9,847.2,908.5,900,866.7,796,869.8,797.3,809.6
E07000007,Wycombe,1108.7,1059.2,1074.1,997.7,975,901,910.2,885.6,858.6,872.8,852,860.6,789.1,812.5
E07000008,Cambridge,1113.1,1123.3,1167.3,1082.4,1046.4,1089.9,999.5,1032.8,956.3,899.8,826.6,966.3,945.7,868.2
E07000009,East Cambridgeshire,1026.8,1086.4,1132.3,1039.6,961.7,931,992.3,937.5,894.6,830.1,885.7,747.8,791,839.4
E07000010,Fenland,1342.7,1217.3,1314.1,1125.4,1214.3,1173.7,1103.4,1120.2,1063.7,1022.4,991.1,977.2,986,996.5
E07000011,Huntingdonshire,1132.8,1133,1158.9,1051.5,1033.5,1068.4,1032.4,969.4,913.7,921.9,826,897.6,893.8,795.4
E07000012,South Cambridgeshire,1029.6,1019.2,979.7,996.6,938.2,909.9,857,848,878.6,814.2,728.4,771.2,796.2,790.9
E07000026,Allerdale,1321.1,1328.3,1311.6,1187.9,1210.4,1202.5,1177.7,1124.3,1085.9,1088.6,1117.4,1064.6,992.8,1023.8
E07000027,Barrow-in-Furness,1333.8,1377.5,1255.6,1301.3,1196.9,1204.8,1244.7,1189.3,1051.7,1126,1147.2,1020.9,1151.2,1111.4
E07000028,Carlisle,1338.9,1267.7,1293.9,1218.2,1212.6,1124,1148.6,1161,1131.6,1068.4,1006.9,1072.3,992.4,950.8
E07000029,Copeland,1273.7,1361,1346.2,1321.4,1279.5,1201.4,1241.4,1205.7,1099.4,1100.4,1152.6,1088.4,1162.8,1047.1
E07000030,Eden,1067,1157.5,1136.4,1138,1091.6,979.6,1049.8,1006.3,899.2,999.4,890.2,875.6,848.7,761.9
E07000031,South Lakeland,1131.2,1142.9,999.8,1086.9,966.6,982.6,987.5,970.1,962.7,934,915.4,876.2,887.8,844.9
E07000032,Amber Valley,1212.8,1232.8,1309.1,1158.6,1113.5,1119.8,1043,1117.2,1081.9,1033.2,1002.6,948.7,1009.2,975.5
E07000033,Bolsover,1332.3,1398.3,1456,1320.3,1351.4,1247.1,1259.6,1314.5,1173.2,1125.8,1102.2,1173.1,1127.1,1186.6
E07000034,Chesterfield,1343.9,1350.8,1405.4,1178.4,1287.5,1245.9,1123,1169.9,1108.1,1113.6,1092.8,1051.3,1078.1,1032.4
E07000035,Derbyshire Dales,1232.4,1114.9,1185.4,1080.8,1016.4,1072.8,1003.4,954.3,901.3,899.7,907.7,874.3,894.9,874.8
