AREACD,AREANM,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14
E06000001,Hartlepool,1918.1,1719.1,1809.2,1810.7,1746.4,1550.1,1593.9,1547.8,1534.1,1406.5,1331.9,1280,1294.2,1361.0
E06000002,Middlesbrough,1673.6,1602.5,1673.3,1670.2,1664.3,1616.9,1546.4,1472.9,1504.4,1500.6,1447.1,1399,1397.4,1547.4
E06000003,Redcar and Cleveland,1565.2,1642.6,1626.5,1594.6,1411.8,1421.4,1402.7,1463.9,1240,1165.4,1204.1,1200.6,1243.4,1176.5
E06000004,Stockton-on-Tees,1694.3,1520,1618.8,1479.4,1478,1443.8,1472.2,1420.1,1370.1,1295.4,1213.4,1218.8,1203,1213.9
E06000005,Darlington,1806.4,1659.4,1604.5,1630.5,1414.5,1527.2,1322.9,1348.8,1389,1229,1230.9,1223.6,1180,1288.1
E06000006,Halton,1848.9,1736.5,1672.2,1640.6,1569.4,1659.9,1530.7,1659.6,1490.2,1407.4,1432.7,1343.1,1365,1346.2
E06000007,Warrington,1648.1,1640.7,1564.2,1563.1,1474.7,1534.5,1550,1411.7,1212.1,1358.4,1251,1255.4,1311.7,1245.1
E06000008,Blackburn with Darwen,1619.6,1906.7,1628.5,1650.6,1653.4,1566.1,1666.8,1524.9,1566.9,1419,1353.1,1338.2,1405.2,1387.7
E06000009,Blackpool,1896.6,1772.1,1790.8,1711.2,1719.5,1631.5,1608.1,1640.9,1628.6,1658.9,1538.5,1513.7,1546.8,1458.6
E06000010,"Kingston upon Hull, City of",1782.9,1685.1,1774.8,1608.7,1610.6,1616.9,1564.3,1552.5,1537.2,1343.2,1453.9,1396.8,1420.2,1447.8
E06000011,East Riding of Yorkshire,1426.4,1450.9,1451.9,1334.2,1321.5,1263.4,1143.7,1278.4,1199.8,1185.8,1149.5,1128.3,1111.5,1095.1
E06000012,North East Lincolnshire,1615.5,1689.8,1618.1,1564.9,1475.3,1403.4,1518.7,1497,1348.6,1354.3,1170.6,1310.3,1340.6,1198.0
E06000013,North Lincolnshire,1569,1561.9,1618.9,1396.5,1432.4,1384.4,1266.2,1368.4,1342.2,1183.9,1228.9,1336.1,1314.5,1167.0
E06000014,York,1527,1410.8,1496,1354.1,1358,1268.7,1126.9,1166.6,1165.7,1113.5,1229.7,1181.6,1145.8,1036.3
E06000015,Derby,1514.2,1576.4,1477.4,1363,1417.5,1389.6,1358.5,1391.1,1266.7,1263.5,1126.8,1210.7,1255.8,1245.1
E06000016,Leicester,1719.4,1635,1737.3,1520.3,1580,1519.9,1450.6,1513.8,1421.8,1432.7,1309.3,1294.2,1426.3,1350.8
E06000017,Rutland,1186.5,1192,1338.2,965.6,1103.4,944.8,1234.4,1048.5,990.4,913.5,1022,1038.3,942.2,899.1
E06000018,Nottingham,1792.8,1691.2,1788.1,1573.6,1608.1,1538.8,1614.8,1479.3,1484,1428,1382.1,1342.2,1404.5,1319.3
E06000019,"Herefordshire, County of",1362.9,1387.6,1413.1,1246.8,1366.7,1308.6,1225.6,1231.2,1175.4,1157,1138.4,1125.4,1017.7,1009.6
E06000020,Telford and Wrekin,1586.9,1503.3,1448.6,1452.3,1466.7,1340.4,1450.2,1303.9,1424.7,1331.9,1269.7,1244.4,1270.5,1180.0
E06000021,Stoke-on-Trent,1672.7,1800.4,1861.9,1709.3,1584.9,1543,1719.6,1594.7,1503.6,1397.3,1306.9,1462.3,1443.2,1408.4
E06000022,Bath and North East Somerset,1329.3,1330,1231,1213.1,1212.7,1130,1157.3,1128.4,1111.5,1135.9,1087.3,970.1,1058.2,985.8
E06000023,"Bristol, City of",1566.6,1538.6,1634.5,1408.6,1412.5,1396,1372.5,1463.5,1329.4,1286.3,1238.9,1217.4,1321.2,1153.9
E06000024,North Somerset,1392.6,1324.2,1394.8,1264.3,1269.1,1205.1,1179,1190.7,1127.4,1167,1101.9,1066.1,1047.7,1075.1
E06000025,South Gloucestershire,1234.7,1248.6,1322.8,1183.8,1235.8,1201.1,1184.7,1100.3,1078.8,1052.4,1040.7,989.6,1029.5,952.0
E06000026,Plymouth,1584.5,1529.9,1578.8,1528,1446,1376.4,1331.9,1287.5,1364.3,1267.7,1205.4,1267.2,1194.6,1132.2
E06000027,Torbay,1410.4,1435.2,1427.4,1358.8,1386.2,1238.8,1259,1248.4,1216.8,1172.1,1085.7,1114.7,1199.9,1192.5
E06000028,Bournemouth,1466,1474.4,1471.6,1290.4,1249.9,1213.7,1202,1186.9,1213.5,1272.2,1177.9,1159.4,1166.4,1147.9
E06000029,Poole,1264.3,1316,1324.3,1266.5,1265.7,1164.4,1131,1293.4,1104.8,1069.5,1038,1049.3,1111.6,1033.1
E06000030,Swindon,1615.4,1519.4,1427.6,1365.6,1447.8,1406.7,1286.4,1339.8,1213.1,1211.6,1200.9,1160.6,1215.2,1087.8
E06000031,Peterborough,1565.9,1713.9,1662,1421.3,1462.5,1467.5,1404.7,1416.3,1308.3,1273.2,1297.7,1210.7,1186.5,1173.5
E06000032,Luton,1575.6,1609.6,1738.3,1510.5,1478.2,1460.6,1384.2,1422.5,1368.3,1216,1164.5,1319,1143.2,1180.3
E06000033,Southend-on-Sea,1531.1,1495,1571.5,1351.8,1372.2,1391.7,1341,1285.9,1296.5,1320.9,1128,1075,1198.3,1114.7
E06000034,Thurrock,1444.1,1628.8,1677.4,1358.6,1357.7,1317.3,1329.3,1406,1326.1,1168.6,1241.7,1239.2,1244.7,1168.0
E06000035,Medway,1633,1623.4,1632.3,1481.3,1487,1477.5,1415.1,1426.3,1293.9,1310.3,1242.4,1277.5,1215.8,1191.0
E06000036,Bracknell Forest,1449.4,1314.5,1374.2,1258.7,1369.6,1167.9,1201.5,1172.1,1139.9,1112.1,953.4,1074.2,1050.9,966.1
E06000037,West Berkshire,1390.6,1360.4,1445.9,1171.5,1203.2,1180.9,1180.9,1139.3,1092.5,1065.7,1097.4,1052.7,1024.8,977.8
E06000038,Reading,1494.8,1525.4,1479.2,1457.4,1320.2,1253.4,1271.9,1291.7,1296.9,1235.8,1146.6,1287.3,1298.2,1084.6
E06000039,Slough,1666.9,1432.6,1293.4,1444.1,1177.7,1267.9,1343.5,1191.3,1181.4,1194.5,1284.2,1183,1242.8,1188.0
E06000040,Windsor and Maidenhead,1472,1404.1,1386.8,1421.7,1247.9,1305.1,1147.2,1236.4,1207.3,1036.2,1013.3,1041.7,1069.6,1007.4
E06000041,Wokingham,1447.3,1255.2,1283.9,1165.6,1129.8,1109.7,972.8,1061.9,1018.6,993.3,927.1,1004.5,1029,968.4
E06000042,Milton Keynes,1514.7,1584.7,1498.9,1526.5,1373.1,1277.6,1300.2,1338.3,1297.5,1272.4,1234.5,1216,1160.4,1189.0
E06000043,Brighton and Hove,1580.9,1462.4,1542.2,1364.8,1365.9,1411.3,1345.5,1329.1,1216.8,1207.3,1140.9,1233.2,1140.7,1088.3
E06000044,Portsmouth,1494.3,1559.6,1538.7,1462.1,1352.4,1436.2,1365,1310.8,1266.4,1275.6,1326.9,1195.6,1278.6,1290.4
E06000045,Southampton,1405,1549.2,1512.3,1400.8,1388.6,1398,1250.8,1377,1187.3,1172.1,1176.3,1249.5,1350.6,1268.4
E06000046,Isle of Wight,1383.6,1452.3,1360.3,1271,1238.3,1239.1,1159.5,1229.3,1184,1186.9,1050.7,1131.4,1121.7,1118.9
E06000047,County Durham,1698.8,1670.7,1689.1,1560,1546,1516.2,1399.7,1478.9,1394,1309.2,1255.2,1305.7,1256.1,1230.0
E06000057,Northumberland          ,1596.2,1564.4,1559.3,1505.4,1349,1269.3,1344.3,1272.4,1148.3,1226.2,1167.5,1173.1,1151.2,1153.3
E06000049,Cheshire East,1502.6,1433,1432,1352.8,1283.8,1279.9,1243.8,1209.4,1166.6,1132.4,1030.2,1090.8,1090,1023.6
E06000050,Cheshire West and Chester,1476.3,1445.7,1409.5,1423.5,1339,1287.4,1254.2,1288.3,1167.4,1159.3,1142.5,1191.1,1165.9,1089.5
E06000051,Shropshire,1442.5,1490.4,1429,1338,1293.6,1220.7,1173.7,1195.4,1195.7,1199.6,1039.6,1120.8,1144.7,1014.2
E06000052,Cornwall,1386.2,1353.7,1367,1287.2,1292.7,1209.4,1288.1,1213.9,1227.5,1115.7,1132.7,1122.1,1127.7,1096.4
E06000053,Isles of Scilly,1386.2,1353.7,1367,1287.2,1292.7,1209.4,1288.1,1213.9,1227.5,1115.7,1132.7,1122.1,1127.7,1096.4
E06000054,Wiltshire,1374.3,1353.2,1324.3,1257.1,1228.1,1189.7,1203.2,1197.5,1122.1,1095.1,1056.5,1040.5,1039,998.0
E06000055,Bedford,1410.4,1455.8,1389.7,1360.8,1286.9,1285.7,1214.7,1206.1,1225.2,1205.3,1093.1,1129.9,1088.6,1019.7
E06000056,Central Bedfordshire,1469.8,1414.3,1443.9,1350,1427.4,1216.4,1205.5,1294.9,1204.7,1098.1,1056.5,1093.3,978.5,940.9
E07000004,Aylesbury Vale,1344.5,1430.6,1314.1,1293.9,1393.4,1241.9,1110.4,1134.4,1151.2,1153.5,1157.8,1088.3,1056.7,1080.5
E07000005,Chiltern,1405.4,1490.9,1174.1,1074,1173.3,1217.9,963.2,988.1,1058.3,933.2,872.4,947,933.9,885.1
