E&W,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14
Persons,1236.1,1231.2,1232,1163,1143.8,1104.2,1091.7,1091.8,1033.7,1017,978.6,987.4,986,1099.7
Males,1511.7,1496.7,1482.3,1400.7,1368.4,1324.3,1298.9,1291.7,1229.7,1201.3,1159.5,1159.4,1158.3,1314.1
Females,1046.2,1045.6,1055,992.7,981.2,944.5,939.1,943.2,886.6,876.7,842.1,856.1,852.6,943.2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,",","1236.1,1231.2,1232,1163,1143.8,1104.2,1091.7,1091.8,1033.7,1017,978.6,987.4,986,1099.7",,,,,,,,,,,,
,",","1511.7,1496.7,1482.3,1400.7,1368.4,1324.3,1298.9,1291.7,1229.7,1201.3,1159.5,1159.4,1158.3,1314.1",,,,,,,,,,,,
,",","1046.2,1045.6,1055,992.7,981.2,944.5,939.1,943.2,886.6,876.7,842.1,856.1,852.6,943.2",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"1236.1,1231.2,1232,1163,1143.8,1104.2,1091.7,1091.8,1033.7,1017,978.6,987.4,986,1099.7",,,,,,,,,,,,
,,"1511.7,1496.7,1482.3,1400.7,1368.4,1324.3,1298.9,1291.7,1229.7,1201.3,1159.5,1159.4,1158.3,1314.1",,,,,,,,,,,,
,,"1046.2,1045.6,1055,992.7,981.2,944.5,939.1,943.2,886.6,876.7,842.1,856.1,852.6,943.2",,,,,,,,,,,,
